Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,3.9e-05,16.932753,[2 1] ; [ 2 51],[0.21428571 2.78571429] ; [ 3.78571429 49.21428571],1
s5,1,0.001278,10.373501,[2 1] ; [ 4 49],[0.32142857 2.67857143] ; [ 5.67857143 47.32142857],0
p6,1,0.009285,6.767263,[2 1] ; [ 6 45],[0.44444444 2.55555556] ; [ 7.55555556 43.44444444],0
v3,1,0.014179,6.015731,[2 1] ; [ 7 46],[0.48214286 2.51785714] ; [ 8.51785714 44.48214286],0
u1,1,0.026963,4.893161,[1 2] ; [ 2 51],[0.16071429 2.83928571] ; [ 2.83928571 50.16071429],0
d1,1,0.086678,2.93501,[2 1] ; [12 41],[0.75 2.25] ; [13.25 39.75],0
a4,1,0.108854,2.570783,[2 1] ; [13 40],[0.80357143 2.19642857] ; [14.19642857 38.80357143],0
s7,1,0.116675,2.46139,[2 1] ; [12 36],[0.82352941 2.17647059] ; [13.17647059 34.82352941],0
a2,1,0.127575,2.321766,[1 2] ; [ 4 49],[0.26785714 2.73214286] ; [ 4.73214286 48.26785714],0
p1,1,0.127575,2.321766,[1 2] ; [ 4 49],[0.26785714 2.73214286] ; [ 4.73214286 48.26785714],0
p8,1,0.133262,2.254088,[2 1] ; [14 39],[0.85714286 2.14285714] ; [15.14285714 37.85714286],0
b2,1,0.13335,2.25307,[2 1] ; [ 9 26],[0.86842105 2.13157895] ; [10.13157895 24.86842105],0
b3,1,0.13335,2.25307,[2 1] ; [ 9 26],[0.86842105 2.13157895] ; [10.13157895 24.86842105],0
v1,1,0.218299,1.515518,[2 1] ; [17 36],[1.01785714 1.98214286] ; [17.98214286 35.01785714],0
v2,1,0.228868,1.447884,[2 1] ; [17 35],[1.03636364 1.96363636] ; [17.96363636 34.03636364],0
s6,1,0.250106,1.322711,[2 1] ; [18 35],[1.07142857 1.92857143] ; [18.92857143 34.07142857],0
p7,1,0.283439,1.150524,[2 1] ; [19 34],[1.125 1.875] ; [19.875 33.125],0
r3,1,0.36953,0.805245,[1 2] ; [31 21],[1.74545455 1.25454545] ; [30.25454545 21.74545455],0
d3,1,0.39167,0.733753,[2 1] ; [22 31],[1.28571429 1.71428571] ; [22.71428571 30.28571429],0
a6,1,0.430251,0.622146,[2 1] ; [23 30],[1.33928571 1.66071429] ; [23.66071429 29.33928571],0
b5,1,0.510878,0.432267,[1 2] ; [28 25],[1.55357143 1.44642857] ; [27.44642857 25.55357143],0
v4,1,0.595961,0.281131,[1 2] ; [26 27],[1.44642857 1.55357143] ; [25.55357143 27.44642857],0
s8,1,0.605474,0.266819,[1 2] ; [11 42],[0.64285714 2.35714286] ; [11.35714286 41.64285714],0
a7,1,0.685448,0.164058,[1 2] ; [24 29],[1.33928571 1.66071429] ; [23.66071429 29.33928571],0
b4,1,0.731871,0.1174,[2 1] ; [30 23],[1.71428571 1.28571429] ; [30.28571429 22.71428571],0
n4,1,0.731871,0.1174,[2 1] ; [30 23],[1.71428571 1.28571429] ; [30.28571429 22.71428571],0
s2,1,0.808466,0.058761,[1 2] ; [14 38],[0.81818182 2.18181818] ; [14.18181818 37.81818182],0
s3,1,0.825044,0.048869,[1 2] ; [14 37],[0.83333333 2.16666667] ; [14.16666667 36.83333333],0
b1,1,0.828214,0.047086,[2 1] ; [32 21],[1.82142857 1.17857143] ; [32.17857143 20.82142857],0
