Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.4e-05,18.919986,[38 57] ; [37 10],[50.17605634 44.82394366] ; [24.82394366 22.17605634],1
p12,1,4.4e-05,16.711557,[ 2 93] ; [11 37],[ 8.63636364 86.36363636] ; [ 4.36363636 43.63636364],1
n4,1,0.002105,9.455267,[68 27] ; [45  3],[75.06993007 19.93006993] ; [37.93006993 10.06993007],0
b4,1,0.007068,7.255491,[49 46] ; [36 12],[56.46853147 38.53146853] ; [28.53146853 19.46853147],0
v1,1,0.011126,6.445077,[40 55] ; [31 17],[47.16783217 47.83216783] ; [23.83216783 24.16783217],0
n6,1,0.011537,6.380673,[76 19] ; [46  2],[81.04895105 13.95104895] ; [40.95104895  7.04895105],0
p9,1,0.016586,5.739705,[74 21] ; [45  3],[79.05594406 15.94405594] ; [39.94405594  8.05594406],0
u1,1,0.019142,5.488477,[11 84] ; [13 35],[15.94405594 79.05594406] ; [ 8.05594406 39.94405594],0
p8,1,0.021906,5.253264,[57 38] ; [38 10],[63.11188811 31.88811189] ; [31.88811189 16.11188811],0
p3,1,0.025242,5.007208,[53 42] ; [36 12],[59.12587413 35.87412587] ; [29.87412587 18.12587413],0
p10,1,0.032163,4.589785,[69 24] ; [43  5],[73.87234043 19.12765957] ; [38.12765957  9.87234043],0
n5,1,0.032193,4.58817,[64 29] ; [41  7],[69.25531915 23.74468085] ; [35.74468085 12.25531915],0
a2,1,0.035499,4.421003,[20 75] ; [18 30],[25.24475524 69.75524476] ; [12.75524476 35.24475524],0
a5,1,0.058435,3.581256,[56 39] ; [36 12],[61.11888112 33.88111888] ; [30.88111888 17.11888112],0
a3,1,0.078438,3.096978,[61 34] ; [37 10],[65.56338028 29.43661972] ; [32.43661972 14.56338028],0
s4,1,0.106947,2.598763,[20 72] ; [ 5 42],[16.54676259 75.45323741] ; [ 8.45323741 38.54676259],0
s7,1,0.10705,2.597234,[30 60] ; [21 23],[34.25373134 55.74626866] ; [16.74626866 27.25373134],0
s2,1,0.122469,2.385452,[42 52] ; [15 33],[37.73239437 56.26760563] ; [19.26760563 28.73239437],0
d2,1,0.13695,2.211901,[39 56] ; [26 22],[43.18181818 51.81818182] ; [21.81818182 26.18181818],0
r2,1,0.137015,2.211165,[86  8] ; [47  1],[88.04225352  5.95774648] ; [44.95774648  3.04225352],0
p5,1,0.139832,2.179802,[11 84] ; [10 38],[13.95104895 81.04895105] ; [ 7.04895105 40.95104895],0
u2,1,0.140562,2.171791,[21 13] ; [4 7],[18.88888889 15.11111111] ; [6.11111111 4.88888889],0
p11,1,0.143301,2.142148,[71 24] ; [41  7],[74.40559441 20.59440559] ; [37.59440559 10.40559441],0
u3,1,0.161989,1.955556,[20 13] ; [4 7],[18. 15.] ; [6. 5.],0
r4,1,0.182942,1.773564,[82 13] ; [45  3],[84.37062937 10.62937063] ; [42.62937063  5.37062937],0
a6,1,0.18485,1.75819,[63 32] ; [37 11],[66.43356643 28.56643357] ; [33.56643357 14.43356643],0
a7,1,0.185119,1.756042,[69 25] ; [40  8],[72.15492958 21.84507042] ; [36.84507042 11.15492958],0
p4,1,0.208287,1.583296,[68 27] ; [39  9],[71.08391608 23.91608392] ; [35.91608392 12.08391608],0
d1,1,0.215588,1.5335,[47 48] ; [29 19],[50.48951049 44.51048951] ; [25.51048951 22.48951049],0
d3,1,0.30218,1.064551,[64 29] ; [37 11],[66.61702128 26.38297872] ; [34.38297872 13.61702128],0
r1,1,0.459386,0.54739,[72 23] ; [39  9],[73.74125874 21.25874126] ; [37.25874126 10.74125874],0
n1,1,0.473964,0.51272,[10 19] ; [3 3],[10.77142857 18.22857143] ; [2.22857143 3.77142857],0
a4,1,0.474457,0.511577,[43 51] ; [25 23],[45.01408451 48.98591549] ; [22.98591549 25.01408451],0
a1,1,0.475286,0.509659,[ 5 90] ; [ 4 44],[ 5.97902098 89.02097902] ; [ 3.02097902 44.97902098],0
p1,1,0.479032,0.501066,[10 85] ; [ 7 41],[11.29370629 83.70629371] ; [ 5.70629371 42.29370629],0
n2,1,0.501991,0.450724,[23  6] ; [4 2],[22.37142857  6.62857143] ; [4.62857143 1.37142857],0
a8,1,0.502388,0.449888,[10 78] ; [ 3 37],[ 8.9375 79.0625] ; [ 4.0625 35.9375],0
s5,1,0.52538,0.40332,[32 59] ; [14 33],[30.33333333 60.66666667] ; [15.66666667 31.33333333],0
n3,1,0.548624,0.359788,[20  8] ; [5 1],[20.58823529  7.41176471] ; [4.41176471 1.58823529],0
p2,1,0.577037,0.311049,[86  9] ; [42  6],[85.03496503  9.96503497] ; [42.96503497  5.03496503],0
s3,1,0.580261,0.305813,[41 54] ; [18 29],[39.47183099 55.52816901] ; [19.52816901 27.47183099],0
b2,1,0.610078,0.260062,[22 35] ; [12 15],[23.07142857 33.92857143] ; [10.92857143 16.07142857],0
b3,1,0.610078,0.260062,[22 35] ; [12 15],[23.07142857 33.92857143] ; [10.92857143 16.07142857],0
u4,1,0.620154,0.245651,[ 1 94] ; [ 1 47],[ 1.32867133 93.67132867] ; [ 0.67132867 47.32867133],0
s6,1,0.657855,0.196139,[55 38] ; [29 17],[56.20143885 36.79856115] ; [27.79856115 18.20143885],0
b5,1,0.771915,0.084025,[53 42] ; [28 20],[53.81118881 41.18881119] ; [27.18881119 20.81118881],0
s1,1,0.774688,0.081938,[ 3 90] ; [ 2 46],[ 3.29787234 89.70212766] ; [ 1.70212766 46.29787234],0
d4,1,0.80696,0.059707,[73 22] ; [36 12],[72.41258741 22.58741259] ; [36.58741259 11.41258741],0
p7,1,0.810587,0.057441,[78 15] ; [41  7],[78.4893617 14.5106383] ; [40.5106383  7.4893617],0
r3,1,0.819982,0.051787,[89  5] ; [45  3],[88.70422535  5.29577465] ; [45.29577465  2.70422535],0
d5,1,0.944533,0.00484,[71 23] ; [36 12],[70.83098592 23.16901408] ; [36.16901408 11.83098592],0
b1,1,0.946208,0.004552,[41 54] ; [21 27],[41.18881119 53.81118881] ; [20.81118881 27.18881119],0
