Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.002574,9.087455,[10  4] ; [19 47],[5.075 8.925] ; [23.925 42.075],0
b2,1,0.002574,9.087455,[10  4] ; [19 47],[5.075 8.925] ; [23.925 42.075],0
s7,1,0.024612,5.050998,[10 10] ; [28 83],[ 5.80152672 14.19847328] ; [32.19847328 78.80152672],0
a3,1,0.024781,5.039118,[15  5] ; [55 60],[10.37037037  9.62962963] ; [59.62962963 55.37037037],0
s8,1,0.027245,4.875246,[ 8 12] ; [21 95],[ 4.26470588 15.73529412] ; [24.73529412 91.26470588],0
p1,1,0.121953,2.392054,[ 4 16] ; [ 10 106],[ 2.05882353 17.94117647] ; [ 11.94117647 104.05882353],0
p11,1,0.130124,2.291026,[ 9 11] ; [73 43],[12.05882353  7.94117647] ; [69.94117647 46.05882353],0
n2,1,0.145417,2.119682,[7 1] ; [23 15],[5.2173913 2.7826087] ; [24.7826087 13.2173913],0
s6,1,0.150868,2.063448,[11  9] ; [44 72],[ 8.08823529 11.91176471] ; [46.91176471 69.08823529],0
d1,1,0.162542,1.950413,[ 3 17] ; [35 81],[ 5.58823529 14.41176471] ; [32.41176471 83.58823529],0
v1,1,0.18722,1.739362,[ 7 13] ; [24 88],[ 4.6969697 15.3030303] ; [26.3030303 85.6969697],0
n4,1,0.191029,1.709665,[14  6] ; [63 53],[11.32352941  8.67647059] ; [65.67647059 50.32352941],0
p2,1,0.199622,1.645135,[11  9] ; [80 35],[13.48148148  6.51851852] ; [77.51851852 37.48148148],0
a1,1,0.219624,1.506829,[ 3 17] ; [  8 108],[ 1.61764706 18.38235294] ; [  9.38235294 106.61764706],0
s2,1,0.220249,1.502751,[ 9 11] ; [36 80],[ 6.61764706 13.38235294] ; [38.38235294 77.61764706],0
p4,1,0.242398,1.366592,[ 6 14] ; [51 65],[ 8.38235294 11.61764706] ; [48.61764706 67.38235294],0
b5,1,0.273455,1.199332,[10 10] ; [73 43],[12.20588235  7.79411765] ; [70.79411765 45.20588235],0
d2,1,0.306013,1.047805,[ 5 15] ; [42 72],[ 7.01492537 12.98507463] ; [39.98507463 74.01492537],0
r3,1,0.361192,0.833745,[13  7] ; [86 29],[14.66666667  5.33333333] ; [84.33333333 30.66666667],0
n1,1,0.400387,0.707163,[4 4] ; [13 25],[2.95652174 5.04347826] ; [14.04347826 23.95652174],0
