Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.0,26.598848,[  7 135] ; [4 3],[ 10.48322148 131.51677852] ; [0.51677852 6.48322148],1
a4,1,0.001105,10.643519,[ 27 113] ; [5 2],[ 30.47619048 109.52380952] ; [1.52380952 5.47619048],0
a1,1,0.002301,9.292233,[  1 141] ; [1 6],[  1.90604027 140.09395973] ; [0.09395973 6.90604027],0
s7,1,0.031166,4.64379,[52 81] ; [5 1],[54.53956835 78.46043165] ; [2.46043165 3.53956835],0
a8,1,0.07445,3.182075,[ 13 117] ; [2 4],[ 14.33823529 115.66176471] ; [0.66176471 5.33823529],0
s2,1,0.074531,3.180303,[52 86] ; [5 2],[54.24827586 83.75172414] ; [2.75172414 4.24827586],0
u1,1,0.099991,2.705684,[  4 138] ; [1 6],[  4.76510067 137.23489933] ; [0.23489933 6.76510067],0
a6,1,0.10886,2.570692,[78 64] ; [6 1],[80.05369128 61.94630872] ; [3.94630872 3.05369128],0
p6,1,0.122194,2.38897,[41 98] ; [4 3],[42.84246575 96.15753425] ; [2.15753425 4.84246575],0
b5,1,0.124563,2.358993,[80 62] ; [6 1],[81.95973154 60.04026846] ; [4.04026846 2.95973154],0
p8,1,0.146882,2.104336,[60 78] ; [5 2],[61.86206897 76.13793103] ; [3.13793103 3.86206897],0
p1,1,0.176926,1.823256,[ 16 124] ; [2 5],[ 17.14285714 122.85714286] ; [0.85714286 6.14285714],0
a7,1,0.177161,1.821276,[85 56] ; [6 1],[86.69594595 54.30405405] ; [4.30405405 2.69594595],0
b4,1,0.1843,1.762605,[77 65] ; [2 5],[75.2885906 66.7114094] ; [3.7114094 3.2885906],0
s8,1,0.217081,1.523563,[48 92] ; [4 3],[49.52380952 90.47619048] ; [2.47619048 4.52380952],0
r1,1,0.273322,1.2,[92 48] ; [6 1],[93.33333333 46.66666667] ; [4.66666667 2.33333333],0
p3,1,0.273687,1.198176,[62 79] ; [4 2],[63.30612245 77.69387755] ; [2.69387755 3.30612245],0
p4,1,0.276226,1.185564,[71 70] ; [5 2],[72.40540541 68.59459459] ; [3.59459459 3.40540541],0
p7,1,0.45839,0.549823,[79 59] ; [5 2],[79.94482759 58.05517241] ; [4.05517241 2.94482759],0
v4,1,0.478803,0.501589,[131  10] ; [6 1],[130.52027027  10.47972973] ; [6.47972973 0.52027027],0
p11,1,0.485502,0.48648,[105  37] ; [6 1],[105.7852349  36.2147651] ; [5.2147651 1.7852349],0
p10,1,0.502112,0.450469,[102  35] ; [6 1],[102.75  34.25] ; [5.25 1.75],0
b2,1,0.57581,0.313057,[20 66] ; [2 4],[20.56521739 65.43478261] ; [1.43478261 4.56521739],0
b3,1,0.57581,0.313057,[20 66] ; [2 4],[20.56521739 65.43478261] ; [1.43478261 4.56521739],0
p9,1,0.61076,0.25907,[107  31] ; [6 1],[107.54482759  30.45517241] ; [5.45517241 1.54482759],0
s5,1,0.63013,0.231884,[ 34 104] ; [2 4],[ 34.5 103.5] ; [1.5 4.5],0
n5,1,0.635099,0.225209,[111  31] ; [6 1],[111.5033557  30.4966443] ; [5.4966443 1.5033557],0
s4,1,0.680454,0.169615,[ 29 111] ; [1 6],[ 28.57142857 111.42857143] ; [1.42857143 5.57142857],0
s6,1,0.683407,0.166316,[80 57] ; [3 3],[79.51748252 57.48251748] ; [3.48251748 2.51748252],0
b1,1,0.767939,0.087067,[53 89] ; [3 4],[53.36912752 88.63087248] ; [2.63087248 4.36912752],0
s3,1,0.769607,0.085784,[70 66] ; [4 3],[70.37762238 65.62237762] ; [3.62237762 3.37762238],0
n1,1,0.791082,0.070175,[15 22] ; [1 1],[15.17948718 21.82051282] ; [0.82051282 1.17948718],0
p5,1,0.817564,0.053213,[ 16 124] ; [1 6],[ 16.19047619 123.80952381] ; [0.80952381 6.19047619],0
v3,1,0.833579,0.044148,[45 94] ; [2 5],[44.74657534 94.25342466] ; [2.25342466 4.74657534],0
v1,1,0.927687,0.008236,[62 77] ; [3 4],[61.88356164 77.11643836] ; [3.11643836 3.88356164],0
v2,1,0.960578,0.002443,[57 79] ; [3 4],[57.06293706 78.93706294] ; [2.93706294 4.06293706],0
