Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.8e-05,17.575864,[13 21] ; [20  1],[20.4 13.6] ; [12.6  8.4],1
p6,1,0.003516,8.518238,[ 8 27] ; [14  9],[13.27586207 21.72413793] ; [ 8.72413793 14.27586207],0
p4,1,0.004395,8.113036,[11 24] ; [16  7],[16.29310345 18.70689655] ; [10.70689655 12.29310345],0
p11,1,0.007736,7.093619,[15 20] ; [18  5],[19.9137931 15.0862069] ; [13.0862069  9.9137931],0
p2,1,0.009072,6.808696,[21 14] ; [21  2],[25.34482759  9.65517241] ; [16.65517241  6.34482759],0
s7,1,0.010023,6.630749,[11 21] ; [16  7],[15.70909091 16.29090909] ; [11.29090909 11.70909091],0
n5,1,0.033285,4.531075,[10 25] ; [13 10],[13.87931034 21.12068966] ; [ 9.12068966 13.87931034],0
p3,1,0.040258,4.206979,[ 9 26] ; [12 11],[12.67241379 22.32758621] ; [ 8.32758621 14.67241379],0
a3,1,0.146583,2.107453,[22 13] ; [10 13],[19.31034483 15.68965517] ; [12.68965517 10.31034483],0
a6,1,0.146583,2.107453,[22 13] ; [10 13],[19.31034483 15.68965517] ; [12.68965517 10.31034483],0
d2,1,0.193605,1.689969,[15 20] ; [ 6 17],[12.67241379 22.32758621] ; [ 8.32758621 14.67241379],0
s8,1,0.208029,1.585093,[11 24] ; [11 12],[13.27586207 21.72413793] ; [ 8.72413793 14.27586207],0
a4,1,0.214817,1.538661,[13 22] ; [ 5 18],[10.86206897 24.13793103] ; [ 7.13793103 15.86206897],0
s6,1,0.2225,1.488171,[25  9] ; [20  3],[26.84210526  7.15789474] ; [18.15789474  4.84210526],0
u2,1,0.239317,1.384615,[5 8] ; [8 5],[6.5 6.5] ; [6.5 6.5],0
r4,1,0.26208,1.257734,[30  5] ; [17  6],[28.36206897  6.63793103] ; [18.63793103  4.36206897],0
n1,1,0.271644,1.208424,[ 5 13] ; [4 4],[ 6.23076923 11.76923077] ; [2.76923077 5.23076923],0
d3,1,0.300977,1.069861,[24 10] ; [19  4],[25.64912281  8.35087719] ; [17.35087719  5.64912281],0
v2,1,0.311873,1.022727,[15 18] ; [ 7 15],[13.2 19.8] ; [ 8.8 13.2],0
r2,1,0.326033,0.964593,[34  1] ; [21  2],[33.18965517  1.81034483] ; [21.81034483  1.18965517],0
b2,1,0.344085,0.895153,[5 9] ; [ 3 12],[ 3.86206897 10.13793103] ; [ 4.13793103 10.86206897],0
b3,1,0.344085,0.895153,[5 9] ; [ 3 12],[ 3.86206897 10.13793103] ; [ 4.13793103 10.86206897],0
v4,1,0.347284,0.883356,[31  4] ; [22  1],[31.98275862  3.01724138] ; [21.01724138  1.98275862],0
s2,1,0.35027,0.872478,[24 11] ; [13 10],[22.32758621 12.67241379] ; [14.67241379  8.32758621],0
u3,1,0.395416,0.722222,[10  3] ; [8 5],[9. 4.] ; [9. 4.],0
p9,1,0.43297,0.614844,[26  7] ; [16  7],[24.75  8.25] ; [17.25  5.75],0
b4,1,0.480309,0.498162,[23 12] ; [13 10],[21.72413793 13.27586207] ; [14.27586207  8.72413793],0
n3,1,0.49205,0.472041,[11  7] ; [6 2],[11.76923077  6.23076923] ; [5.23076923 2.76923077],0
p10,1,0.518681,0.416514,[24 10] ; [18  5],[25.05263158  8.94736842] ; [16.94736842  6.05263158],0
p1,1,0.522638,0.408685,[ 5 30] ; [ 2 21],[ 4.22413793 30.77586207] ; [ 2.77586207 20.22413793],0
s5,1,0.550944,0.355629,[15 19] ; [11 10],[16.07272727 17.92727273] ; [ 9.92727273 11.07272727],0
a5,1,0.620391,0.245318,[19 16] ; [14  9],[19.9137931 15.0862069] ; [13.0862069  9.9137931],0
n6,1,0.625697,0.237941,[25 10] ; [17  5],[25.78947368  9.21052632] ; [16.21052632  5.78947368],0
v1,1,0.681753,0.168159,[13 22] ; [ 7 15],[12.28070175 22.71929825] ; [ 7.71929825 14.28070175],0
d5,1,0.683909,0.165758,[25  9] ; [18  5],[25.64912281  8.35087719] ; [17.35087719  5.64912281],0
d1,1,0.703651,0.144702,[17 18] ; [10 13],[16.29310345 18.70689655] ; [10.70689655 12.29310345],0
v3,1,0.752044,0.099822,[ 8 26] ; [ 6 16],[ 8.5 25.5] ; [ 5.5 16.5],0
b1,1,0.759847,0.093441,[12 23] ; [ 7 16],[11.46551724 23.53448276] ; [ 7.53448276 15.46551724],0
b5,1,0.790056,0.070883,[24 11] ; [15  8],[23.53448276 11.46551724] ; [15.46551724  7.53448276],0
d4,1,0.804206,0.061458,[28  7] ; [19  4],[28.36206897  6.63793103] ; [18.63793103  4.36206897],0
s3,1,0.854828,0.033475,[22 13] ; [15  8],[22.32758621 12.67241379] ; [14.67241379  8.32758621],0
n2,1,0.882832,0.021721,[13  5] ; [6 2],[13.15384615  4.84615385] ; [5.84615385 2.15384615],0
a7,1,0.933989,0.00686,[24 10] ; [16  7],[23.85964912 10.14035088] ; [16.14035088  6.85964912],0
r1,1,0.947199,0.004386,[21 14] ; [14  9],[21.12068966 13.87931034] ; [13.87931034  9.12068966],0
r3,1,0.986844,0.000272,[32  3] ; [21  2],[31.98275862  3.01724138] ; [21.01724138  1.98275862],0
