Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,2.2e-05,18.00357,[ 8 30] ; [39 21],[18.2244898 19.7755102] ; [28.7755102 31.2244898],1
r3,1,2.5e-05,17.756053,[17 21] ; [51  9],[26.36734694 11.63265306] ; [41.63265306 18.36734694],1
v4,1,3.4e-05,17.176478,[20 18] ; [53  6],[28.59793814  9.40206186] ; [44.40206186 14.59793814],1
s6,1,3.4e-05,17.157465,[ 5 33] ; [33 27],[14.73469388 23.26530612] ; [23.26530612 36.73469388],1
r4,1,0.00017,14.138818,[14 24] ; [45 15],[22.87755102 15.12244898] ; [36.12244898 23.87755102],1
p7,1,0.001291,10.355909,[ 8 28] ; [32 25],[15.48387097 20.51612903] ; [24.51612903 32.48387097],0
p4,1,0.002219,9.358993,[ 5 32] ; [26 34],[11.82474227 25.17525773] ; [19.17525773 40.82474227],0
a1,1,0.00475,7.972073,[ 8 30] ; [ 2 58],[ 3.87755102 34.12244898] ; [ 6.12244898 53.87755102],0
s5,1,0.009274,6.769192,[ 2 34] ; [16 43],[ 6.82105263 29.17894737] ; [11.17894737 47.82105263],0
p10,1,0.009792,6.672412,[12 26] ; [35 25],[18.2244898 19.7755102] ; [28.7755102 31.2244898],0
s8,1,0.010523,6.544176,[ 4 34] ; [20 40],[ 9.30612245 28.69387755] ; [14.69387755 45.30612245],0
s1,1,0.012746,6.203985,[ 7 31] ; [ 2 57],[ 3.5257732 34.4742268] ; [ 5.4742268 53.5257732],0
p3,1,0.017208,5.675059,[ 6 32] ; [23 37],[11.24489796 26.75510204] ; [17.75510204 42.24489796],0
p8,1,0.020822,5.341643,[ 6 31] ; [23 37],[11.06185567 25.93814433] ; [17.93814433 42.06185567],0
s4,1,0.022002,5.245635,[ 3 35] ; [16 44],[ 7.36734694 30.63265306] ; [11.63265306 48.36734694],0
p9,1,0.026057,4.952233,[16 22] ; [39 21],[21.32653061 16.67346939] ; [33.67346939 26.32653061],0
