Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,1.3e-05,18.962812,[223  36] ; [17 14],[214.34482759  44.65517241] ; [25.65517241  5.34482759],1
v4,1,6.8e-05,15.861433,[250   8] ; [25  6],[245.5017301  12.4982699] ; [29.4982699  1.5017301],1
n6,1,0.000103,15.089965,[220  38] ; [17 13],[212.3125  45.6875] ; [24.6875  5.3125],1
r3,1,0.000135,14.566044,[247  12] ; [24  7],[242.03103448  16.96896552] ; [28.96896552  2.03103448],1
r4,1,0.000261,13.331578,[234  25] ; [21 10],[227.74137931  31.25862069] ; [27.25862069  3.74137931],1
p9,1,0.000268,13.284576,[222  34] ; [19 12],[214.96864111  41.03135889] ; [26.03135889  4.96864111],1
n4,1,0.000888,11.048163,[203  55] ; [16 15],[195.50865052  62.49134948] ; [23.49134948  7.50865052],1
s1,1,0.000925,10.971839,[  5 252] ; [ 4 27],[  8.03125 248.96875] ; [ 0.96875 30.03125],1
s7,1,0.001611,9.946978,[112 135] ; [ 4 24],[104.18909091 142.81090909] ; [11.81090909 16.18909091],0
p10,1,0.001624,9.932532,[216  40] ; [19 12],[209.61672474  46.38327526] ; [25.38327526  5.61672474],0
p7,1,0.004475,8.080258,[201  54] ; [16 13],[194.8415493  60.1584507] ; [22.1584507  6.8415493],0
d5,1,0.004768,7.965463,[208  51] ; [18 13],[201.84137931  57.15862069] ; [24.15862069  6.84137931],0
v1,1,0.007795,7.079975,[138 116] ; [ 9 22],[131.01052632 122.98947368] ; [15.98947368 15.01052632],0
r1,1,0.013242,6.13646,[208  50] ; [19 12],[202.65051903  55.34948097] ; [24.34948097  6.65051903],0
s8,1,0.015415,5.868384,[108 150] ; [ 6 25],[101.7716263 156.2283737] ; [12.2283737 18.7716263],0
p4,1,0.019236,5.479915,[183  75] ; [15 15],[177.375  80.625] ; [20.625  9.375],0
d3,1,0.020773,5.345695,[186  73] ; [16 15],[180.40689655  78.59310345] ; [21.59310345  9.40689655],0
