Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,39.993412,[164  94] ; [34 85],[135.50132626 122.49867374] ; [62.49867374 56.50132626],1
b1,1,0.001184,10.514928,[ 89 174] ; [62 59],[103.41927083 159.58072917] ; [47.58072917 73.41927083],0
r3,1,0.002483,9.152725,[256   6] ; [109  11],[250.34031414  11.65968586] ; [114.65968586   5.34031414],0
p3,1,0.003341,8.611477,[165  95] ; [57 63],[151.89473684 108.10526316] ; [70.10526316 49.89473684],0
s7,1,0.014202,6.01291,[149 100] ; [52 61],[138.25690608 110.74309392] ; [62.74309392 50.25690608],0
d4,1,0.014753,5.945682,[227  35] ; [92 28],[218.79057592  43.20942408] ; [100.20942408  19.79057592],0
d1,1,0.016005,5.802335,[177  86] ; [66 55],[166.4296875  96.5703125] ; [76.5703125 44.4296875],0
p11,1,0.022424,5.212602,[225  38] ; [92 29],[217.11197917  45.88802083] ; [99.88802083 21.11197917],0
p7,1,0.038127,4.299328,[192  62] ; [77 41],[183.67204301  70.32795699] ; [85.32795699 32.67204301],0
s4,1,0.038335,4.290086,[ 33 226] ; [25 94],[ 39.74074074 219.25925926] ; [ 18.25925926 100.74074074],0
p6,1,0.053445,3.729954,[124 131] ; [46 75],[115.29255319 139.70744681] ; [54.70744681 66.29255319],0
d3,1,0.054934,3.684088,[192  70] ; [77 44],[184.0156658  77.9843342] ; [84.9843342 36.0156658],0
p10,1,0.071793,3.241552,[235  23] ; [101  18],[229.94164456  28.05835544] ; [106.05835544  12.94164456],0
u1,1,0.10054,2.69695,[ 63 200] ; [ 20 101],[ 56.84635417 206.15364583] ; [26.15364583 94.84635417],0
r2,1,0.117827,2.445967,[247  13] ; [119   2],[249.76377953  10.23622047] ; [116.23622047   4.76377953],0
p9,1,0.138219,2.197674,[238  20] ; [105  15],[234.11111111  23.88888889] ; [108.88888889  11.11111111],0
p4,1,0.147103,2.102041,[188  71] ; [79 42],[181.98157895  77.01842105] ; [85.01842105 35.98157895],0
s1,1,0.193383,1.691652,[  5 253] ; [  5 112],[  6.88 251.12] ; [  3.12 113.88],0
p2,1,0.196961,1.664769,[232  29] ; [101  19],[228.11811024  32.88188976] ; [104.88188976  15.11811024],0
d2,1,0.208235,1.583652,[141 120] ; [57 64],[135.28272251 125.71727749] ; [62.71727749 58.28272251],0
s8,1,0.222153,1.490409,[141 117] ; [58 63],[135.46701847 122.53298153] ; [63.53298153 57.46701847],0
a5,1,0.303998,1.056572,[208  55] ; [90 31],[204.09895833  58.90104167] ; [93.90104167 27.09895833],0
a3,1,0.311384,1.024796,[204  58] ; [87 32],[200.11023622  61.88976378] ; [90.88976378 28.11023622],0
p8,1,0.331196,0.944216,[160  95] ; [69 51],[155.72  99.28] ; [73.28 46.72],0
p12,1,0.331778,0.941947,[ 30 230] ; [ 10 111],[ 27.29658793 232.70341207] ; [ 12.70341207 108.29658793],0
r4,1,0.357673,0.846047,[246  17] ; [110  11],[243.82291667  19.17708333] ; [112.17708333   8.82291667],0
s2,1,0.43294,0.614924,[146 111] ; [63 57],[142.47480106 114.52519894] ; [66.52519894 53.47480106],0
n1,1,0.446504,0.579512,[19 22] ; [14 11],[20.5 20.5] ; [12.5 12.5],0
d5,1,0.448961,0.573274,[220  42] ; [97 23],[217.41884817  44.58115183] ; [99.58115183 20.41884817],0
u2,1,0.452056,0.565493,[32 26] ; [16 18],[30.26086957 27.73913043] ; [17.73913043 16.26086957],0
v4,1,0.474886,0.510584,[253   9] ; [115   6],[251.73890339  10.26109661] ; [116.26109661   4.73890339],0
b4,1,0.479412,0.500201,[160 103] ; [69 52],[156.84114583 106.15885417] ; [72.15885417 48.84114583],0
a7,1,0.481755,0.494888,[191  71] ; [84 37],[188.12010444  73.87989556] ; [86.87989556 34.12010444],0
s3,1,0.504086,0.446324,[143 114] ; [70 48],[145.976 111.024] ; [67.024 50.976],0
u4,1,0.505466,0.443442,[ 10 253] ; [  3 118],[  8.90364583 254.09635417] ; [  4.09635417 116.90364583],0
u3,1,0.516959,0.419956,[37 22] ; [19 15],[35.52688172 23.47311828] ; [20.47311828 13.52688172],0
n3,1,0.53755,0.380099,[31 11] ; [16  8],[29.90909091 12.09090909] ; [17.09090909  6.90909091],0
s6,1,0.550446,0.35652,[189  68] ; [84 35],[186.59840426  70.40159574] ; [86.40159574 32.59840426],0
a2,1,0.594445,0.283455,[ 72 191] ; [30 91],[ 69.859375 193.140625] ; [32.140625 88.859375],0
n4,1,0.597114,0.27937,[237  26] ; [106  14],[235.53263708  27.46736292] ; [107.46736292  12.53263708],0
b5,1,0.650006,0.205893,[161 102] ; [77 44],[163.00520833  99.99479167] ; [74.99479167 46.00520833],0
n2,1,0.7197,0.12878,[33  8] ; [21  4],[33.54545455  7.45454545] ; [20.45454545  4.54545455],0
a4,1,0.734376,0.115131,[126 136] ; [55 64],[124.4671916 137.5328084] ; [56.5328084 62.4671916],0
a6,1,0.741769,0.108578,[177  84] ; [80 41],[175.59424084  85.40575916] ; [81.40575916 39.59424084],0
a8,1,0.777798,0.079631,[ 39 193] ; [17 92],[ 38.09970674 193.90029326] ; [17.90029326 91.09970674],0
n6,1,0.803699,0.061783,[240  22] ; [109  11],[239.36649215  22.63350785] ; [109.63350785  10.36649215],0
p1,1,0.813416,0.055706,[ 24 238] ; [ 12 109],[ 24.62663185 237.37336815] ; [ 11.37336815 109.62663185],0
a1,1,0.85327,0.034206,[ 14 249] ; [  7 114],[ 14.3828125 248.6171875] ; [  6.6171875 114.3828125],0
s5,1,0.881621,0.022176,[101 154] ; [45 71],[100.35040431 154.64959569] ; [45.64959569 70.35040431],0
p5,1,0.97015,0.0014,[ 44 218] ; [20 98],[ 44.12631579 217.87368421] ; [19.87368421 98.12631579],0
b2,1,0.998318,4e-06,[ 70 103] ; [34 50],[ 70.0077821 102.9922179] ; [33.9922179 50.0077821],0
b3,1,0.998318,4e-06,[ 70 103] ; [34 50],[ 70.0077821 102.9922179] ; [33.9922179 50.0077821],0
r1,1,0.99937,1e-06,[221  42] ; [100  19],[221.0026178  41.9973822] ; [99.9973822 19.0026178],0
