Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2e-06,22.956737,[ 3 36] ; [6 1],[ 7.63043478 31.36956522] ; [1.36956522 5.63043478],1
s5,1,0.002599,9.069903,[ 3 40] ; [3 3],[ 5.26530612 37.73469388] ; [0.73469388 5.26530612],0
p9,1,0.003105,8.744699,[11 29] ; [6 1],[14.46808511 25.53191489] ; [2.53191489 4.46808511],0
u1,1,0.006697,7.35256,[ 1 42] ; [2 5],[ 2.58 40.42] ; [0.42 6.58],0
p2,1,0.006706,7.35,[ 9 33] ; [5 2],[12. 30.] ; [2. 5.],0
p4,1,0.009195,6.784615,[ 6 36] ; [4 3],[ 8.57142857 33.42857143] ; [1.42857143 5.57142857],0
n6,1,0.016506,5.748155,[16 27] ; [6 1],[18.92 24.08] ; [3.08 3.92],0
r4,1,0.017659,5.629629,[ 4 39] ; [3 4],[ 6.02 36.98] ; [0.98 6.02],0
p10,1,0.027423,4.863971,[12 30] ; [5 2],[14.57142857 27.42857143] ; [2.42857143 4.57142857],0
s2,1,0.036612,4.368375,[ 5 38] ; [3 4],[ 6.88 36.12] ; [1.12 5.88],0
s3,1,0.052819,3.74965,[ 9 32] ; [4 3],[11.10416667 29.89583333] ; [1.89583333 5.10416667],0
n2,1,0.081885,3.027088,[10 13] ; [5 1],[11.89655172 11.10344828] ; [3.10344828 2.89655172],0
p6,1,0.082915,3.006818,[ 3 39] ; [2 5],[ 4.28571429 37.71428571] ; [0.71428571 6.28571429],0
r1,1,0.088924,2.893748,[16 27] ; [5 2],[18.06 24.94] ; [2.94 4.06],0
d4,1,0.109154,2.566432,[23 20] ; [6 1],[24.94 18.06] ; [4.06 2.94],0
p12,1,0.134262,2.242525,[ 1 42] ; [1 6],[ 1.72 41.28] ; [0.28 6.72],0
d3,1,0.1455,2.11881,[18 25] ; [5 2],[19.78 23.22] ; [3.22 3.78],0
a7,1,0.1455,2.11881,[18 25] ; [5 2],[19.78 23.22] ; [3.22 3.78],0
a2,1,0.145702,2.116682,[ 4 39] ; [2 5],[ 5.16 37.84] ; [0.84 6.16],0
s6,1,0.150869,2.06344,[ 8 35] ; [3 4],[ 9.46 33.54] ; [1.54 5.46],0
p1,1,0.230883,1.435415,[ 5 38] ; [2 5],[ 6.02 36.98] ; [0.98 6.02],0
d1,1,0.260516,1.266012,[15 28] ; [4 3],[16.34 26.66] ; [2.66 4.34],0
b3,1,0.270713,1.213131,[13 15] ; [1 4],[11.87878788 16.12121212] ; [2.12121212 2.87878788],0
b2,1,0.270713,1.213131,[13 15] ; [1 4],[11.87878788 16.12121212] ; [2.12121212 2.87878788],0
v3,1,0.27289,1.202161,[10 33] ; [3 4],[11.18 31.82] ; [1.82 5.18],0
n1,1,0.311405,1.024707,[10 13] ; [4 2],[11.10344828 11.89655172] ; [2.89655172 3.10344828],0
b4,1,0.318441,0.99534,[22 21] ; [5 2],[23.22 19.78] ; [3.78 3.22],0
d2,1,0.342474,0.901149,[16 26] ; [4 3],[17.14285714 24.85714286] ; [2.85714286 4.14285714],0
v2,1,0.343765,0.896341,[ 6 36] ; [2 5],[ 6.85714286 35.14285714] ; [1.14285714 5.85714286],0
d5,1,0.375209,0.78634,[23 20] ; [5 2],[24.08 18.92] ; [3.92 3.08],0
b5,1,0.381397,0.766193,[17 26] ; [4 3],[18.06 24.94] ; [2.94 4.06],0
n5,1,0.383525,0.759374,[30 13] ; [6 1],[30.96 12.04] ; [5.04 1.96],0
u2,1,0.421317,0.646639,[ 4 13] ; [1 1],[ 4.47368421 12.52631579] ; [0.52631579 1.47368421],0
u3,1,0.421317,0.646639,[ 4 13] ; [1 1],[ 4.47368421 12.52631579] ; [0.52631579 1.47368421],0
a6,1,0.450017,0.570609,[18 25] ; [4 3],[18.92 24.08] ; [3.08 3.92],0
p8,1,0.451402,0.56713,[ 7 35] ; [2 5],[ 7.71428571 34.28571429] ; [1.28571429 5.71428571],0
a5,1,0.601596,0.272596,[20 23] ; [4 3],[20.64 22.36] ; [3.36 3.64],0
p3,1,0.674975,0.175837,[ 9 33] ; [2 5],[ 9.42857143 32.57142857] ; [1.57142857 5.42857143],0
a3,1,0.682001,0.167882,[26 15] ; [5 2],[26.47916667 14.52083333] ; [4.52083333 2.47916667],0
b1,1,0.74371,0.106893,[28 15] ; [5 2],[28.38 14.62] ; [4.62 2.38],0
n4,1,0.74371,0.106893,[28 15] ; [5 2],[28.38 14.62] ; [4.62 2.38],0
n3,1,0.750469,0.101137,[11 12] ; [2 3],[10.67857143 12.32142857] ; [2.32142857 2.67857143],0
a4,1,0.751412,0.100348,[15 26] ; [3 4],[15.375 25.625] ; [2.625 4.375],0
s4,1,0.782683,0.076079,[ 8 35] ; [1 6],[ 7.74 35.26] ; [1.26 5.74],0
v1,1,0.867172,0.027973,[11 32] ; [2 5],[11.18 31.82] ; [1.82 5.18],0
r2,1,0.876947,0.023976,[26 15] ; [4 2],[26.17021277 14.82978723] ; [3.82978723 2.17021277],0
