Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,6e-06,20.604252,[14  8] ; [13 69],[ 5.71153846 16.28846154] ; [21.28846154 60.71153846],1
p8,1,7.4e-05,15.705692,[17  6] ; [24 60],[ 8.81308411 14.18691589] ; [32.18691589 51.81308411],1
s6,1,0.00137,10.24542,[16  7] ; [27 56],[ 9.33018868 13.66981132] ; [33.66981132 49.33018868],0
s2,1,0.003562,8.494682,[13 10] ; [21 64],[ 7.24074074 15.75925926] ; [26.75925926 58.24074074],0
s3,1,0.004567,8.043403,[15  8] ; [27 56],[ 9.11320755 13.88679245] ; [32.88679245 50.11320755],0
s1,1,0.007506,7.14759,[ 3 20] ; [ 1 84],[ 0.85185185 22.14814815] ; [ 3.14814815 81.85185185],0
v2,1,0.008435,6.938748,[13  9] ; [24 59],[ 7.75238095 14.24761905] ; [29.24761905 53.75238095],0
p4,1,0.010721,6.510928,[14  9] ; [27 58],[ 8.73148148 14.26851852] ; [32.26851852 52.73148148],0
p10,1,0.016837,5.71325,[18  4] ; [44 38],[13.11538462  8.88461538] ; [48.88461538 33.11538462],0
u2,1,0.040598,4.192716,[11  5] ; [21 32],[7.42028986 8.57971014] ; [24.57971014 28.42028986],0
p7,1,0.048986,3.875822,[15  7] ; [37 46],[10.8952381 11.1047619] ; [41.1047619 41.8952381],0
u3,1,0.050957,3.809671,[9 7] ; [16 38],[ 5.71428571 10.28571429] ; [19.28571429 34.71428571],0
r4,1,0.055309,3.672747,[16  7] ; [40 45],[11.92592593 11.07407407] ; [44.07407407 40.92592593],0
p1,1,0.079904,3.066851,[ 4 19] ; [ 5 79],[ 1.93457944 21.06542056] ; [ 7.06542056 76.93457944],0
p6,1,0.080787,3.049002,[ 9 12] ; [20 64],[ 5.8 15.2] ; [23.2 60.8],0
p11,1,0.086799,2.932752,[18  5] ; [50 35],[14.48148148  8.51851852] ; [53.51851852 31.48148148],0
p9,1,0.100804,2.692778,[19  4] ; [53 29],[15.77142857  7.22857143] ; [56.22857143 25.77142857],0
d4,1,0.104853,2.630127,[16  7] ; [43 42],[12.56481481 10.43518519] ; [46.43518519 38.56481481],0
r3,1,0.117109,2.455567,[21  2] ; [65 20],[18.31481481  4.68518519] ; [67.68518519 17.31481481],0
p3,1,0.129381,2.299915,[10 13] ; [23 62],[ 7.02777778 15.97222222] ; [25.97222222 59.02777778],0
v1,1,0.131684,2.272543,[11 12] ; [26 58],[ 7.95327103 15.04672897] ; [29.04672897 54.95327103],0
d1,1,0.13331,2.253532,[ 7 16] ; [14 71],[ 4.47222222 18.52777778] ; [16.52777778 68.47222222],0
s4,1,0.135917,2.223589,[ 8 15] ; [17 68],[ 5.32407407 17.67592593] ; [19.67592593 65.32407407],0
v4,1,0.156432,2.008379,[20  2] ; [65 19],[17.64150943  4.35849057] ; [67.35849057 16.64150943],0
a7,1,0.194967,1.67968,[15  8] ; [42 42],[12.25233645 10.74766355] ; [44.74766355 39.25233645],0
b1,1,0.300265,1.073018,[ 7 16] ; [36 49],[ 9.15740741 13.84259259] ; [33.84259259 51.15740741],0
u1,1,0.316907,1.00167,[ 1 22] ; [ 1 84],[ 0.42592593 22.57407407] ; [ 1.57407407 83.42592593],0
b2,1,0.323275,0.975652,[ 3 12] ; [17 34],[ 4.54545455 10.45454545] ; [15.45454545 35.54545455],0
b3,1,0.323275,0.975652,[ 3 12] ; [17 34],[ 4.54545455 10.45454545] ; [15.45454545 35.54545455],0
p5,1,0.366337,0.816052,[ 3 20] ; [ 6 78],[ 1.93457944 21.06542056] ; [ 7.06542056 76.93457944],0
b4,1,0.376313,0.782711,[12 11] ; [53 32],[13.84259259  9.15740741] ; [51.15740741 33.84259259],0
r2,1,0.392458,0.731312,[17  4] ; [61 24],[15.45283019  5.54716981] ; [62.54716981 22.45283019],0
p12,1,0.458653,0.54918,[ 2 21] ; [ 4 81],[ 1.27777778 21.72222222] ; [ 4.72222222 80.27777778],0
a3,1,0.565637,0.330038,[ 7 16] ; [31 53],[ 8.1682243 14.8317757] ; [29.8317757 54.1682243],0
