Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,8e-06,19.997184,[4 3] ; [ 10 134],[0.64900662 6.35099338] ; [ 13.35099338 130.64900662],1
a1,1,0.002129,9.434987,[1 6] ; [  1 143],[0.09271523 6.90728477] ; [  1.90728477 142.09271523],0
a4,1,0.002766,8.955973,[5 2] ; [ 31 111],[1.69127517 5.30872483] ; [ 34.30872483 107.69127517],0
v4,1,0.01741,5.65455,[6 1] ; [141   2],[6.86 0.14] ; [140.14   2.86],0
s7,1,0.035254,4.432844,[5 1] ; [54 81],[2.5106383 3.4893617] ; [56.4893617 78.5106383],0
u1,1,0.049618,3.854334,[1 6] ; [  3 141],[0.18543046 6.81456954] ; [  3.81456954 140.18543046],0
s2,1,0.062757,3.462981,[5 2] ; [51 89],[2.66666667 4.33333333] ; [53.33333333 86.66666667],0
p6,1,0.104008,2.642988,[4 3] ; [ 40 101],[2.08108108 4.91891892] ; [41.91891892 99.08108108],0
a8,1,0.131325,2.276768,[2 4] ; [ 16 116],[0.7826087 5.2173913] ; [ 17.2173913 114.7826087],0
b5,1,0.149381,2.078558,[6 1] ; [84 60],[4.17218543 2.82781457] ; [85.82781457 58.17218543],0
p8,1,0.176699,1.825173,[5 2] ; [63 76],[3.26027397 3.73972603] ; [64.73972603 74.26027397],0
a6,1,0.179005,1.805867,[6 1] ; [87 57],[4.31125828 2.68874172] ; [88.68874172 55.31125828],0
b4,1,0.224292,1.476695,[2 5] ; [75 69],[3.56953642 3.43046358] ; [73.43046358 70.56953642],0
a7,1,0.232808,1.42362,[6 1] ; [91 52],[4.52666667 2.47333333] ; [92.47333333 50.52666667],0
p1,1,0.25515,1.294885,[2 5] ; [ 19 124],[0.98 6.02] ; [ 20.02 122.98],0
s8,1,0.273759,1.197814,[4 3] ; [52 90],[2.63087248 4.36912752] ; [53.36912752 88.63087248],0
p4,1,0.291989,1.110428,[5 2] ; [73 70],[3.64 3.36] ; [74.36 68.64],0
p3,1,0.341114,0.906241,[4 2] ; [67 76],[2.8590604 3.1409396] ; [68.1409396 74.8590604],0
p10,1,0.468084,0.526496,[6 1] ; [102  37],[5.17808219 1.82191781] ; [102.82191781  36.17808219],0
n5,1,0.491256,0.473774,[6 1] ; [106  37],[5.22666667 1.77333333] ; [106.77333333  36.22666667],0
p11,1,0.519823,0.414245,[6 1] ; [108  36],[5.28476821 1.71523179] ; [108.71523179  35.28476821],0
p7,1,0.522417,0.40912,[5 2] ; [83 57],[4.19047619 2.80952381] ; [83.80952381 56.19047619],0
b2,1,0.537254,0.380654,[2 4] ; [19 66],[1.38461538 4.61538462] ; [19.61538462 65.38461538],0
b3,1,0.537254,0.380654,[2 4] ; [19 66],[1.38461538 4.61538462] ; [19.61538462 65.38461538],0
r1,1,0.58159,0.303671,[6 1] ; [109  33],[5.40268456 1.59731544] ; [109.59731544  32.40268456],0
s6,1,0.584017,0.299785,[3 3] ; [85 54],[3.64137931 2.35862069] ; [84.35862069 54.64137931],0
p9,1,0.595824,0.28134,[6 1] ; [108  32],[5.42857143 1.57142857] ; [108.57142857  31.42857143],0
s5,1,0.598444,0.277349,[2 4] ; [ 33 105],[1.45833333 4.54166667] ; [ 33.54166667 104.45833333],0
v3,1,0.672655,0.178513,[2 5] ; [51 89],[2.52380952 4.47619048] ; [50.47619048 89.52380952],0
b1,1,0.775239,0.081527,[3 4] ; [54 90],[2.64238411 4.35761589] ; [54.35761589 89.64238411],0
n1,1,0.779361,0.078485,[1 1] ; [14 21],[0.81081081 1.18918919] ; [14.18918919 20.81081081],0
s4,1,0.787287,0.072811,[1 6] ; [ 26 116],[1.26845638 5.73154362] ; [ 25.73154362 116.26845638],0
v1,1,0.796027,0.066818,[3 4] ; [67 73],[3.33333333 3.66666667] ; [66.66666667 73.33333333],0
p5,1,0.806306,0.06012,[1 6] ; [ 16 126],[0.79865772 6.20134228] ; [ 16.20134228 125.79865772],0
s3,1,0.810993,0.057191,[4 3] ; [73 66],[3.69178082 3.30821918] ; [73.30821918 65.69178082],0
v2,1,0.920698,0.009911,[3 4] ; [60 74],[3.12765957 3.87234043] ; [59.87234043 74.12765957],0
