Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1.6e-05,18.575113,[ 1 11] ; [13  1],[6.46153846 5.53846154] ; [7.53846154 6.46153846],1
s7,1,0.002699,9.000375,[3 9] ; [11  2],[6.72 5.28] ; [7.28 5.72],0
p6,1,0.021743,5.266204,[ 1 11] ; [7 7],[3.69230769 8.30769231] ; [4.30769231 9.69230769],0
a6,1,0.034442,4.472619,[ 2 10] ; [8 6],[4.61538462 7.38461538] ; [5.38461538 8.61538462],0
d1,1,0.074905,3.172113,[ 2 10] ; [7 7],[4.15384615 7.84615385] ; [4.84615385 9.15384615],0
n5,1,0.074905,3.172113,[10  2] ; [7 7],[7.84615385 4.15384615] ; [9.15384615 4.84615385],0
s8,1,0.098543,2.728968,[ 1 11] ; [5 9],[2.76923077 9.23076923] ; [ 3.23076923 10.76923077],0
s5,1,0.103522,2.650421,[ 1 11] ; [4 7],[2.60869565 9.39130435] ; [2.39130435 8.60869565],0
r2,1,0.107364,2.592596,[4 7] ; [9 4],[5.95833333 5.04166667] ; [7.04166667 5.95833333],0
s6,1,0.125695,2.344877,[5 7] ; [10  4],[6.92307692 5.07692308] ; [8.07692308 5.92307692],0
d4,1,0.126858,2.330532,[6 6] ; [11  3],[7.84615385 4.15384615] ; [9.15384615 4.84615385],0
p3,1,0.191473,1.70625,[3 9] ; [7 7],[4.61538462 7.38461538] ; [5.38461538 8.61538462],0
r1,1,0.191785,1.703855,[ 1 11] ; [ 4 10],[2.30769231 9.69230769] ; [ 2.69230769 11.30769231],0
b5,1,0.262871,1.253571,[6 6] ; [10  4],[7.38461538 4.61538462] ; [8.61538462 5.38461538],0
p2,1,0.26501,1.242394,[7 5] ; [11  3],[8.30769231 3.69230769] ; [9.69230769 4.30769231],0
v4,1,0.26501,1.242394,[7 5] ; [11  3],[8.30769231 3.69230769] ; [9.69230769 4.30769231],0
p8,1,0.301941,1.065601,[4 8] ; [7 6],[5.28 6.72] ; [5.72 7.28],0
p4,1,0.391153,0.735354,[4 8] ; [7 7],[5.07692308 6.92307692] ; [5.92307692 8.07692308],0
a5,1,0.391153,0.735354,[4 8] ; [7 7],[5.07692308 6.92307692] ; [5.92307692 8.07692308],0
n6,1,0.391153,0.735354,[8 4] ; [7 7],[6.92307692 5.07692308] ; [8.07692308 5.92307692],0
a3,1,0.431401,0.619048,[5 7] ; [8 6],[6. 6.] ; [7. 7.],0
p9,1,0.431401,0.619048,[5 7] ; [8 6],[6. 6.] ; [7. 7.],0
d5,1,0.462325,0.54026,[6 6] ; [9 5],[6.92307692 5.07692308] ; [8.07692308 5.92307692],0
a4,1,0.555126,0.348214,[3 9] ; [5 9],[3.69230769 8.30769231] ; [4.30769231 9.69230769],0
p7,1,0.561471,0.337163,[6 6] ; [8 5],[6.72 5.28] ; [7.28 5.72],0
n2,1,0.59298,0.285714,[3 4] ; [4 3],[3.5 3.5] ; [3.5 3.5],0
s1,1,0.635788,0.224293,[ 1 11] ; [ 2 12],[ 1.38461538 10.61538462] ; [ 1.61538462 12.38461538],0
b1,1,0.715697,0.132653,[6 6] ; [6 8],[5.53846154 6.46153846] ; [6.46153846 7.53846154],0
n4,1,0.715697,0.132653,[6 6] ; [8 6],[6.46153846 5.53846154] ; [7.53846154 6.46153846],0
r3,1,0.715697,0.132653,[6 6] ; [8 6],[6.46153846 5.53846154] ; [7.53846154 6.46153846],0
a7,1,0.715697,0.132653,[6 6] ; [8 6],[6.46153846 5.53846154] ; [7.53846154 6.46153846],0
u2,1,0.724939,0.12381,[4 3] ; [4 2],[4.30769231 2.69230769] ; [3.69230769 2.30769231],0
b4,1,0.755794,0.096726,[5 7] ; [5 9],[4.61538462 7.38461538] ; [5.38461538 8.61538462],0
d3,1,0.755794,0.096726,[7 5] ; [9 5],[7.38461538 4.61538462] ; [8.61538462 5.38461538],0
p11,1,0.755794,0.096726,[7 5] ; [9 5],[7.38461538 4.61538462] ; [8.61538462 5.38461538],0
v1,1,0.758742,0.094331,[ 2 10] ; [ 3 11],[2.30769231 9.69230769] ; [ 2.69230769 11.30769231],0
u3,1,0.796762,0.066327,[4 3] ; [3 3],[3.76923077 3.23076923] ; [3.23076923 2.76923077],0
v2,1,0.890787,0.018854,[4 8] ; [4 9],[3.84 8.16] ; [4.16 8.84],0
v3,1,0.909583,0.012897,[ 1 11] ; [ 1 13],[ 0.92307692 11.07692308] ; [ 1.07692308 12.92307692],0
d2,1,0.951159,0.003752,[5 7] ; [6 8],[5.07692308 6.92307692] ; [5.92307692 8.07692308],0
p10,1,0.951159,0.003752,[7 5] ; [8 6],[6.92307692 5.07692308] ; [8.07692308 5.92307692],0
n3,1,1.0,0.0,[4 3] ; [4 3],[4. 3.] ; [4. 3.],0
b2,1,1.0,0.0,[2 7] ; [2 7],[2. 7.] ; [2. 7.],0
n1,1,1.0,0.0,[2 5] ; [2 5],[2. 5.] ; [2. 5.],0
b3,1,1.0,0.0,[2 7] ; [2 7],[2. 7.] ; [2. 7.],0
