Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,5e-06,20.845437,[39 16] ; [ 4 21],[29.5625 25.4375] ; [13.4375 11.5625],1
d4,1,0.000496,12.131778,[49  7] ; [13 12],[42.86419753 13.13580247] ; [19.13580247  5.86419753],1
a5,1,0.000802,11.23573,[36 20] ; [ 6 19],[29.03703704 26.96296296] ; [12.96296296 12.03703704],1
d2,1,0.005862,7.592388,[27 29] ; [ 4 21],[21.43209877 34.56790123] ; [ 9.56790123 15.43209877],0
a6,1,0.006522,7.400211,[34 22] ; [ 7 18],[28.34567901 27.65432099] ; [12.65432099 12.34567901],0
v2,1,0.015406,5.869489,[34 20] ; [ 8 16],[29.07692308 24.92307692] ; [12.92307692 11.07692308],0
s5,1,0.01715,5.680948,[15 39] ; [ 1 23],[11.07692308 42.92307692] ; [ 4.92307692 19.07692308],0
a4,1,0.028783,4.780544,[20 36] ; [ 3 22],[15.90123457 40.09876543] ; [ 7.09876543 17.90123457],0
a7,1,0.041531,4.154215,[36 20] ; [10 15],[31.80246914 24.19753086] ; [14.19753086 10.80246914],0
a3,1,0.042159,4.128826,[37 19] ; [10 14],[32.9 23.1] ; [14.1  9.9],0
r2,1,0.059859,3.541275,[33 18] ; [10 14],[29.24 21.76] ; [13.76 10.24],0
s3,1,0.060786,3.515816,[29 24] ; [ 8 17],[25.14102564 27.85897436] ; [11.85897436 13.14102564],0
s7,1,0.079476,3.075585,[24 28] ; [ 6 18],[20.52631579 31.47368421] ; [ 9.47368421 14.52631579],0
s6,1,0.091322,2.850909,[31 24] ; [ 9 16],[27.5 27.5] ; [12.5 12.5],0
v3,1,0.129447,2.29912,[15 40] ; [ 3 22],[12.375 42.625] ; [ 5.625 19.375],0
p3,1,0.129954,2.293059,[20 34] ; [ 5 20],[17.08860759 36.91139241] ; [ 7.91139241 17.08860759],0
s1,1,0.145386,2.120008,[ 2 54] ; [ 3 22],[ 3.45679012 52.54320988] ; [ 1.54320988 23.45679012],0
s2,1,0.153204,2.040058,[27 28] ; [ 8 17],[24.0625 30.9375] ; [10.9375 14.0625],0
p8,1,0.156581,2.006943,[17 37] ; [12 13],[19.82278481 34.17721519] ; [ 9.17721519 15.82278481],0
u2,1,0.166926,1.91034,[10  9] ; [ 4 10],[ 8.06060606 10.93939394] ; [5.93939394 8.06060606],0
p4,1,0.20025,1.640549,[26 29] ; [ 8 17],[23.375 31.625] ; [10.625 14.375],0
p7,1,0.20531,1.604194,[22 32] ; [14 11],[24.60759494 29.39240506] ; [11.39240506 13.60759494],0
b1,1,0.212786,1.55237,[23 33] ; [14 11],[25.58024691 30.41975309] ; [11.41975309 13.58024691],0
u3,1,0.239731,1.382174,[ 7 11] ; [ 3 12],[ 5.45454545 12.54545455] ; [ 4.54545455 10.45454545],0
r1,1,0.272115,1.206055,[15 40] ; [ 4 21],[13.0625 41.9375] ; [ 5.9375 19.0625],0
b4,1,0.374315,0.78929,[35 21] ; [13 12],[33.18518519 22.81481481] ; [14.81481481 10.18518519],0
p6,1,0.407143,0.687129,[15 37] ; [ 5 20],[13.50649351 38.49350649] ; [ 6.49350649 18.50649351],0
n4,1,0.462893,0.53889,[34 22] ; [13 12],[32.49382716 23.50617284] ; [14.50617284 10.49382716],0
b5,1,0.466568,0.530092,[31 25] ; [16  9],[32.49382716 23.50617284] ; [14.50617284 10.49382716],0
n3,1,0.548585,0.359859,[13  9] ; [9 4],[13.82857143  8.17142857] ; [8.17142857 4.82857143],0
p5,1,0.575125,0.314182,[ 4 51] ; [ 1 24],[ 3.4375 51.5625] ; [ 1.5625 23.4375],0
v1,1,0.581523,0.30378,[22 31] ; [ 8 15],[20.92105263 32.07894737] ; [ 9.07894737 13.92105263],0
n5,1,0.6003,0.274543,[29 25] ; [15 10],[30.07594937 23.92405063] ; [13.92405063 11.07594937],0
p11,1,0.615315,0.252508,[39 17] ; [16  9],[38.02469136 17.97530864] ; [16.97530864  8.02469136],0
a1,1,0.647994,0.208438,[ 3 53] ; [ 2 23],[ 3.45679012 52.54320988] ; [ 1.54320988 23.45679012],0
a8,1,0.659293,0.194383,[ 3 50] ; [ 2 22],[ 3.44155844 49.55844156] ; [ 1.55844156 22.44155844],0
s4,1,0.665773,0.186586,[ 9 47] ; [ 5 20],[ 9.67901235 46.32098765] ; [ 4.32098765 20.67901235],0
b2,1,0.691615,0.157343,[ 8 24] ; [4 9],[ 8.53333333 23.46666667] ; [3.46666667 9.53333333],0
b3,1,0.691615,0.157343,[ 8 24] ; [4 9],[ 8.53333333 23.46666667] ; [3.46666667 9.53333333],0
n1,1,0.763208,0.090764,[ 6 17] ; [4 9],[ 6.38888889 16.61111111] ; [3.61111111 9.38888889],0
