Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5.2e-05,16.362152,[78  6] ; [13  9],[72.11320755 11.88679245] ; [18.88679245  3.11320755],1
r2,1,7.4e-05,15.71796,[86  1] ; [17  5],[82.21100917  4.78899083] ; [20.78899083  1.21100917],1
d2,1,8.4e-05,15.465875,[57 31] ; [ 4 18],[48.8 39.2] ; [12.2  9.8],1
a4,1,0.000805,11.229167,[47 41] ; [ 3 19],[40. 48.] ; [10. 12.],1
v4,1,0.000911,11.0,[84  4] ; [16  6],[80.  8.] ; [20.  2.],1
r4,1,0.001173,10.531915,[80  8] ; [14  8],[75.2 12.8] ; [18.8  3.2],0
s8,1,0.002944,8.841586,[55 33] ; [ 6 16],[48.8 39.2] ; [12.2  9.8],0
n3,1,0.00617,7.5,[27  5] ; [3 5],[24.  8.] ; [6. 2.],0
a3,1,0.010502,6.547619,[65 23] ; [10 12],[60. 28.] ; [15.  7.],0
r1,1,0.010812,6.495992,[73 14] ; [13  9],[68.64220183 18.35779817] ; [17.35779817  4.64220183],0
v2,1,0.010855,6.488915,[51 31] ; [ 7 15],[45.73076923 36.26923077] ; [12.26923077  9.73076923],0
r3,1,0.030583,4.676195,[82  4] ; [18  4],[79.62962963  6.37037037] ; [20.37037037  1.62962963],0
b4,1,0.034446,4.472446,[54 34] ; [ 8 14],[49.6 38.4] ; [12.4  9.6],0
d3,1,0.044075,4.053695,[67 21] ; [12 10],[63.2 24.8] ; [15.8  6.2],0
a7,1,0.044075,4.053695,[67 21] ; [12 10],[63.2 24.8] ; [15.8  6.2],0
a5,1,0.053554,3.726539,[63 25] ; [11 11],[59.2 28.8] ; [14.8  7.2],0
s5,1,0.056948,3.624114,[41 38] ; [ 6 15],[37.13 41.87] ; [ 9.87 11.13],0
d4,1,0.063732,3.4375,[75 13] ; [15  7],[72. 16.] ; [18.  4.],0
s4,1,0.074358,3.184095,[29 59] ; [ 3 19],[25.6 62.4] ; [ 6.4 15.6],0
s7,1,0.076081,3.146703,[55 19] ; [12 10],[51.64583333 22.35416667] ; [15.35416667  6.64583333],0
n1,1,0.10247,2.666667,[14 18] ; [1 7],[12. 20.] ; [3. 5.],0
s1,1,0.110148,2.552097,[ 6 79] ; [ 4 18],[ 7.94392523 77.05607477] ; [ 2.05607477 19.94392523],0
p9,1,0.119949,2.41799,[66 17] ; [14  8],[63.23809524 19.76190476] ; [16.76190476  5.23809524],0
n6,1,0.165443,1.923758,[66 20] ; [13  8],[63.4953271 22.5046729] ; [15.5046729  5.4953271],0
b1,1,0.180769,1.791293,[50 38] ; [ 9 13],[47.2 40.8] ; [11.8 10.2],0
p3,1,0.196293,1.66974,[41 46] ; [ 7 15],[38.31192661 48.68807339] ; [ 9.68807339 12.31192661],0
u3,1,0.207821,1.586538,[15  7] ; [5 6],[13.33333333  8.66666667] ; [6.66666667 4.33333333],0
p10,1,0.214483,1.540907,[57 26] ; [12 10],[54.54285714 28.45714286] ; [14.45714286  7.54285714],0
a6,1,0.241036,1.374523,[56 32] ; [11 11],[53.6 34.4] ; [13.4  8.6],0
p6,1,0.246922,1.340638,[35 51] ; [ 6 16],[32.64814815 53.35185185] ; [ 8.35185185 13.64814815],0
b3,1,0.287188,1.132755,[15 28] ; [2 9],[13.53703704 29.46296296] ; [3.46296296 7.53703704],0
b2,1,0.287188,1.132755,[15 28] ; [2 9],[13.53703704 29.46296296] ; [3.46296296 7.53703704],0
p5,1,0.304821,1.052983,[ 6 81] ; [ 3 19],[ 7.18348624 79.81651376] ; [ 1.81651376 20.18348624],0
p4,1,0.407126,0.687178,[52 35] ; [11 11],[50.28440367 36.71559633] ; [12.71559633  9.28440367],0
p2,1,0.461359,0.542595,[66 21] ; [15  7],[64.65137615 22.34862385] ; [16.34862385  5.65137615],0
a8,1,0.548805,0.359462,[ 8 70] ; [ 3 17],[ 8.75510204 69.24489796] ; [ 2.24489796 17.75510204],0
a1,1,0.557946,0.343273,[ 5 83] ; [ 2 20],[ 5.6 82.4] ; [ 1.4 20.6],0
p7,1,0.597766,0.278379,[41 44] ; [12 10],[42.10280374 42.89719626] ; [10.89719626 11.10280374],0
n5,1,0.710955,0.137325,[51 35] ; [14  8],[51.75925926 34.24074074] ; [13.24074074  8.75925926],0
s3,1,0.725068,0.123688,[69 19] ; [18  4],[69.6 18.4] ; [17.4  4.6],0
p8,1,0.735451,0.114165,[28 58] ; [ 8 14],[28.66666667 57.33333333] ; [ 7.33333333 14.66666667],0
v1,1,0.809491,0.058121,[46 41] ; [11 11],[45.49541284 41.50458716] ; [11.50458716 10.49541284],0
v3,1,0.881428,0.022248,[32 52] ; [ 8 14],[31.69811321 52.30188679] ; [ 8.30188679 13.69811321],0
p1,1,0.901055,0.015458,[11 76] ; [ 3 19],[11.17431193 75.82568807] ; [ 2.82568807 19.17431193],0
b5,1,0.921461,0.009721,[55 33] ; [14  8],[55.2 32.8] ; [13.8  8.2],0
n4,1,0.977954,0.000764,[55 31] ; [14  8],[54.94444444 31.05555556] ; [14.05555556  7.94444444],0
u2,1,1.0,0.0,[12 10] ; [6 5],[12. 10.] ; [6. 5.],0
n2,1,1.0,0.0,[24  8] ; [6 2],[24.  8.] ; [6. 2.],0
