Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.00056,11.904574,[37 11] ; [ 9 16],[30.24657534 17.75342466] ; [15.75342466  9.24657534],1
p9,1,0.000939,10.944589,[40  9] ; [11 14],[33.77027027 15.22972973] ; [17.22972973  7.77027027],1
s4,1,0.006769,7.333333,[ 3 46] ; [ 8 20],[ 7. 42.] ; [ 4. 24.],0
a2,1,0.017766,5.61903,[ 3 46] ; [ 7 21],[ 6.36363636 42.63636364] ; [ 3.63636364 24.36363636],0
p2,1,0.031102,4.647298,[38 10] ; [15 12],[33.92 14.08] ; [19.08  7.92],0
d2,1,0.071783,3.24176,[16 33] ; [15 13],[19.72727273 29.27272727] ; [11.27272727 16.72727273],0
a4,1,0.094153,2.801887,[12 37] ; [12 16],[15.27272727 33.72727273] ; [ 8.72727273 19.27272727],0
n5,1,0.098665,2.726986,[26 23] ; [ 9 18],[22.56578947 26.43421053] ; [12.43421053 14.56578947],0
n1,1,0.11259,2.517483,[6 5] ; [ 3 10],[4.125 6.875] ; [4.875 8.125],0
b5,1,0.150962,2.0625,[31 18] ; [13 15],[28. 21.] ; [16. 12.],0
s2,1,0.150962,2.0625,[18 31] ; [15 13],[21. 28.] ; [12. 16.],0
d5,1,0.175734,1.833333,[40  9] ; [26  2],[42.  7.] ; [24.  4.],0
s6,1,0.187818,1.734651,[25 24] ; [18  9],[27.72368421 21.27631579] ; [15.27631579 11.72368421],0
p6,1,0.194831,1.680704,[10 36] ; [ 9 16],[12.30985915 33.69014085] ; [ 6.69014085 18.30985915],0
d4,1,0.199044,1.649376,[38 11] ; [25  3],[40.09090909  8.90909091] ; [22.90909091  5.09090909],0
v4,1,0.215148,1.536445,[44  4] ; [23  5],[42.31578947  5.68421053] ; [24.68421053  3.31578947],0
n4,1,0.227447,1.456757,[28 21] ; [12 16],[25.45454545 23.54545455] ; [14.54545455 13.45454545],0
p7,1,0.238651,1.388543,[29 19] ; [12 14],[26.59459459 21.40540541] ; [14.40540541 11.59459459],0
a3,1,0.250574,1.3201,[39 10] ; [19  9],[36.90909091 12.09090909] ; [21.09090909  6.90909091],0
d1,1,0.259477,1.271546,[25 24] ; [18 10],[27.36363636 21.63636364] ; [15.63636364 12.36363636],0
d3,1,0.290126,1.119038,[31 18] ; [21  7],[33.09090909 15.90909091] ; [18.90909091  9.09090909],0
n3,1,0.35188,0.866667,[11  2] ; [9 4],[10.  3.] ; [10.  3.],0
b4,1,0.364699,0.821646,[28 21] ; [13 15],[26.09090909 22.90909091] ; [14.90909091 13.09090909],0
s8,1,0.376999,0.780464,[17 32] ; [ 7 21],[15.27272727 33.72727273] ; [ 8.72727273 19.27272727],0
p5,1,0.452939,0.563287,[ 4 45] ; [ 1 26],[ 3.22368421 45.77631579] ; [ 1.77631579 25.22368421],0
u1,1,0.469613,0.522887,[ 3 46] ; [ 3 25],[ 3.81818182 45.18181818] ; [ 2.18181818 25.81818182],0
p8,1,0.491283,0.473716,[22 25] ; [10 16],[20.60273973 26.39726027] ; [11.39726027 14.60273973],0
s5,1,0.49179,0.472609,[10 38] ; [ 7 18],[11.17808219 36.82191781] ; [ 5.82191781 19.17808219],0
u3,1,0.514584,0.424735,[7 3] ; [5 4],[6.31578947 3.68421053] ; [5.68421053 3.31578947],0
p4,1,0.525336,0.403405,[25 23] ; [12 15],[23.68 24.32] ; [13.32 13.68],0
r4,1,0.548869,0.359347,[38 11] ; [20  8],[36.90909091 12.09090909] ; [21.09090909  6.90909091],0
r3,1,0.651312,0.20425,[46  3] ; [26  1],[46.42105263  2.57894737] ; [25.57894737  1.42105263],0
a6,1,0.686998,0.162354,[32 17] ; [17 11],[31.18181818 17.81818182] ; [17.81818182 10.18181818],0
s1,1,0.687338,0.161982,[ 1 46] ; [ 1 26],[ 1.27027027 45.72972973] ; [ 0.72972973 26.27027027],0
