Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,3e-06,21.652542,[21 13] ; [129 386],[ 9.28961749 24.71038251] ; [140.71038251 374.28961749],1
p1,1,6.1e-05,16.08248,[ 7 29] ; [ 22 505],[ 1.85435169 34.14564831] ; [ 27.14564831 499.85435169],1
p4,1,0.000203,13.804919,[27  8] ; [236 291],[16.37900356 18.62099644] ; [246.62099644 280.37900356],1
p3,1,0.001267,10.389931,[23 13] ; [195 334],[13.89026549 22.10973451] ; [204.10973451 324.89026549],0
v1,1,0.004099,8.239262,[24 10] ; [232 281],[15.91224863 18.08775137] ; [240.08775137 272.91224863],0
b3,1,0.005337,7.761649,[14 11] ; [ 88 214],[ 7.79816514 17.20183486] ; [ 94.20183486 207.79816514],0
b2,1,0.005337,7.761649,[14 11] ; [ 88 214],[ 7.79816514 17.20183486] ; [ 94.20183486 207.79816514],0
a2,1,0.016712,5.726414,[ 2 34] ; [119 411],[ 7.69611307 28.30388693] ; [113.30388693 416.69611307],0
r2,1,0.018066,5.589714,[30  6] ; [491  33],[33.49285714  2.50714286] ; [487.50714286  36.49285714],0
v3,1,0.020422,5.375447,[19 15] ; [183 325],[12.67158672 21.32841328] ; [189.32841328 318.67158672],0
p9,1,0.064508,3.417506,[33  3] ; [410 110],[28.68345324  7.31654676] ; [414.31654676 105.68345324],0
p12,1,0.070283,3.2764,[ 4 31] ; [ 24 503],[ 1.74377224 33.25622776] ; [ 26.25622776 500.74377224],0
p8,1,0.075266,3.164262,[20 16] ; [212 312],[14.91428571 21.08571429] ; [217.08571429 306.91428571],0
s7,1,0.086243,2.943132,[19 16] ; [199 304],[14.18215613 20.81784387] ; [203.81784387 299.18215613],0
p10,1,0.091151,2.853928,[31  4] ; [399 125],[26.92307692  8.07692308] ; [403.07692308 120.92307692],0
a6,1,0.093931,2.805672,[20 16] ; [365 164],[24.53097345 11.46902655] ; [360.46902655 168.53097345],0
a7,1,0.129314,2.300723,[22 14] ; [386 144],[25.95053004 10.04946996] ; [382.04946996 147.95053004],0
