Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,9.2e-05,15.291221,[ 13 148] ; [17 43],[ 21.85520362 139.14479638] ; [ 8.14479638 51.85520362],1
s6,1,0.00053,12.007359,[75 86] ; [43 16],[86.35454545 74.64545455] ; [31.64545455 27.35454545],1
s4,1,0.001199,10.491222,[ 11 149] ; [13 45],[ 17.6146789 142.3853211] ; [ 6.3853211 51.6146789],0
b5,1,0.00948,6.730119,[101  60] ; [26 34],[92.52036199 68.47963801] ; [34.47963801 25.52036199],0
s2,1,0.010763,6.503959,[ 20 141] ; [16 44],[ 26.22624434 134.77375566] ; [ 9.77375566 50.22624434],0
p6,1,0.016419,5.757406,[67 93] ; [36 24],[74.90909091 85.09090909] ; [28.09090909 31.90909091],0
a7,1,0.018107,5.58577,[127  34] ; [38 22],[120.20361991  40.79638009] ; [44.79638009 15.20361991],0
s8,1,0.020755,5.347222,[ 41 119] ; [25 35],[ 48. 112.] ; [18. 42.],0
a1,1,0.022016,5.244518,[  3 158] ; [ 5 55],[  5.8280543 155.1719457] ; [ 2.1719457 57.8280543],0
p3,1,0.023122,5.159301,[97 64] ; [46 14],[104.17647059  56.82352941] ; [38.82352941 21.17647059],0
a6,1,0.055884,3.655524,[118  43] ; [36 24],[112.19004525  48.80995475] ; [41.80995475 18.19004525],0
p1,1,0.059805,3.542771,[ 11 150] ; [ 9 51],[ 14.57013575 146.42986425] ; [ 5.42986425 54.57013575],0
s7,1,0.064957,3.406061,[ 48 104] ; [25 30],[53.60386473 98.39613527] ; [19.39613527 35.60386473],0
p2,1,0.093413,2.814559,[144  16] ; [49 11],[140.36363636  19.63636364] ; [52.63636364  7.36363636],0
p10,1,0.142266,2.153282,[131  29] ; [54  6],[134.54545455  25.45454545] ; [50.45454545  9.54545455],0
p12,1,0.161384,1.961206,[  6 155] ; [ 5 55],[  8.01357466 152.98642534] ; [ 2.98642534 57.01357466],0
a5,1,0.197555,1.660359,[118  43] ; [49 11],[121.66063348  39.33936652] ; [45.33936652 14.66063348],0
r4,1,0.198039,1.656774,[137  24] ; [55  5],[139.87330317  21.12669683] ; [52.12669683  7.87330317],0
p7,1,0.206596,1.595121,[108  51] ; [46 14],[111.80821918  47.19178082] ; [42.19178082 17.80821918],0
b4,1,0.222307,1.489414,[90 71] ; [39 21],[93.97737557 67.02262443] ; [35.02262443 24.97737557],0
n6,1,0.241581,1.371343,[134  26] ; [54  6],[136.72727273  23.27272727] ; [51.27272727  8.72727273],0
v2,1,0.261483,1.260889,[91 65] ; [40 20],[94.61111111 61.38888889] ; [36.38888889 23.61111111],0
v4,1,0.325532,0.966589,[150  11] ; [58  2],[151.52941176   9.47058824] ; [56.47058824  3.52941176],0
n3,1,0.353749,0.859963,[23 10] ; [9 7],[21.55102041 11.44897959] ; [10.44897959  5.55102041],0
d2,1,0.35726,0.847502,[72 89] ; [31 29],[75.0361991 85.9638009] ; [27.9638009 32.0361991],0
b2,1,0.408686,0.682619,[37 64] ; [16 20],[39.0729927 61.9270073] ; [13.9270073 22.0729927],0
b3,1,0.408686,0.682619,[37 64] ; [16 20],[39.0729927 61.9270073] ; [13.9270073 22.0729927],0
d1,1,0.440662,0.594558,[90 71] ; [37 23],[92.52036199 68.47963801] ; [34.47963801 25.52036199],0
n2,1,0.487147,0.482821,[22 10] ; [10  7],[20.89795918 11.10204082] ; [11.10204082  5.89795918],0
v3,1,0.496318,0.462801,[ 55 102] ; [24 36],[57.15668203 99.84331797] ; [21.84331797 38.15668203],0
s1,1,0.500926,0.452973,[  3 158] ; [ 2 57],[  3.65909091 157.34090909] ; [ 1.34090909 57.65909091],0
r1,1,0.507482,0.439255,[122  39] ; [48 12],[123.84615385  37.15384615] ; [46.15384615 13.84615385],0
r2,1,0.530569,0.393302,[144  14] ; [53  7],[142.77981651  15.22018349] ; [54.22018349  5.77981651],0
