Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.001972,9.575241,[ 6 46] ; [13 19],[11.76190476 40.23809524] ; [ 7.23809524 24.76190476],0
r3,1,0.002102,9.457968,[37 16] ; [32  1],[42.52325581 10.47674419] ; [26.47674419  6.52325581],0
b1,1,0.002132,9.431921,[35 18] ; [11 23],[28.02298851 24.97701149] ; [17.97701149 16.02298851],0
r2,1,0.007503,7.148465,[40 13] ; [33  1],[44.47126437  8.52873563] ; [28.52873563  5.47126437],0
a5,1,0.010741,6.507679,[21 32] ; [23 11],[26.8045977 26.1954023] ; [17.1954023 16.8045977],0
d5,1,0.011157,6.440151,[33 19] ; [30  4],[38.09302326 13.90697674] ; [24.90697674  9.09302326],0
u1,1,0.028884,4.774495,[ 2 51] ; [ 6 28],[ 4.87356322 48.12643678] ; [ 3.12643678 30.87356322],0
d1,1,0.035512,4.420377,[19 34] ; [20 14],[23.75862069 29.24137931] ; [15.24137931 18.75862069],0
r1,1,0.036061,4.394221,[27 26] ; [25  9],[31.67816092 21.32183908] ; [20.32183908 13.67816092],0
s6,1,0.036653,4.366462,[21 31] ; [21 12],[25.69411765 26.30588235] ; [16.30588235 16.69411765],0
r4,1,0.043403,4.079634,[31 22] ; [27  7],[35.33333333 17.66666667] ; [22.66666667 11.33333333],0
a2,1,0.067957,3.331701,[ 6 47] ; [ 9 25],[ 9.13793103 43.86206897] ; [ 5.86206897 28.13793103],0
v1,1,0.085452,2.958037,[15 37] ; [16 18],[18.74418605 33.25581395] ; [12.25581395 21.74418605],0
s7,1,0.101934,2.675026,[10 38] ; [12 20],[13.2 34.8] ; [ 8.8 23.2],0
n2,1,0.183633,1.767975,[17 11] ; [5 8],[15.02439024 12.97560976] ; [6.97560976 6.02439024],0
a6,1,0.245852,1.346721,[26 27] ; [21 13],[28.63218391 24.36781609] ; [18.36781609 15.63218391],0
d4,1,0.257135,1.284114,[38 15] ; [28  6],[40.20689655 12.79310345] ; [25.79310345  8.20689655],0
n3,1,0.272809,1.202569,[18 10] ; [6 7],[16.3902439 11.6097561] ; [7.6097561 5.3902439],0
s8,1,0.274534,1.193953,[10 42] ; [10 24],[12.09302326 39.90697674] ; [ 7.90697674 26.09302326],0
v4,1,0.281632,1.159195,[44  9] ; [31  3],[45.68965517  7.31034483] ; [29.31034483  4.68965517],0
a4,1,0.292762,1.106875,[16 37] ; [14 20],[18.27586207 34.72413793] ; [11.72413793 22.27586207],0
p8,1,0.35567,0.853125,[13 39] ; [11 21],[14.85714286 37.14285714] ; [ 9.14285714 22.85714286],0
b5,1,0.38711,0.748001,[36 17] ; [20 14],[34.11494253 18.88505747] ; [21.88505747 12.11494253],0
p7,1,0.410763,0.676592,[23 30] ; [11 21],[21.2 31.8] ; [12.8 19.2],0
s1,1,0.414114,0.66696,[ 6 47] ; [ 2 31],[ 4.93023256 48.06976744] ; [ 3.06976744 29.93023256],0
n5,1,0.463692,0.536969,[15 38] ; [ 7 26],[13.55813953 39.44186047] ; [ 8.44186047 24.55813953],0
p4,1,0.478605,0.50204,[20 33] ; [15 18],[21.56976744 31.43023256] ; [13.43023256 19.56976744],0
s5,1,0.490448,0.475544,[12 39] ; [10 23],[13.35714286 37.64285714] ; [ 8.64285714 24.35714286],0
d2,1,0.493632,0.4686,[21 32] ; [16 18],[22.54022989 30.45977011] ; [14.45977011 19.54022989],0
d3,1,0.530456,0.393519,[28 23] ; [21 13],[29.4 21.6] ; [19.6 14.4],0
s2,1,0.553647,0.350824,[20 33] ; [15 19],[21.32183908 31.67816092] ; [13.67816092 20.32183908],0
a1,1,0.554592,0.349155,[ 3 50] ; [ 1 33],[ 2.43678161 50.56321839] ; [ 1.56321839 32.43678161],0
a3,1,0.581611,0.303638,[29 23] ; [21 13],[30.23255814 21.76744186] ; [19.76744186 14.23255814],0
s3,1,0.610609,0.259289,[22 31] ; [16 18],[23.14942529 29.85057471] ; [14.85057471 19.14942529],0
p3,1,0.631386,0.230186,[14 39] ; [10 22],[14.96470588 38.03529412] ; [ 9.03529412 22.96470588],0
p9,1,0.67184,0.179458,[25 25] ; [17 14],[25.92592593 24.07407407] ; [16.07407407 14.92592593],0
s4,1,0.708456,0.139824,[16 37] ; [ 9 25],[15.22988506 37.77011494] ; [ 9.77011494 24.22988506],0
a7,1,0.748589,0.10272,[35 17] ; [24 10],[35.6744186 16.3255814] ; [23.3255814 10.6744186],0
b3,1,0.754867,0.097487,[ 7 22] ; [ 4 10],[ 7.41860465 21.58139535] ; [ 3.58139535 10.41860465],0
b2,1,0.754867,0.097487,[ 7 22] ; [ 4 10],[ 7.41860465 21.58139535] ; [ 3.58139535 10.41860465],0
p1,1,0.799033,0.06482,[ 4 49] ; [ 3 30],[ 4.31395349 48.68604651] ; [ 2.68604651 30.31395349],0
u3,1,0.876681,0.02408,[13 10] ; [7 6],[12.77777778 10.22222222] ; [7.22222222 5.77777778],0
n1,1,0.893852,0.017804,[ 7 21] ; [ 3 10],[ 6.82926829 21.17073171] ; [3.17073171 9.82926829],0
p2,1,0.905484,0.014098,[28 25] ; [17 16],[27.73255814 25.26744186] ; [17.26744186 15.73255814],0
b4,1,0.915069,0.011374,[29 24] ; [19 15],[29.24137931 23.75862069] ; [18.75862069 15.24137931],0
u2,1,0.923096,0.009319,[11 12] ; [6 7],[10.86111111 12.13888889] ; [6.13888889 6.86111111],0
p10,1,0.930038,0.007708,[24 28] ; [14 17],[23.80722892 28.19277108] ; [14.19277108 16.80722892],0
p6,1,0.956266,0.003007,[10 43] ; [ 6 25],[10.0952381 42.9047619] ; [ 5.9047619 25.0952381],0
n6,1,0.958861,0.002661,[27 26] ; [17 16],[27.11627907 25.88372093] ; [16.88372093 16.11627907],0
