Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,4e-06,21.248599,[11 20] ; [99 28],[21.58227848  9.41772152] ; [88.41772152 38.58227848],1
p7,1,0.000539,11.97431,[10 20] ; [82 39],[18.2781457 11.7218543] ; [73.7218543 47.2781457],1
d3,1,0.000886,11.051059,[13 18] ; [93 34],[20.79746835 10.20253165] ; [85.20253165 41.79746835],1
p9,1,0.002406,9.210988,[20 11] ; [111  16],[25.70253165  5.29746835] ; [105.29746835  21.70253165],0
p8,1,0.008146,7.001083,[ 9 22] ; [70 56],[15.59872611 15.40127389] ; [63.40127389 62.59872611],0
d4,1,0.024929,5.028845,[19 12] ; [102  25],[23.74050633  7.25949367] ; [97.25949367 29.74050633],0
p3,1,0.030589,4.675879,[ 6 25] ; [51 76],[11.1835443 19.8164557] ; [45.8164557 81.1835443],0
a6,1,0.054828,3.687308,[15 16] ; [85 42],[19.62025316 11.37974684] ; [80.37974684 46.62025316],0
d2,1,0.07112,3.256971,[14 17] ; [36 91],[ 9.81012658 21.18987342] ; [40.18987342 86.81012658],0
p4,1,0.07393,3.193529,[ 9 21] ; [61 66],[13.37579618 16.62420382] ; [56.62420382 70.37579618],0
v4,1,0.076713,3.133201,[26  5] ; [118   8],[28.43312102  2.56687898] ; [115.56687898  10.43312102],0
d5,1,0.087046,2.928171,[17 14] ; [90 37],[20.99367089 10.00632911] ; [86.00632911 40.99367089],0
n6,1,0.103448,2.651567,[18 13] ; [92 34],[21.71974522  9.28025478] ; [88.28025478 37.71974522],0
r1,1,0.125334,2.349362,[18 13] ; [91 35],[21.52229299  9.47770701] ; [87.47770701 38.52229299],0
p10,1,0.1307,2.284173,[21 10] ; [102  25],[24.13291139  6.86708861] ; [98.86708861 28.13291139],0
b1,1,0.142506,2.150684,[13 18] ; [36 91],[ 9.61392405 21.38607595] ; [39.38607595 87.61392405],0
n1,1,0.148925,2.083225,[6 7] ; [10 30],[3.9245283 9.0754717] ; [12.0754717 27.9245283],0
d1,1,0.152999,2.042096,[10 21] ; [59 68],[13.53797468 17.46202532] ; [55.46202532 71.53797468],0
a4,1,0.159289,1.980962,[12 19] ; [33 94],[ 8.82911392 22.17088608] ; [36.17088608 90.82911392],0
r2,1,0.166938,1.910223,[25  6] ; [113  13],[27.24840764  3.75159236] ; [110.75159236  15.24840764],0
n3,1,0.210646,1.566984,[7 6] ; [29 11],[8.83018868 4.16981132] ; [27.16981132 12.83018868],0
u1,1,0.258281,1.277946,[ 1 30] ; [ 12 115],[ 2.55063291 28.44936709] ; [ 10.44936709 116.55063291],0
b4,1,0.262363,1.256244,[21 10] ; [72 55],[18.24683544 12.75316456] ; [74.75316456 52.24683544],0
u4,1,0.276251,1.18544,[ 1 30] ; [  1 126],[ 0.39240506 30.60759494] ; [  1.60759494 125.39240506],0
b3,1,0.373536,0.791869,[ 4 13] ; [22 41],[ 5.525 11.475] ; [20.475 42.525],0
b2,1,0.373536,0.791869,[ 4 13] ; [22 41],[ 5.525 11.475] ; [20.475 42.525],0
a5,1,0.404866,0.693825,[16 15] ; [76 51],[18.05063291 12.94936709] ; [73.94936709 53.05063291],0
n5,1,0.464488,0.535059,[14 16] ; [50 77],[12.22929936 17.77070064] ; [51.77070064 75.22929936],0
v3,1,0.495876,0.463752,[ 6 23] ; [33 90],[ 7.44078947 21.55921053] ; [31.55921053 91.44078947],0
a3,1,0.502426,0.449808,[17 14] ; [78 49],[18.63924051 12.36075949] ; [76.36075949 50.63924051],0
p12,1,0.541849,0.372123,[ 2 29] ; [  5 122],[ 1.37341772 29.62658228] ; [  5.62658228 121.37341772],0
p1,1,0.541849,0.372123,[ 2 29] ; [  5 122],[ 1.37341772 29.62658228] ; [  5.62658228 121.37341772],0
s7,1,0.584118,0.299625,[11 19] ; [39 85],[ 9.74025974 20.25974026] ; [40.25974026 83.74025974],0
s2,1,0.635184,0.225096,[14 17] ; [51 75],[12.8343949 18.1656051] ; [52.1656051 73.8343949],0
b5,1,0.642381,0.215642,[19 12] ; [72 55],[17.85443038 13.14556962] ; [73.14556962 53.85443038],0
u3,1,0.730753,0.118421,[9 5] ; [29 20],[8.44444444 5.55555556] ; [29.55555556 19.44444444],0
v2,1,0.744155,0.106509,[13 14] ; [64 60],[13.76821192 13.23178808] ; [63.23178808 60.76821192],0
r4,1,0.79052,0.070562,[25  6] ; [105  22],[25.50632911  5.49367089] ; [104.49367089  22.50632911],0
p5,1,0.822869,0.050112,[ 2 28] ; [ 10 117],[ 2.29299363 27.70700637] ; [  9.70700637 117.29299363],0
a2,1,0.828314,0.04703,[ 3 28] ; [ 14 113],[ 3.33544304 27.66455696] ; [ 13.66455696 113.33544304],0
s5,1,0.86128,0.030536,[ 9 22] ; [38 86],[ 9.4 21.6] ; [37.6 86.4],0
s3,1,0.867829,0.027694,[14 17] ; [59 67],[14.41401274 16.58598726] ; [58.58598726 67.41401274],0
v1,1,0.871197,0.026289,[13 18] ; [54 70],[13.4 17.6] ; [53.6 70.4],0
s4,1,0.872538,0.025739,[ 7 24] ; [ 27 100],[ 6.67088608 24.32911392] ; [27.32911392 99.67088608],0
u2,1,0.891198,0.018711,[8 6] ; [29 20],[8.22222222 5.77777778] ; [28.77777778 20.22222222],0
n2,1,0.899403,0.015981,[11  3] ; [30  9],[10.83018868  3.16981132] ; [30.16981132  8.83018868],0
s6,1,0.925947,0.008639,[18 13] ; [72 54],[17.77070064 13.22929936] ; [72.22929936 53.77070064],0
p6,1,0.927451,0.008291,[ 8 23] ; [33 91],[ 8.2 22.8] ; [32.8 91.2],0
a8,1,0.930354,0.007639,[ 2 29] ; [  8 108],[ 2.10884354 28.89115646] ; [  7.89115646 108.10884354],0
s8,1,0.931192,0.007456,[10 21] ; [42 85],[10.20253165 20.79746835] ; [41.79746835 85.20253165],0
r3,1,0.975075,0.000976,[29  2] ; [119   8],[29.03797468  1.96202532] ; [118.96202532   8.03797468],0
a1,1,0.982664,0.000472,[ 1 30] ; [  4 123],[ 0.98101266 30.01898734] ; [  4.01898734 122.98101266],0
