Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,31.530153,[29 59] ; [42  9],[44.94964029 43.05035971] ; [26.05035971 24.94964029],1
p4,1,0.0,29.139004,[25 64] ; [39 13],[40.39716312 48.60283688] ; [23.60283688 28.39716312],1
p7,1,6e-06,20.357171,[33 55] ; [40 12],[45.88571429 42.11428571] ; [27.11428571 24.88571429],1
p6,1,0.000187,13.959093,[19 70] ; [27 25],[29.03546099 59.96453901] ; [16.96453901 35.03546099],1
v2,1,0.001012,10.804711,[28 57] ; [31 19],[37.14814815 47.85185185] ; [21.85185185 28.14814815],0
p11,1,0.003061,8.770856,[57 33] ; [45  7],[64.64788732 25.35211268] ; [37.35211268 14.64788732],0
r4,1,0.008461,6.933153,[62 28] ; [46  6],[68.45070423 21.54929577] ; [39.54929577 12.45070423],0
n4,1,0.01064,6.524407,[65 25] ; [47  5],[70.98591549 19.01408451] ; [41.01408451 10.98591549],0
p12,1,0.011168,6.438457,[ 4 85] ; [ 9 43],[ 8.20567376 80.79432624] ; [ 4.79432624 47.20567376],0
a5,1,0.016108,5.791006,[40 50] ; [34 18],[46.90140845 43.09859155] ; [27.09859155 24.90140845],0
r3,1,0.017053,5.690932,[68 21] ; [48  4],[73.21985816 15.78014184] ; [42.78014184  9.21985816],0
s8,1,0.017396,5.656006,[23 67] ; [23 28],[29.36170213 60.63829787] ; [16.63829787 34.36170213],0
r2,1,0.02001,5.410999,[71 18] ; [49  3],[75.74468085 13.25531915] ; [44.25531915  7.74468085],0
n6,1,0.027867,4.836281,[67 22] ; [47  5],[71.95744681 17.04255319] ; [42.04255319  9.95744681],0
s7,1,0.030842,4.661713,[33 52] ; [29 21],[39.03703704 45.96296296] ; [22.96296296 27.03703704],0
r1,1,0.052809,3.749966,[53 37] ; [39 13],[58.30985915 31.69014085] ; [33.69014085 18.30985915],0
p10,1,0.054293,3.703665,[61 26] ; [44  8],[65.71942446 21.28057554] ; [39.28057554 12.71942446],0
a6,1,0.060329,3.528304,[46 44] ; [35 17],[51.33802817 38.66197183] ; [29.66197183 22.33802817],0
p2,1,0.071323,3.252298,[56 34] ; [40 12],[60.84507042 29.15492958] ; [35.15492958 16.84507042],0
p5,1,0.07423,3.186917,[ 9 79] ; [11 41],[12.57142857 75.42857143] ; [ 7.42857143 44.57142857],0
v4,1,0.086568,2.937063,[72 16] ; [48  4],[75.42857143 12.57142857] ; [44.57142857  7.42857143],0
p9,1,0.089309,2.886784,[63 25] ; [43  8],[67.10791367 20.89208633] ; [38.89208633 12.10791367],0
a7,1,0.098498,2.729693,[46 44] ; [34 18],[50.70422535 39.29577465] ; [29.29577465 22.70422535],0
s3,1,0.129408,2.299586,[42 45] ; [32 20],[46.31654676 40.68345324] ; [27.68345324 24.31654676],0
p1,1,0.156458,2.008127,[11 79] ; [11 41],[13.94366197 76.05633803] ; [ 8.05633803 43.94366197],0
n3,1,0.178596,1.809265,[20 14] ; [6 1],[21.56097561 12.43902439] ; [4.43902439 2.56097561],0
s5,1,0.186549,1.744664,[21 68] ; [17 33],[24.33093525 64.66906475] ; [13.66906475 36.33093525],0
v3,1,0.225305,1.470259,[26 63] ; [20 31],[29.24285714 59.75714286] ; [16.75714286 34.24285714],0
s1,1,0.237585,1.394868,[ 8 79] ; [ 2 50],[ 6.25899281 80.74100719] ; [ 3.74100719 48.25899281],0
s2,1,0.238318,1.390519,[35 53] ; [26 26],[38.34285714 49.65714286] ; [22.65714286 29.34285714],0
a8,1,0.284379,1.146045,[12 71] ; [ 4 45],[10.06060606 72.93939394] ; [ 5.93939394 43.06060606],0
a1,1,0.299907,1.074608,[ 5 85] ; [ 1 51],[ 3.8028169 86.1971831] ; [ 2.1971831 49.8028169],0
u2,1,0.327274,0.959655,[17 28] ; [12 12],[18.91304348 26.08695652] ; [10.08695652 13.91304348],0
d1,1,0.362329,0.829804,[ 5 85] ; [ 5 47],[ 6.33802817 83.66197183] ; [ 3.66197183 48.33802817],0
s6,1,0.386711,0.749259,[49 41] ; [31 19],[51.42857143 38.57142857] ; [28.57142857 21.42857143],0
b4,1,0.410667,0.676868,[49 41] ; [32 20],[51.33802817 38.66197183] ; [29.66197183 22.33802817],0
a4,1,0.42856,0.626722,[17 71] ; [13 39],[18.85714286 69.14285714] ; [11.14285714 40.85714286],0
d3,1,0.524274,0.405478,[36 54] ; [18 34],[34.22535211 55.77464789] ; [19.77464789 32.22535211],0
b3,1,0.527008,0.400156,[21 34] ; [14 17],[22.38372093 32.61627907] ; [12.61627907 18.38372093],0
b2,1,0.527008,0.400156,[21 34] ; [14 17],[22.38372093 32.61627907] ; [12.61627907 18.38372093],0
n1,1,0.626924,0.236255,[16 18] ; [4 3],[16.58536585 17.41463415] ; [3.41463415 3.58536585],0
u1,1,0.650326,0.20549,[ 5 85] ; [ 2 50],[ 4.43661972 85.56338028] ; [ 2.56338028 49.43661972],0
u4,1,0.692421,0.156477,[ 1 89] ; [ 1 51],[ 1.26760563 88.73239437] ; [ 0.73239437 51.26760563],0
d4,1,0.733685,0.115755,[42 47] ; [23 29],[41.02836879 47.97163121] ; [23.97163121 28.02836879],0
b1,1,0.771649,0.084227,[41 49] ; [25 27],[41.83098592 48.16901408] ; [24.16901408 27.83098592],0
a2,1,0.80493,0.060995,[ 8 82] ; [ 4 48],[ 7.6056338 82.3943662] ; [ 4.3943662 47.6056338],0
s4,1,0.829235,0.046519,[16 74] ; [10 42],[16.47887324 73.52112676] ; [ 9.52112676 42.47887324],0
u3,1,0.83008,0.046053,[21 24] ; [11 14],[20.57142857 24.42857143] ; [11.42857143 13.57142857],0
v1,1,0.856992,0.032474,[42 46] ; [24 28],[41.48571429 46.51428571] ; [24.51428571 27.48571429],0
b5,1,0.871164,0.026302,[48 42] ; [27 25],[47.53521127 42.46478873] ; [27.46478873 24.53521127],0
n2,1,0.875284,0.024633,[26  9] ; [5 2],[25.83333333  9.16666667] ; [5.16666667 1.83333333],0
a3,1,0.928294,0.008099,[45 43] ; [27 25],[45.25714286 42.74285714] ; [26.74285714 25.25714286],0
d2,1,0.99568,2.9e-05,[26 64] ; [15 37],[25.98591549 64.01408451] ; [15.01408451 36.98591549],0
