Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,39.216668,[ 20 112] ; [78 77],[45.07317073 86.92682927] ; [ 52.92682927 102.07317073],1
v1,1,1e-06,23.916445,[43 89] ; [97 61],[63.72413793 68.27586207] ; [76.27586207 81.72413793],1
p10,1,0.001056,10.727137,[90 42] ; [135  25],[101.71232877  30.28767123] ; [123.28767123  36.71232877],0
d1,1,0.00168,9.870256,[54 79] ; [95 66],[67.4047619 65.5952381] ; [81.5952381 79.4047619],0
p11,1,0.001753,9.792167,[92 41] ; [136  25],[103.14285714  29.85714286] ; [124.85714286  36.14285714],0
a5,1,0.002458,9.171298,[76 57] ; [119  42],[88.21428571 44.78571429] ; [106.78571429  54.21428571],0
p9,1,0.003324,8.620294,[94 37] ; [138  23],[104.08219178  26.91780822] ; [127.91780822  33.08219178],0
d3,1,0.005319,7.767798,[76 54] ; [119  42],[87.11340206 42.88659794] ; [107.88659794  53.11340206],0
r1,1,0.006069,7.529683,[90 42] ; [132  29],[100.01365188  31.98634812] ; [121.98634812  39.01365188],0
v4,1,0.008338,6.959359,[120  13] ; [155   4],[125.25684932   7.74315068] ; [149.74315068   9.25684932],0
r3,1,0.0122,6.281631,[117  15] ; [154   6],[122.50684932   9.49315068] ; [148.49315068  11.50684932],0
r4,1,0.017387,5.656847,[109  24] ; [147  14],[115.80952381  17.19047619] ; [140.19047619  20.80952381],0
a2,1,0.020801,5.343424,[ 20 113] ; [ 42 119],[ 28.04761905 104.95238095] ; [ 33.95238095 127.04761905],0
a4,1,0.021571,5.280036,[44 88] ; [75 86],[53.6109215 78.3890785] ; [65.3890785 95.6109215],0
d5,1,0.026259,4.938896,[93 38] ; [132  29],[100.94178082  30.05821918] ; [124.05821918  36.94178082],0
p12,1,0.027704,4.846421,[  3 130] ; [ 13 147],[  7.26279863 125.73720137] ; [  8.73720137 151.26279863],0
n5,1,0.032119,4.592155,[86 47] ; [121  38],[94.28424658 38.71575342] ; [112.71575342  46.28424658],0
a3,1,0.034076,4.490879,[79 52] ; [116  45],[87.48287671 43.51712329] ; [107.51712329  53.48287671],0
d4,1,0.042159,4.128805,[97 35] ; [134  27],[104.06825939  27.93174061] ; [126.93174061  34.06825939],0
