Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000771,11.309477,[17 14] ; [23 77],[ 9.46564885 21.53435115] ; [30.53435115 69.46564885],1
s7,1,0.000791,11.26262,[17 12] ; [23 69],[ 9.58677686 19.41322314] ; [30.41322314 61.58677686],1
s6,1,0.000809,11.219763,[24  7] ; [43 57],[15.85496183 15.14503817] ; [51.14503817 48.85496183],1
v1,1,0.00362,8.46525,[20  9] ; [38 61],[13.140625 15.859375] ; [44.859375 54.140625],0
s2,1,0.005745,7.628736,[19 11] ; [35 65],[12.46153846 17.53846154] ; [41.53846154 58.46153846],0
s4,1,0.008382,6.949918,[10 21] ; [12 88],[ 5.20610687 25.79389313] ; [16.79389313 83.20610687],0
s3,1,0.019044,5.497467,[22  8] ; [48 50],[16.40625 13.59375] ; [53.59375 44.40625],0
p3,1,0.030963,4.655015,[16 14] ; [31 67],[11.015625 18.984375] ; [35.984375 62.015625],0
b3,1,0.037597,4.323164,[10 12] ; [13 46],[ 6.24691358 15.75308642] ; [16.75308642 42.24691358],0
b2,1,0.037597,4.323164,[10 12] ; [13 46],[ 6.24691358 15.75308642] ; [16.75308642 42.24691358],0
p6,1,0.135408,2.229377,[ 9 20] ; [17 77],[ 6.1300813 22.8699187] ; [19.8699187 74.1300813],0
p9,1,0.155295,2.019453,[23  7] ; [62 37],[19.76744186 10.23255814] ; [65.23255814 33.76744186],0
u3,1,0.160902,1.965726,[7 1] ; [19 12],[5.33333333 2.66666667] ; [20.66666667 10.33333333],0
p10,1,0.175672,1.833859,[21  9] ; [55 43],[17.8125 12.1875] ; [58.1875 39.8125],0
a6,1,0.179822,1.799091,[17 14] ; [68 32],[20.11450382 10.88549618] ; [64.88549618 35.11450382],0
n4,1,0.195881,1.67282,[12 19] ; [52 48],[15.14503817 15.85496183] ; [48.85496183 51.14503817],0
p12,1,0.202601,1.623524,[ 2 28] ; [ 2 96],[ 0.9375 29.0625] ; [ 3.0625 94.9375],0
p5,1,0.206843,1.593389,[ 3 27] ; [ 4 95],[ 1.62790698 28.37209302] ; [ 5.37209302 93.62790698],0
a7,1,0.212852,1.551924,[19 12] ; [73 27],[21.77099237  9.22900763] ; [70.22900763 29.77099237],0
