Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.000169,14.149531,[23  4] ; [2 8],[18.24324324  8.75675676] ; [6.75675676 3.24324324],1
d3,1,0.001066,10.708638,[19  8] ; [1 9],[14.59459459 12.40540541] ; [5.40540541 4.59459459],0
a4,1,0.007582,7.129553,[16 11] ; [1 9],[12.40540541 14.59459459] ; [4.59459459 5.40540541],0
d2,1,0.020232,5.391726,[17 10] ; [2 8],[13.86486486 13.13513514] ; [5.13513514 4.86486486],0
p12,1,0.022158,5.233361,[ 1 26] ; [3 7],[ 2.91891892 24.08108108] ; [1.08108108 8.91891892],0
a3,1,0.090717,2.861606,[19  8] ; [4 6],[16.78378378 10.21621622] ; [6.21621622 3.78378378],0
p1,1,0.166264,1.916308,[ 3 24] ; [3 7],[ 4.37837838 22.62162162] ; [1.62162162 8.37837838],0
a6,1,0.173339,1.85383,[15 12] ; [8 2],[16.78378378 10.21621622] ; [6.21621622 3.78378378],0
n5,1,0.240545,1.377398,[16 11] ; [8 2],[17.51351351  9.48648649] ; [6.48648649 3.51351351],0
n4,1,0.240545,1.377398,[16 11] ; [8 2],[17.51351351  9.48648649] ; [6.48648649 3.51351351],0
a5,1,0.249047,1.328644,[19  8] ; [5 5],[17.51351351  9.48648649] ; [6.48648649 3.51351351],0
s1,1,0.273299,1.200112,[ 2 25] ; [2 8],[ 2.91891892 24.08108108] ; [1.08108108 8.91891892],0
p4,1,0.296505,1.089847,[16 11] ; [4 6],[14.59459459 12.40540541] ; [5.40540541 4.59459459],0
v3,1,0.319435,0.991259,[ 8 17] ; [5 5],[ 9.28571429 15.71428571] ; [3.71428571 6.28571429],0
r1,1,0.325538,0.966568,[17 10] ; [8 2],[18.24324324  8.75675676] ; [6.75675676 3.24324324],0
u3,1,0.393153,0.729167,[5 3] ; [5 1],[5.71428571 2.28571429] ; [4.28571429 1.71428571],0
n6,1,0.399233,0.710635,[21  6] ; [9 1],[21.89189189  5.10810811] ; [8.10810811 1.89189189],0
r3,1,0.451946,0.565767,[26  1] ; [9 1],[25.54054054  1.45945946] ; [9.45945946 0.54054054],0
a7,1,0.475703,0.508698,[17 10] ; [5 5],[16.05405405 10.94594595] ; [5.94594595 4.05405405],0
p5,1,0.482444,0.493333,[ 3 24] ; [2 8],[ 3.64864865 23.35135135] ; [1.35135135 8.64864865],0
v2,1,0.502927,0.448754,[17  8] ; [5 4],[16.17647059  8.82352941] ; [5.82352941 3.17647059],0
a8,1,0.510835,0.432357,[ 3 23] ; [2 8],[ 3.61111111 22.38888889] ; [1.38888889 8.61111111],0
b1,1,0.521812,0.41031,[13 14] ; [6 4],[13.86486486 13.13513514] ; [5.13513514 4.86486486],0
s7,1,0.529368,0.395604,[16 10] ; [5 5],[15.16666667 10.83333333] ; [5.83333333 4.16666667],0
p7,1,0.54955,0.358123,[19  8] ; [6 4],[18.24324324  8.75675676] ; [6.75675676 3.24324324],0
p11,1,0.549667,0.357914,[16 11] ; [7 3],[16.78378378 10.21621622] ; [6.21621622 3.78378378],0
v1,1,0.613642,0.254905,[16 11] ; [5 5],[15.32432432 11.67567568] ; [5.67567568 4.32432432],0
p8,1,0.658725,0.195076,[14 13] ; [6 4],[14.59459459 12.40540541] ; [5.40540541 4.59459459],0
p3,1,0.658725,0.195076,[14 13] ; [6 4],[14.59459459 12.40540541] ; [5.40540541 4.59459459],0
s8,1,0.677392,0.173077,[15 11] ; [5 5],[14.44444444 11.55555556] ; [5.55555556 4.44444444],0
b5,1,0.690487,0.158559,[17 10] ; [7 3],[17.51351351  9.48648649] ; [6.48648649 3.51351351],0
p10,1,0.690487,0.158559,[17 10] ; [7 3],[17.51351351  9.48648649] ; [6.48648649 3.51351351],0
s5,1,0.697476,0.151111,[13 12] ; [4 5],[12.5 12.5] ; [4.5 4.5],0
s3,1,0.700311,0.148148,[13 14] ; [5 4],[13.5 13.5] ; [4.5 4.5],0
b4,1,0.705998,0.142308,[18  9] ; [6 4],[17.51351351  9.48648649] ; [6.48648649 3.51351351],0
s4,1,0.709065,0.139212,[ 7 20] ; [2 8],[ 6.56756757 20.43243243] ; [2.43243243 7.56756757],0
b2,1,0.768458,0.086667,[ 8 12] ; [2 4],[ 7.69230769 12.30769231] ; [2.30769231 3.69230769],0
b3,1,0.768458,0.086667,[ 8 12] ; [2 4],[ 7.69230769 12.30769231] ; [2.30769231 3.69230769],0
s2,1,0.868915,0.027237,[17 10] ; [6 4],[16.78378378 10.21621622] ; [6.21621622 3.78378378],0
u2,1,0.872081,0.025926,[5 3] ; [4 2],[5.14285714 2.85714286] ; [3.85714286 2.14285714],0
p9,1,0.884061,0.021264,[21  6] ; [8 2],[21.16216216  5.83783784] ; [7.83783784 2.16216216],0
s6,1,0.895333,0.017308,[23  3] ; [9 1],[23.11111111  2.88888889] ; [8.88888889 1.11111111],0
