Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,154.492666,[ 21 136] ; [210  69],[83.18119266 73.81880734] ; [147.81880734 131.18119266],1
d3,1,0.0,136.096042,[ 56 102] ; [248  31],[109.91304348  48.08695652] ; [194.08695652  84.91304348],1
d4,1,0.0,124.019171,[91 67] ; [274   4],[132.2706422  25.7293578] ; [232.7293578  45.2706422],1
d5,1,0.0,109.924866,[94 64] ; [272   6],[132.63302752  25.36697248] ; [233.36697248  44.63302752],1
u1,1,0.0,53.649386,[  5 153] ; [ 94 185],[ 35.79405034 122.20594966] ; [ 63.20594966 215.79405034],1
a2,1,0.0,51.308802,[ 11 147] ; [108 171],[ 43.02517162 114.97482838] ; [ 75.97482838 203.02517162],1
a4,1,0.0,47.207,[ 42 116] ; [169 109],[76.46330275 81.53669725] ; [134.53669725 143.46330275],1
a5,1,0.0,30.834463,[102  56] ; [243  36],[124.73684211  33.26315789] ; [220.26315789  58.73684211],1
a3,1,0.0,29.779842,[96 62] ; [233  44],[119.49885057  38.50114943] ; [209.50114943  67.49885057],1
s8,1,1.1e-05,19.285479,[60 97] ; [166 110],[81.94457275 75.05542725] ; [144.05542725 131.94457275],1
s2,1,0.000316,12.970528,[68 89] ; [169 107],[85.9330254 71.0669746] ; [151.0669746 124.9330254],1
p4,1,0.001319,10.315776,[112  46] ; [234  45],[125.09839817  32.90160183] ; [220.90160183  58.09839817],0
p9,1,0.001925,9.619442,[129  28] ; [255  22],[138.9124424  18.0875576] ; [245.0875576  31.9124424],0
p10,1,0.002801,8.932871,[125  33] ; [248  29],[135.48045977  22.51954023] ; [237.51954023  39.48045977],0
s5,1,0.005479,7.714065,[ 48 104] ; [120 144],[61.38461538 90.61538462] ; [106.61538462 157.38461538],0
a6,1,0.006247,7.477749,[96 62] ; [204  74],[108.71559633  49.28440367] ; [191.28440367  86.71559633],0
s7,1,0.00715,7.234968,[73 77] ; [162  98],[85.97560976 64.02439024] ; [149.02439024 110.97560976],0
s3,1,0.008978,6.82721,[80 76] ; [177  99],[92.80555556 63.19444444] ; [164.19444444 111.80555556],0
s6,1,0.01358,6.091932,[100  54] ; [207  65],[110.98122066  43.01877934] ; [196.01877934  75.98122066],0
v1,1,0.019389,5.466062,[83 72] ; [175  94],[94.31603774 60.68396226] ; [163.68396226 105.31603774],0
r1,1,0.020802,5.343338,[122  35] ; [240  38],[130.65287356  26.34712644] ; [231.34712644  46.65287356],0
n4,1,0.034403,4.474545,[122  36] ; [237  41],[130.09633028  27.90366972] ; [228.90366972  49.09633028],0
a7,1,0.037183,4.342008,[106  51] ; [214  65],[115.2293578  41.7706422] ; [204.7706422  74.2293578],0
u3,1,0.042378,4.120056,[34 28] ; [34 12],[39.03703704 22.96296296] ; [28.96296296 17.03703704],0
p6,1,0.046601,3.959741,[64 91] ; [141 134],[73.89534884 81.10465116] ; [131.10465116 143.89534884],0
p8,1,0.063014,3.456216,[92 64] ; [188  89],[100.87759815  55.12240185] ; [179.12240185  97.87759815],0
p12,1,0.083664,2.992253,[ 11 146] ; [ 34 243],[ 16.27880184 140.72119816] ; [ 28.72119816 248.27880184],0
n1,1,0.113442,2.505598,[ 8 18] ; [23 23],[11.19444444 14.80555556] ; [19.80555556 26.19444444],0
n5,1,0.156545,2.007283,[118  39] ; [225  53],[123.7954023  33.2045977] ; [219.2045977  58.7954023],0
