Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3e-06,21.937515,[26 35] ; [115  36],[40.57075472 20.42924528] ; [100.42924528  50.57075472],1
a6,1,6e-06,20.445607,[23 38] ; [108  44],[37.51643192 23.48356808] ; [93.48356808 58.51643192],1
r1,1,0.000166,14.185503,[35 26] ; [124  27],[45.75 15.25] ; [113.25  37.75],1
a2,1,0.000524,12.026509,[ 5 56] ; [ 47 106],[14.82242991 46.17757009] ; [ 37.17757009 115.82242991],1
d5,1,0.00115,10.569333,[39 22] ; [128  24],[47.82629108 13.17370892] ; [119.17370892  32.82629108],0
b5,1,0.002929,8.851069,[29 32] ; [106  47],[38.48130841 22.51869159] ; [96.51869159 56.48130841],0
u1,1,0.003287,8.64116,[ 3 58] ; [ 33 120],[10.26168224 50.73831776] ; [ 25.73831776 127.26168224],0
r3,1,0.019467,5.459099,[47 14] ; [135  16],[52.36792453  8.63207547] ; [129.63207547  21.36792453],0
r4,1,0.021018,5.325266,[44 17] ; [131  22],[49.88317757 11.11682243] ; [125.11682243  27.88317757],0
p2,1,0.052718,3.752842,[33 27] ; [105  47],[39.05660377 20.94339623] ; [98.94339623 53.05660377],0
p10,1,0.083509,2.995259,[27 33] ; [85 61],[32.62135922 27.37864078] ; [79.37864078 66.62135922],0
v4,1,0.083956,2.986607,[50 10] ; [140  13],[53.52112676  6.47887324] ; [136.47887324  16.52112676],0
p9,1,0.101531,2.681335,[32 27] ; [97 49],[37.12682927 21.87317073] ; [91.87317073 54.12682927],0
s6,1,0.122648,2.383178,[32 26] ; [100  50],[36.80769231 21.19230769] ; [95.19230769 54.80769231],0
a5,1,0.125684,2.34502,[36 25] ; [107  46],[40.76168224 20.23831776] ; [102.23831776  50.76168224],0
b1,1,0.135364,2.229881,[36 25] ; [73 80],[31.07009346 29.92990654] ; [77.92990654 75.07009346],0
a1,1,0.145813,2.115515,[ 6 55] ; [  7 146],[ 3.70560748 57.29439252] ; [  9.29439252 143.70560748],0
d1,1,0.146559,2.107709,[28 33] ; [87 66],[32.78037383 28.21962617] ; [82.21962617 70.78037383],0
s2,1,0.146892,2.104237,[25 36] ; [79 73],[29.78403756 31.21596244] ; [74.21596244 77.78403756],0
a3,1,0.154285,2.029368,[36 24] ; [106  45],[40.37914692 19.62085308] ; [101.62085308  49.37914692],0
b3,1,0.214941,1.537831,[13 21] ; [19 53],[10.26415094 23.73584906] ; [21.73584906 50.26415094],0
b2,1,0.214941,1.537831,[13 21] ; [19 53],[10.26415094 23.73584906] ; [21.73584906 50.26415094],0
n6,1,0.220031,1.504166,[37 23] ; [107  45],[40.75471698 19.24528302] ; [103.24528302  48.75471698],0
d4,1,0.257305,1.283197,[43 17] ; [120  32],[46.13207547 13.86792453] ; [116.86792453  35.13207547],0
s7,1,0.274758,1.192836,[21 34] ; [66 75],[24.41326531 30.58673469] ; [62.58673469 78.41326531],0
n1,1,0.324798,0.969529,[15 14] ; [21 31],[12.88888889 16.11111111] ; [23.11111111 28.88888889],0
u2,1,0.344889,0.892175,[ 9 16] ; [21 23],[10.86956522 14.13043478] ; [19.13043478 24.86956522],0
p6,1,0.348796,0.877832,[15 45] ; [ 47 102],[17.79904306 42.20095694] ; [ 44.20095694 104.79904306],0
u3,1,0.353987,0.859114,[11 14] ; [25 20],[12.85714286 12.14285714] ; [23.14285714 21.85714286],0
d2,1,0.356238,0.851113,[35 25] ; [78 74],[31.98113208 28.01886792] ; [81.01886792 70.98113208],0
b4,1,0.471589,0.518251,[36 25] ; [82 71],[33.63551402 27.36448598] ; [84.36448598 68.63551402],0
s4,1,0.548933,0.359232,[11 50] ; [ 33 119],[12.60093897 48.39906103] ; [ 31.39906103 120.60093897],0
s1,1,0.561102,0.3378,[ 5 56] ; [  9 141],[ 4.04739336 56.95260664] ; [  9.95260664 140.04739336],0
v1,1,0.562951,0.33462,[25 35] ; [70 82],[26.88679245 33.11320755] ; [68.11320755 83.88679245],0
s5,1,0.582051,0.30293,[21 37] ; [46 97],[19.33333333 38.66666667] ; [47.66666667 95.33333333],0
n5,1,0.605632,0.266585,[39 21] ; [93 59],[37.35849057 22.64150943] ; [94.64150943 57.35849057],0
a8,1,0.646982,0.209726,[ 5 55] ; [ 14 120],[ 5.87628866 54.12371134] ; [ 13.12371134 120.87628866],0
p12,1,0.672147,0.179101,[ 1 59] ; [  4 147],[ 1.42180095 58.57819905] ; [  3.57819905 147.42180095],0
s8,1,0.695747,0.152935,[20 40] ; [55 97],[21.22641509 38.77358491] ; [53.77358491 98.22641509],0
