Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.4e-05,18.917393,[23  5] ; [ 6 20],[15.03703704 12.96296296] ; [13.96296296 12.03703704],1
p3,1,2.5e-05,17.770301,[24  4] ; [ 8 19],[16.29090909 11.70909091] ; [15.70909091 11.29090909],1
p7,1,6.4e-05,15.97009,[26  2] ; [11 15],[19.18518519  8.81481481] ; [17.81481481  8.18518519],1
p6,1,7.1e-05,15.783074,[18 10] ; [ 3 23],[10.88888889 17.11111111] ; [10.11111111 15.88888889],1
p2,1,0.006593,7.380543,[24  4] ; [14 13],[19.34545455  8.65454545] ; [18.65454545  8.34545455],0
d1,1,0.010457,6.555414,[19  9] ; [ 9 18],[14.25454545 13.74545455] ; [13.74545455 13.25454545],0
d5,1,0.010601,6.531016,[25  3] ; [16 11],[20.87272727  7.12727273] ; [20.12727273  6.87272727],0
d4,1,0.013822,6.060745,[24  4] ; [15 12],[19.85454545  8.14545455] ; [19.14545455  7.85454545],0
d3,1,0.021782,5.263128,[20  8] ; [11 16],[15.78181818 12.21818182] ; [15.21818182 11.78181818],0
b5,1,0.032921,4.549886,[ 5 23] ; [12 15],[ 8.65454545 19.34545455] ; [ 8.34545455 18.65454545],0
n2,1,0.046547,3.961685,[10  1] ; [7 6],[7.79166667 3.20833333] ; [9.20833333 3.79166667],0
s5,1,0.068957,3.307683,[18  8] ; [11 14],[14.78431373 11.21568627] ; [14.21568627 10.78431373],0
r3,1,0.112799,2.514564,[26  2] ; [21  6],[23.92727273  4.07272727] ; [23.07272727  3.92727273],0
s7,1,0.113071,2.510769,[20  6] ; [14 11],[17.33333333  8.66666667] ; [16.66666667  8.33333333],0
b1,1,0.138533,2.194184,[17 11] ; [11 16],[14.25454545 13.74545455] ; [13.74545455 13.25454545],0
p9,1,0.16029,1.971487,[23  5] ; [17  9],[20.74074074  7.25925926] ; [19.25925926  6.74074074],0
d2,1,0.226969,1.459754,[17 11] ; [12 15],[14.76363636 13.23636364] ; [14.23636364 12.76363636],0
p12,1,0.264004,1.247637,[ 1 27] ; [ 3 23],[ 2.07407407 25.92592593] ; [ 1.92592593 24.07407407],0
p10,1,0.26747,1.229677,[23  5] ; [18  8],[21.25925926  6.74074074] ; [19.74074074  6.25925926],0
u1,1,0.281741,1.158672,[ 1 27] ; [ 3 24],[ 2.03636364 25.96363636] ; [ 1.96363636 25.03636364],0
n6,1,0.32167,0.982143,[22  6] ; [18  9],[20.36363636  7.63636364] ; [19.63636364  7.36363636],0
n5,1,0.334191,0.932591,[21  7] ; [17 10],[19.34545455  8.65454545] ; [18.65454545  8.34545455],0
a5,1,0.347854,0.881269,[19  9] ; [15 12],[17.30909091 10.69090909] ; [16.69090909 10.30909091],0
v4,1,0.378732,0.774815,[25  3] ; [21  5],[23.85185185  4.14814815] ; [22.14814815  3.85185185],0
v2,1,0.38646,0.750052,[11 17] ; [ 7 18],[ 9.50943396 18.49056604] ; [ 8.49056604 16.50943396],0
r4,1,0.468874,0.524627,[23  5] ; [20  7],[21.89090909  6.10909091] ; [21.10909091  5.89090909],0
p1,1,0.478071,0.503261,[ 5 23] ; [ 3 24],[ 4.07272727 23.92727273] ; [ 3.92727273 23.07272727],0
s6,1,0.4816,0.495238,[22  4] ; [20  6],[21.  5.] ; [21.  5.],0
s8,1,0.490555,0.475309,[14 14] ; [11 16],[12.72727273 15.27272727] ; [12.27272727 14.72727273],0
r1,1,0.503557,0.447432,[20  8] ; [17 10],[18.83636364  9.16363636] ; [18.16363636  8.83636364],0
r2,1,0.513706,0.426511,[23  5] ; [23  3],[23.85185185  4.14814815] ; [22.14814815  3.85185185],0
a2,1,0.531143,0.392204,[ 1 27] ; [ 2 25],[ 1.52727273 26.47272727] ; [ 1.47272727 25.52727273],0
a1,1,0.574473,0.315256,[ 2 26] ; [ 1 26],[ 1.52727273 26.47272727] ; [ 1.47272727 25.52727273],0
v3,1,0.611324,0.258251,[ 9 18] ; [ 7 19],[ 8.1509434 18.8490566] ; [ 7.8490566 18.1509434],0
s2,1,0.619472,0.246611,[18 10] ; [15 11],[17.11111111 10.88888889] ; [15.88888889 10.11111111],0
p11,1,0.69994,0.148534,[21  7] ; [19  8],[20.36363636  7.63636364] ; [19.63636364  7.36363636],0
n3,1,0.772059,0.083916,[7 4] ; [9 4],[7.33333333 3.66666667] ; [8.66666667 4.33333333],0
n4,1,0.840205,0.040655,[19  9] ; [19  8],[19.34545455  8.65454545] ; [18.65454545  8.34545455],0
s3,1,0.859724,0.031232,[20  8] ; [18  8],[19.7037037  8.2962963] ; [18.2962963  7.7037037],0
a6,1,0.863751,0.029447,[11 17] ; [10 17],[10.69090909 17.30909091] ; [10.30909091 16.69090909],0
a4,1,0.882553,0.021825,[13 15] ; [12 15],[12.72727273 15.27272727] ; [12.27272727 14.72727273],0
b4,1,0.890764,0.018861,[14 14] ; [13 14],[13.74545455 14.25454545] ; [13.25454545 13.74545455],0
v1,1,0.905542,0.014081,[12 16] ; [12 15],[12.21818182 15.78181818] ; [11.78181818 15.21818182],0
a3,1,0.918799,0.010393,[18 10] ; [17 10],[17.81818182 10.18181818] ; [17.18181818  9.81818182],0
s1,1,0.923289,0.009272,[ 3 25] ; [ 3 23],[ 3.11111111 24.88888889] ; [ 2.88888889 23.11111111],0
b3,1,0.939919,0.005681,[ 4 15] ; [ 3 12],[ 3.91176471 15.08823529] ; [ 3.08823529 11.91176471],0
b2,1,0.939919,0.005681,[ 4 15] ; [ 3 12],[ 3.91176471 15.08823529] ; [ 3.08823529 11.91176471],0
n1,1,0.972671,0.001174,[5 6] ; [6 7],[5.04166667 5.95833333] ; [5.95833333 7.04166667],0
u2,1,1.0,0.0,[6 4] ; [6 4],[6. 4.] ; [6. 4.],0
u3,1,1.0,0.0,[6 4] ; [6 4],[6. 4.] ; [6. 4.],0
