Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.000899,11.025,[ 2 10] ; [18  6],[6.66666667 5.33333333] ; [13.33333333 10.66666667],1
p4,1,0.004124,8.228571,[3 9] ; [18  6],[7. 5.] ; [14. 10.],0
n4,1,0.004124,8.228571,[3 9] ; [18  6],[7. 5.] ; [14. 10.],0
p3,1,0.009411,6.743034,[ 2 10] ; [15  9],[5.66666667 6.33333333] ; [11.33333333 12.66666667],0
n5,1,0.010515,6.545455,[5 7] ; [20  4],[8.33333333 3.66666667] ; [16.66666667  7.33333333],0
p8,1,0.012712,6.208762,[ 2 10] ; [14  9],[5.48571429 6.51428571] ; [10.51428571 12.48571429],0
r1,1,0.017706,5.625,[ 2 10] ; [14 10],[5.33333333 6.66666667] ; [10.66666667 13.33333333],0
a6,1,0.017706,5.625,[ 2 10] ; [14 10],[5.33333333 6.66666667] ; [10.66666667 13.33333333],0
s2,1,0.053116,3.74026,[ 2 10] ; [12 12],[4.66666667 7.33333333] ; [ 9.33333333 14.66666667],0
d2,1,0.053116,3.74026,[ 2 10] ; [12 12],[4.66666667 7.33333333] ; [ 9.33333333 14.66666667],0
d1,1,0.065501,3.392308,[ 1 11] ; [ 9 15],[3.33333333 8.66666667] ; [ 6.66666667 17.33333333],0
p10,1,0.073312,3.207273,[6 6] ; [19  5],[8.33333333 3.66666667] ; [16.66666667  7.33333333],0
s7,1,0.085681,2.95371,[2 8] ; [12 11],[4.24242424 5.75757576] ; [ 9.75757576 13.24242424],0
r2,1,0.087356,2.922431,[6 6] ; [18  5],[8.22857143 3.77142857] ; [15.77142857  7.22857143],0
p11,1,0.090602,2.863636,[5 7] ; [17  7],[7.33333333 4.66666667] ; [14.66666667  9.33333333],0
d5,1,0.098439,2.73065,[4 8] ; [15  9],[6.33333333 5.66666667] ; [12.66666667 11.33333333],0
d3,1,0.098439,2.73065,[4 8] ; [15  9],[6.33333333 5.66666667] ; [12.66666667 11.33333333],0
s8,1,0.112695,2.516016,[ 2 10] ; [10 13],[4.11428571 7.88571429] ; [ 7.88571429 15.11428571],0
s6,1,0.123077,2.377717,[3 9] ; [12 11],[5.14285714 6.85714286] ; [ 9.85714286 13.14285714],0
n1,1,0.12506,2.352778,[1 5] ; [8 7],[2.57142857 3.42857143] ; [6.42857143 8.57142857],0
s3,1,0.190732,1.711957,[3 9] ; [11 12],[4.8 7.2] ; [ 9.2 13.8],0
b1,1,0.226765,1.461039,[9 3] ; [13 11],[7.33333333 4.66666667] ; [14.66666667  9.33333333],0
a3,1,0.23568,1.40625,[5 7] ; [15  9],[6.66666667 5.33333333] ; [13.33333333 10.66666667],0
u2,1,0.280425,1.165029,[5 2] ; [4 5],[3.9375 3.0625] ; [5.0625 3.9375],0
n2,1,0.305507,1.05,[3 3] ; [11  4],[4. 2.] ; [10.  5.],0
v3,1,0.31786,0.99773,[ 1 11] ; [ 5 18],[2.05714286 9.94285714] ; [ 3.94285714 19.05714286],0
v1,1,0.33355,0.935065,[6 6] ; [ 8 16],[4.66666667 7.33333333] ; [ 9.33333333 14.66666667],0
u3,1,0.340904,0.907029,[4 3] ; [3 6],[3.0625 3.9375] ; [3.9375 5.0625],0
a7,1,0.342782,0.9,[4 8] ; [12 12],[5.33333333 6.66666667] ; [10.66666667 13.33333333],0
v4,1,0.342782,0.9,[9 3] ; [21  3],[10.  2.] ; [20.  4.],0
s5,1,0.403173,0.698842,[3 9] ; [ 9 14],[4.11428571 7.88571429] ; [ 7.88571429 15.11428571],0
p6,1,0.453255,0.5625,[3 9] ; [ 9 15],[4. 8.] ; [ 8. 16.],0
p9,1,0.456308,0.554936,[8 4] ; [18  5],[8.91428571 3.08571429] ; [17.08571429  5.91428571],0
p5,1,0.495521,0.464516,[ 1 11] ; [ 4 20],[ 1.66666667 10.33333333] ; [ 3.33333333 20.66666667],0
n3,1,0.576999,0.311111,[4 2] ; [8 7],[3.42857143 2.57142857] ; [8.57142857 6.42857143],0
a4,1,0.608874,0.261818,[3 9] ; [ 8 16],[3.66666667 8.33333333] ; [ 7.33333333 16.66666667],0
b5,1,0.623627,0.240803,[7 5] ; [16  8],[7.66666667 4.33333333] ; [15.33333333  8.66666667],0
d4,1,0.635256,0.225,[6 6] ; [14 10],[6.66666667 5.33333333] ; [13.33333333 10.66666667],0
v2,1,0.73549,0.11413,[3 9] ; [ 7 16],[3.42857143 8.57142857] ; [ 6.57142857 16.42857143],0
s4,1,0.79246,0.069231,[3 9] ; [ 7 17],[3.33333333 8.66666667] ; [ 6.66666667 17.33333333],0
b3,1,0.794935,0.067552,[1 3] ; [ 6 13],[1.2173913 2.7826087] ; [ 5.7826087 13.2173913],0
b2,1,0.794935,0.067552,[1 3] ; [ 6 13],[1.2173913 2.7826087] ; [ 5.7826087 13.2173913],0
p7,1,0.983339,0.000436,[6 5] ; [13 11],[5.97142857 5.02857143] ; [13.02857143 10.97142857],0
b4,1,1.0,0.0,[7 5] ; [14 10],[7. 5.] ; [14. 10.],0
