Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,68.057561,[145 110] ; [ 18 116],[106.85089974 148.14910026] ; [56.14910026 77.85089974],1
a3,1,0.0,58.81516,[198  58] ; [50 82],[163.62886598  92.37113402] ; [84.37113402 47.62886598],1
d2,1,0.0,49.220788,[143 111] ; [ 26 109],[110.3496144 143.6503856] ; [58.6503856 76.3496144],1
d1,1,0.0,41.623178,[158  98] ; [37 98],[127.67263427 128.32736573] ; [67.32736573 67.67263427],1
n4,1,0.0,25.450166,[205  50] ; [76 59],[183.73076923  71.26923077] ; [97.26923077 37.73076923],1
d5,1,1e-06,24.529158,[210  44] ; [80 54],[189.84536082  64.15463918] ; [100.15463918  33.84536082],1
a6,1,5e-06,20.75313,[179  76] ; [63 72],[158.23076923  96.76923077] ; [83.76923077 51.23076923],1
u1,1,9e-06,19.741922,[ 49 207] ; [  4 131],[ 34.70076726 221.29923274] ; [ 18.29923274 116.70076726],1
r1,1,0.000105,15.043035,[201  53] ; [82 53],[184.78663239  69.21336761] ; [98.21336761 36.78663239],1
d4,1,0.000236,13.521145,[208  46] ; [88 47],[193.27506427  60.72493573] ; [102.72493573  32.27506427],1
s8,1,0.000751,11.358593,[112 142] ; [36 99],[ 96.63753213 157.36246787] ; [51.36246787 83.63753213],1
r2,1,0.001526,10.046712,[244   9] ; [119  16],[236.69845361  16.30154639] ; [126.30154639   8.69845361],0
d3,1,0.00253,9.118581,[174  81] ; [70 63],[160.36082474  94.63917526] ; [83.63917526 49.36082474],0
n5,1,0.004543,8.05301,[193  62] ; [83 51],[180.92544987  74.07455013] ; [95.07455013 38.92544987],0
r4,1,0.006306,7.460682,[233  23] ; [110  25],[224.57289003  31.42710997] ; [118.42710997  16.57289003],0
s6,1,0.008922,6.83841,[171  78] ; [74 60],[159.28198433  89.71801567] ; [85.71801567 48.28198433],0
b3,1,0.010901,6.481399,[64 96] ; [17 57],[ 55.38461538 104.61538462] ; [25.61538462 48.38461538],0
b2,1,0.010901,6.481399,[64 96] ; [17 57],[ 55.38461538 104.61538462] ; [25.61538462 48.38461538],0
n6,1,0.016359,5.763913,[217  39] ; [101  34],[208.20460358  47.79539642] ; [109.79539642  25.20460358],0
p11,1,0.024476,5.060615,[196  60] ; [89 46],[186.59846547  69.40153453] ; [98.40153453 36.59846547],0
b5,1,0.02681,4.903012,[147 109] ; [93 42],[157.13554987  98.86445013] ; [82.86445013 52.13554987],0
v1,1,0.031596,4.620282,[104 145] ; [41 93],[ 94.2689295 154.7310705] ; [50.7310705 83.2689295],0
s7,1,0.053614,3.724667,[115 128] ; [48 82],[106.19034853 136.80965147] ; [56.80965147 73.19034853],0
p10,1,0.075443,3.160433,[194  58] ; [92 42],[186.71502591  65.28497409] ; [99.28497409 34.71502591],0
p12,1,0.075748,3.153851,[ 16 238] ; [  3 132],[ 12.40616967 241.59383033] ; [  6.59383033 128.40616967],0
p4,1,0.095889,2.772625,[150 105] ; [67 67],[142.24935733 112.75064267] ; [74.75064267 59.24935733],0
s5,1,0.124036,2.365605,[ 84 164] ; [34 96],[ 77.41798942 170.58201058] ; [40.58201058 89.41798942],0
