Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,4e-06,21.11193,[20  9] ; [ 7 37],[10.7260274 18.2739726] ; [16.2739726 27.7260274],1
u2,1,0.011743,6.349206,[6 1] ; [2 7],[3.5 3.5] ; [4.5 4.5],0
v4,1,0.159925,1.974939,[27  1] ; [38  6],[25.27777778  2.72222222] ; [39.72222222  4.27777778],0
n1,1,0.17146,1.87013,[5 1] ; [6 6],[3.66666667 2.33333333] ; [7.33333333 4.66666667],0
p5,1,0.172914,1.857496,[ 1 26] ; [ 6 38],[ 2.66197183 24.33802817] ; [ 4.33802817 39.66197183],0
d3,1,0.196933,1.664977,[22  7] ; [27 17],[19.46575342  9.53424658] ; [29.53424658 14.46575342],0
p9,1,0.223212,1.483603,[20  9] ; [35  8],[22.15277778  6.84722222] ; [32.84722222 10.15277778],0
d4,1,0.25113,1.317004,[22  7] ; [38  6],[23.83561644  5.16438356] ; [36.16438356  7.83561644],0
n6,1,0.270509,1.214166,[22  7] ; [37  6],[23.76388889  5.23611111] ; [35.23611111  7.76388889],0
p7,1,0.287998,1.128958,[20  8] ; [26 18],[17.88888889 10.11111111] ; [28.11111111 15.88888889],0
b1,1,0.297128,1.087038,[12 17] ; [13 31],[ 9.93150685 19.06849315] ; [15.06849315 28.93150685],0
p4,1,0.311422,1.024636,[15 14] ; [28 16],[17.08219178 11.91780822] ; [25.91780822 18.08219178],0
a1,1,0.330146,0.948324,[ 2 27] ; [ 1 43],[ 1.19178082 27.80821918] ; [ 1.80821918 42.19178082],0
p6,1,0.361026,0.834322,[11 18] ; [21 22],[12.88888889 16.11111111] ; [19.11111111 23.88888889],0
b5,1,0.361956,0.831094,[17 12] ; [21 23],[15.09589041 13.90410959] ; [22.90410959 21.09589041],0
p2,1,0.382202,0.763608,[22  7] ; [37  7],[23.43835616  5.56164384] ; [35.56164384  8.43835616],0
p11,1,0.432979,0.61482,[24  5] ; [33 11],[22.64383562  6.35616438] ; [34.35616438  9.64383562],0
a8,1,0.458719,0.54902,[ 4 23] ; [ 8 28],[ 5.14285714 21.85714286] ; [ 6.85714286 29.14285714],0
s5,1,0.460545,0.544571,[ 3 23] ; [ 8 36],[ 4.08571429 21.91428571] ; [ 6.91428571 37.08571429],0
s8,1,0.474014,0.512604,[15 14] ; [19 25],[13.50684932 15.49315068] ; [20.49315068 23.50684932],0
s4,1,0.474791,0.510804,[ 5 24] ; [ 5 39],[ 3.97260274 25.02739726] ; [ 6.02739726 37.97260274],0
a6,1,0.506882,0.440499,[20  9] ; [27 17],[18.67123288 10.32876712] ; [28.32876712 15.67123288],0
n5,1,0.511218,0.431574,[19 10] ; [32 12],[20.26027397  8.73972603] ; [30.73972603 13.26027397],0
u3,1,0.515305,0.42328,[5 2] ; [5 4],[4.375 2.625] ; [5.625 3.375],0
r4,1,0.523113,0.407751,[23  6] ; [32 12],[21.84931507  7.15068493] ; [33.15068493 10.84931507],0
p8,1,0.533549,0.387628,[13 16] ; [23 21],[14.30136986 14.69863014] ; [21.69863014 22.30136986],0
v1,1,0.557541,0.34398,[12 16] ; [21 21],[13.2 14.8] ; [19.8 22.2],0
n4,1,0.570278,0.322217,[24  5] ; [34 10],[23.04109589  5.95890411] ; [34.95890411  9.04109589],0
a3,1,0.5707,0.321513,[22  7] ; [35  8],[22.95833333  6.04166667] ; [34.04166667  8.95833333],0
n2,1,0.580543,0.305357,[6 1] ; [9 3],[5.52631579 1.47368421] ; [9.47368421 2.52631579],0
a4,1,0.593858,0.28436,[12 17] ; [21 23],[13.10958904 15.89041096] ; [19.89041096 24.10958904],0
r1,1,0.612217,0.256959,[22  7] ; [31 13],[21.05479452  7.94520548] ; [31.94520548 12.05479452],0
v3,1,0.630874,0.230878,[10 17] ; [18 24],[10.95652174 16.04347826] ; [17.04347826 24.95652174],0
b2,1,0.660059,0.193452,[10 10] ; [18 14],[10.76923077  9.23076923] ; [17.23076923 14.76923077],0
b3,1,0.660059,0.193452,[10 10] ; [18 14],[10.76923077  9.23076923] ; [17.23076923 14.76923077],0
d2,1,0.665112,0.187374,[13 16] ; [22 22],[13.90410959 15.09589041] ; [21.09589041 22.90410959],0
n3,1,0.709815,0.138462,[4 2] ; [9 3],[4.33333333 1.66666667] ; [8.66666667 3.33333333],0
a2,1,0.732941,0.116429,[ 5 24] ; [ 9 35],[ 5.56164384 23.43835616] ; [ 8.43835616 35.56164384],0
