Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,9e-06,19.736043,[20 24] ; [10 79],[ 9.92481203 34.07518797] ; [20.07518797 68.92481203],1
p8,1,1.8e-05,18.353651,[20 24] ; [11 79],[10.17910448 33.82089552] ; [20.82089552 69.17910448],1
p3,1,0.000958,10.906271,[24 20] ; [23 67],[15.43283582 28.56716418] ; [31.56716418 58.43283582],1
v1,1,0.003307,8.629605,[25 19] ; [26 60],[17.26153846 26.73846154] ; [33.73846154 52.26153846],0
a2,1,0.010001,6.634685,[ 3 41] ; [23 67],[ 8.53731343 35.46268657] ; [17.46268657 72.53731343],0
v2,1,0.010502,6.54764,[28 15] ; [35 50],[21.1640625 21.8359375] ; [41.8359375 43.1640625],0
u1,1,0.026365,4.931948,[ 3 41] ; [20 70],[ 7.55223881 36.44776119] ; [15.44776119 74.55223881],0
r4,1,0.026365,4.931948,[41  3] ; [70 20],[36.44776119  7.55223881] ; [74.55223881 15.44776119],0
a8,1,0.028983,4.768612,[ 7 36] ; [ 4 80],[ 3.72440945 39.27559055] ; [ 7.27559055 76.72440945],0
p4,1,0.063914,3.432781,[20 24] ; [26 63],[15.21804511 28.78195489] ; [30.78195489 58.21804511],0
r3,1,0.064918,3.407066,[42  2] ; [76 14],[38.74626866  5.25373134] ; [79.25373134 10.74626866],0
a3,1,0.067278,3.348208,[23 21] ; [61 28],[27.78947368 16.21052632] ; [56.21052632 32.78947368],0
p10,1,0.075689,3.155122,[32 12] ; [50 38],[27.33333333 16.66666667] ; [54.66666667 33.33333333],0
s2,1,0.080512,3.054545,[23 21] ; [32 56],[18.33333333 25.66666667] ; [36.66666667 51.33333333],0
d3,1,0.086435,2.939542,[20 24] ; [55 35],[24.62686567 19.37313433] ; [50.37313433 39.62686567],0
s3,1,0.089745,2.878939,[23 21] ; [32 55],[18.47328244 25.52671756] ; [36.52671756 50.47328244],0
d2,1,0.109394,2.56296,[17 27] ; [47 41],[21.33333333 22.66666667] ; [42.66666667 45.33333333],0
b4,1,0.109403,2.562819,[22 22] ; [58 32],[26.26865672 17.73134328] ; [53.73134328 36.26865672],0
n3,1,0.193153,1.6934,[7 1] ; [21 12],[5.46341463 2.53658537] ; [22.53658537 10.46341463],0
s5,1,0.238621,1.388724,[16 27] ; [23 62],[13.1015625 29.8984375] ; [25.8984375 59.1015625],0
a6,1,0.269468,1.219452,[24 20] ; [58 32],[26.92537313 17.07462687] ; [55.07462687 34.92537313],0
s8,1,0.278052,1.176589,[20 23] ; [33 57],[17.13533835 25.86466165] ; [35.86466165 54.13533835],0
s6,1,0.318816,0.993799,[29 14] ; [52 37],[26.38636364 16.61363636] ; [54.61363636 34.38636364],0
p5,1,0.351305,0.868738,[ 5 38] ; [ 6 82],[ 3.61068702 39.38931298] ; [ 7.38931298 80.61068702],0
u2,1,0.356024,0.851868,[ 7 13] ; [14 15],[ 8.57142857 11.42857143] ; [12.42857143 16.57142857],0
b5,1,0.357753,0.845766,[30 14] ; [54 36],[27.58208955 16.41791045] ; [56.41791045 33.58208955],0
a4,1,0.385372,0.753495,[17 27] ; [41 47],[19.33333333 24.66666667] ; [38.66666667 49.33333333],0
a5,1,0.390381,0.737755,[26 18] ; [60 30],[28.23880597 15.76119403] ; [57.76119403 32.23880597],0
r1,1,0.403629,0.697488,[32 12] ; [59 31],[29.88059701 14.11940299] ; [61.11940299 28.88059701],0
p9,1,0.433158,0.61434,[30 14] ; [52 33],[27.96899225 16.03100775] ; [54.03100775 30.96899225],0
r2,1,0.4415,0.59238,[40  3] ; [79 10],[38.76515152  4.23484848] ; [80.23484848  8.76515152],0
b2,1,0.475745,0.508602,[10 21] ; [22 33],[11.53488372 19.46511628] ; [20.46511628 34.53488372],0
b3,1,0.475745,0.508602,[10 21] ; [22 33],[11.53488372 19.46511628] ; [20.46511628 34.53488372],0
v4,1,0.476939,0.505855,[40  4] ; [78 12],[38.74626866  5.25373134] ; [79.25373134 10.74626866],0
a1,1,0.482678,0.492807,[ 2 42] ; [ 7 83],[ 2.95522388 41.04477612] ; [ 6.04477612 83.95522388],0
p1,1,0.54467,0.366952,[ 3 41] ; [ 9 81],[ 3.94029851 40.05970149] ; [ 8.05970149 81.94029851],0
n4,1,0.546485,0.363651,[33 11] ; [63 27],[31.52238806 12.47761194] ; [64.47761194 25.52238806],0
s4,1,0.561408,0.337272,[ 9 35] ; [22 66],[10.33333333 33.66666667] ; [20.66666667 67.33333333],0
d4,1,0.619144,0.247072,[32 12] ; [69 21],[33.1641791 10.8358209] ; [67.8358209 22.1641791],0
a7,1,0.63479,0.225621,[26 18] ; [57 33],[27.25373134 16.74626866] ; [55.74626866 34.25373134],0
n5,1,0.636308,0.223603,[33 11] ; [64 26],[31.85074627 12.14925373] ; [65.14925373 24.85074627],0
p11,1,0.6773,0.173181,[29 15] ; [56 34],[27.91044776 16.08955224] ; [57.08955224 32.91044776],0
p12,1,0.681746,0.168167,[ 3 41] ; [ 8 82],[ 3.6119403 40.3880597] ; [ 7.3880597 82.6119403],0
s7,1,0.719342,0.129124,[18 24] ; [34 52],[17.0625 24.9375] ; [34.9375 51.0625],0
n1,1,0.763598,0.090456,[4 4] ; [15 19],[3.61904762 4.38095238] ; [15.38095238 18.61904762],0
d1,1,0.809,0.058427,[22 22] ; [47 43],[22.65671642 21.34328358] ; [46.34328358 43.65671642],0
v3,1,0.817904,0.053011,[15 29] ; [30 53],[15.59055118 28.40944882] ; [29.40944882 53.59055118],0
d5,1,0.853466,0.034113,[31 13] ; [62 28],[30.53731343 13.46268657] ; [62.46268657 27.53731343],0
b1,1,0.908034,0.013345,[21 23] ; [42 48],[20.68656716 23.31343284] ; [42.31343284 47.68656716],0
u3,1,0.963404,0.002105,[11 10] ; [15 14],[10.92 10.08] ; [15.08 13.92],0
s1,1,0.986796,0.000274,[ 3 41] ; [ 6 83],[ 2.97744361 41.02255639] ; [ 6.02255639 82.97744361],0
