Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.001094,10.66186,[61 22] ; [ 9 15],[54.29906542 28.70093458] ; [15.70093458  8.29906542],0
d3,1,0.002006,9.54394,[65 18] ; [11 13],[58.95327103 24.04672897] ; [17.04672897  6.95327103],0
a7,1,0.006534,7.396745,[65 18] ; [12 12],[59.72897196 23.27102804] ; [17.27102804  6.72897196],0
p10,1,0.011043,6.458411,[63 19] ; [12 12],[58.01886792 23.98113208] ; [16.98113208  7.01886792],0
v4,1,0.012794,6.197367,[79  4] ; [19  5],[76.01869159  6.98130841] ; [21.98130841  2.01869159],0
p9,1,0.014157,6.018414,[65 17] ; [13 11],[60.33962264 21.66037736] ; [17.66037736  6.33962264],0
p7,1,0.030178,4.69911,[63 19] ; [13 11],[58.79245283 23.20754717] ; [17.20754717  6.79245283],0
s1,1,0.039131,4.255165,[ 2 81] ; [ 3 21],[ 3.87850467 79.12149533] ; [ 1.12149533 22.87850467],0
d4,1,0.06315,3.45266,[67 16] ; [15  9],[63.60747664 19.39252336] ; [18.39252336  5.60747664],0
a6,1,0.08934,2.886219,[54 29] ; [11 13],[50.42056075 32.57943925] ; [14.57943925  9.42056075],0
d2,1,0.146913,2.104019,[28 55] ; [12 12],[31.02803738 51.97196262] ; [ 8.97196262 15.02803738],0
a4,1,0.146913,2.104019,[28 55] ; [12 12],[31.02803738 51.97196262] ; [ 8.97196262 15.02803738],0
a1,1,0.177867,1.815354,[ 2 81] ; [ 2 22],[ 3.10280374 79.89719626] ; [ 0.89719626 23.10280374],0
r1,1,0.205072,1.605882,[59 23] ; [14 10],[56.47169811 25.52830189] ; [16.52830189  7.47169811],0
n6,1,0.216052,1.5304,[55 26] ; [13 11],[52.45714286 28.54285714] ; [15.54285714  8.45714286],0
n3,1,0.24061,1.377014,[22  7] ; [5 4],[20.60526316  8.39473684] ; [6.39473684 2.60526316],0
p3,1,0.251038,1.317519,[49 34] ; [11 13],[46.54205607 36.45794393] ; [13.45794393 10.54205607],0
d1,1,0.257676,1.281201,[42 41] ; [ 9 15],[39.56074766 43.43925234] ; [11.43925234 12.56074766],0
u1,1,0.262827,1.253805,[10 73] ; [ 1 23],[ 8.53271028 74.46728972] ; [ 2.46728972 21.53271028],0
p8,1,0.286457,1.136199,[50 33] ; [11 12],[47.76415094 35.23584906] ; [13.23584906  9.76415094],0
p5,1,0.345654,0.889349,[ 9 74] ; [ 1 22],[ 7.83018868 75.16981132] ; [ 2.16981132 20.83018868],0
a5,1,0.360644,0.83565,[54 29] ; [18  6],[55.85046729 27.14953271] ; [16.14953271  7.85046729],0
b4,1,0.37073,0.801218,[50 33] ; [12 12],[48.09345794 34.90654206] ; [13.90654206 10.09345794],0
b2,1,0.398185,0.713802,[15 30] ; [ 3 11],[13.72881356 31.27118644] ; [4.27118644 9.72881356],0
b3,1,0.398185,0.713802,[15 30] ; [ 3 11],[13.72881356 31.27118644] ; [4.27118644 9.72881356],0
s8,1,0.500164,0.454589,[34 49] ; [ 8 16],[32.57943925 50.42056075] ; [ 9.42056075 14.57943925],0
b5,1,0.521779,0.410376,[51 32] ; [13 11],[49.64485981 33.35514019] ; [14.35514019  9.64485981],0
v3,1,0.542246,0.371392,[20 59] ; [ 7 15],[21.11881188 57.88118812] ; [ 5.88118812 16.11881188],0
r2,1,0.554573,0.349188,[73 10] ; [20  4],[72.14018692 10.85981308] ; [20.85981308  3.14018692],0
s4,1,0.57309,0.317539,[22 61] ; [ 5 19],[20.94392523 62.05607477] ; [ 6.05607477 17.94392523],0
b1,1,0.594281,0.283708,[33 50] ; [11 13],[34.13084112 48.86915888] ; [ 9.86915888 14.13084112],0
a2,1,0.60621,0.265731,[14 69] ; [ 3 21],[13.18691589 69.81308411] ; [ 3.81308411 20.18691589],0
s7,1,0.609498,0.260906,[35 44] ; [ 8 13],[33.97 45.03] ; [ 9.03 11.97],0
v2,1,0.618855,0.24748,[40 39] ; [13 10],[41.04901961 37.95098039] ; [11.95098039 11.04901961],0
n2,1,0.62434,0.239815,[21  7] ; [6 3],[20.43243243  7.56756757] ; [6.56756757 2.43243243],0
r4,1,0.635104,0.225202,[66 17] ; [18  6],[65.1588785 17.8411215] ; [18.8411215  5.1588785],0
a8,1,0.684892,0.164671,[ 5 70] ; [ 1 22],[ 4.59183673 70.40816327] ; [ 1.40816327 21.59183673],0
s3,1,0.715355,0.132987,[45 38] ; [12 12],[44.21495327 38.78504673] ; [12.78504673 11.21495327],0
p12,1,0.727579,0.121346,[ 5 78] ; [ 1 23],[ 4.65420561 78.34579439] ; [ 1.34579439 22.65420561],0
n1,1,0.729456,0.119612,[ 9 20] ; [3 5],[ 9.40540541 19.59459459] ; [2.59459459 5.40540541],0
v1,1,0.772522,0.083566,[34 46] ; [11 13],[34.61538462 45.38461538] ; [10.38461538 13.61538462],0
u3,1,0.785704,0.073926,[20  8] ; [6 3],[19.67567568  8.32432432] ; [6.32432432 2.67567568],0
d5,1,0.792439,0.069245,[60 23] ; [18  6],[60.5046729 22.4953271] ; [17.4953271  6.5046729],0
