Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,64.655311,[40 82] ; [240  84],[76.59192825 45.40807175] ; [203.40807175 120.59192825],1
p6,1,0.0,41.110083,[28 91] ; [187 136],[57.88461538 61.11538462] ; [157.11538462 165.88461538],1
n5,1,7e-06,20.270677,[79 43] ; [273  51],[96.28699552 25.71300448] ; [255.71300448  68.28699552],1
p5,1,3.5e-05,17.145336,[  6 115] ; [ 70 255],[ 20.61883408 100.38116592] ; [ 55.38116592 269.61883408],1
p7,1,0.000139,14.512812,[81 35] ; [278  46],[94.64545455 21.35454545] ; [264.35454545  59.64545455],1
s6,1,0.000362,12.720805,[68 51] ; [234  79],[83.18981481 35.81018519] ; [218.81018519  94.18981481],1
n4,1,0.000368,12.687753,[83 39] ; [271  54],[96.61744966 25.38255034] ; [257.38255034  67.61744966],1
v1,1,0.001207,10.480122,[55 63] ; [204 116],[69.77625571 48.22374429] ; [189.22374429 130.77625571],0
d3,1,0.001689,9.860401,[74 48] ; [246  79],[87.33780761 34.66219239] ; [232.66219239  92.33780761],0
d4,1,0.002128,9.435737,[91 31] ; [281  43],[101.75784753  20.24215247] ; [270.24215247  53.75784753],0
p2,1,0.002478,9.156536,[102  19] ; [303  21],[110.12359551  10.87640449] ; [294.87640449  29.12359551],0
d1,1,0.003223,8.67656,[63 59] ; [217 108],[76.42058166 45.57941834] ; [203.57941834 121.42058166],0
u2,1,0.003903,8.328459,[15 28] ; [56 35],[22.78358209 20.21641791] ; [48.21641791 42.78358209],0
s7,1,0.006265,7.472458,[50 68] ; [176 132],[62.60093897 55.39906103] ; [163.39906103 144.60093897],0
s8,1,0.010449,6.556622,[48 74] ; [170 151],[60.03611738 61.96388262] ; [157.96388262 163.03611738],0
a5,1,0.011948,6.318618,[83 39] ; [258  67],[93.06935123 28.93064877] ; [247.93064877  77.06935123],0
r1,1,0.015314,5.880004,[94 27] ; [282  42],[102.23820225  18.76179775] ; [273.76179775  50.23820225],0
p11,1,0.01638,5.761653,[95 27] ; [283  42],[103.16778523  18.83221477] ; [274.83221477  50.16778523],0
n6,1,0.020479,5.370562,[100  22] ; [289  32],[107.12866817  14.87133183] ; [281.87133183  39.12866817],0
p12,1,0.020818,5.341926,[  5 115] ; [ 37 288],[ 11.3258427 108.6741573] ; [ 30.6741573 294.3258427],0
d2,1,0.026966,4.892987,[48 74] ; [166 159],[58.40715884 63.59284116] ; [155.59284116 169.40715884],0
p10,1,0.027935,4.832078,[98 23] ; [289  36],[104.99327354  16.00672646] ; [282.00672646  42.99327354],0
b4,1,0.037163,4.342933,[61 61] ; [198 127],[70.68903803 51.31096197] ; [188.31096197 136.68903803],0
a4,1,0.037406,4.331844,[42 79] ; [148 176],[51.66292135 69.33707865] ; [138.33707865 185.66292135],0
d5,1,0.037924,4.308436,[92 30] ; [272  52],[99.56950673 22.43049327] ; [264.43049327  59.56950673],0
v3,1,0.038132,4.299112,[42 77] ; [146 169],[51.5483871 67.4516129] ; [136.4516129 178.5483871],0
s5,1,0.039191,4.252564,[37 82] ; [130 180],[46.32400932 72.67599068] ; [120.67599068 189.32400932],0
a1,1,0.049353,3.863303,[  2 120] ; [ 20 305],[  6.00447427 115.99552573] ; [ 15.99552573 309.00447427],0
v2,1,0.066282,3.372782,[59 57] ; [193 125],[67.35483871 48.64516129] ; [184.64516129 133.35483871],0
b1,1,0.08732,2.923093,[37 85] ; [127 198],[44.7606264 77.2393736] ; [119.2393736 205.7606264],0
v4,1,0.102241,2.670226,[116   5] ; [318   5],[118.27477477   2.72522523] ; [315.72522523   7.27477477],0
r4,1,0.104173,2.640471,[112  10] ; [311  14],[115.44966443   6.55033557] ; [307.55033557  17.44966443],0
b5,1,0.108789,2.571723,[76 46] ; [175 150],[68.50559284 53.49440716] ; [182.49440716 142.50559284],0
s2,1,0.12686,2.330511,[57 65] ; [176 145],[64.16704289 57.83295711] ; [168.83295711 152.16704289],0
u4,1,0.135025,2.233756,[  1 121] ; [ 11 314],[  3.27516779 118.72483221] ; [  8.72483221 316.27516779],0
u3,1,0.143049,2.144855,[20 23] ; [54 36],[23.92481203 19.07518797] ; [50.07518797 39.92481203],0
a3,1,0.189889,1.718479,[79 41] ; [234  90],[84.59459459 35.40540541] ; [228.40540541  95.59459459],0
u1,1,0.204062,1.613062,[ 16 106] ; [ 59 266],[ 20.46979866 101.53020134] ; [ 54.53020134 270.46979866],0
s4,1,0.24725,1.338774,[ 16 105] ; [ 57 263],[ 20.02947846 100.97052154] ; [ 52.97052154 267.02947846],0
s3,1,0.253225,1.305421,[64 56] ; [190 130],[69.27272727 50.72727273] ; [184.72727273 135.27272727],0
p9,1,0.276204,1.185672,[103  17] ; [291  34],[106.24719101  13.75280899] ; [287.75280899  37.24719101],0
b2,1,0.299942,1.074451,[21 45] ; [ 79 124],[24.53531599 41.46468401] ; [ 75.46468401 127.53531599],0
b3,1,0.299942,1.074451,[21 45] ; [ 79 124],[24.53531599 41.46468401] ; [ 75.46468401 127.53531599],0
a2,1,0.336221,0.924789,[23 99] ; [ 75 250],[26.74720358 95.25279642] ; [ 71.25279642 253.74720358],0
s1,1,0.353961,0.859207,[  5 116] ; [  8 316],[  3.53483146 117.46516854] ; [  9.46516854 314.53483146],0
n3,1,0.434968,0.609522,[17 11] ; [32 14],[18.54054054  9.45945946] ; [30.45945946 15.54054054],0
r3,1,0.436555,0.605322,[115   7] ; [310  13],[116.51685393   5.48314607] ; [308.48314607  14.51685393],0
n2,1,0.442567,0.589619,[23  5] ; [35 12],[21.65333333  6.34666667] ; [36.34666667 10.65333333],0
p1,1,0.538243,0.378807,[ 13 107] ; [ 42 281],[ 14.89841986 105.10158014] ; [ 40.10158014 282.89841986],0
a8,1,0.563427,0.333805,[18 93] ; [ 41 253],[16.17037037 94.82962963] ; [ 42.82962963 251.17037037],0
a7,1,0.637821,0.221604,[90 32] ; [246  78],[91.9103139 30.0896861] ; [244.0896861  79.9103139],0
n1,1,0.874388,0.024992,[12 15] ; [20 27],[11.67567568 15.32432432] ; [20.32432432 26.67567568],0
a6,1,0.923774,0.009155,[81 40] ; [216 109],[80.57623318 40.42376682] ; [216.42376682 108.57623318],0
