Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,82.71975,[ 29 134] ; [148  83],[73.22588832 89.77411168] ; [103.77411168 127.22588832],1
v1,1,0.0,27.456125,[74 87] ; [168  65],[98.88832487 62.11167513] ; [143.11167513  89.88832487],1
a3,1,0.00095,10.922692,[103  60] ; [184  51],[117.54020101  45.45979899] ; [169.45979899  65.54020101],1
s4,1,0.002074,9.483282,[ 41 121] ; [ 31 204],[ 29.38035264 132.61964736] ; [ 42.61964736 192.38035264],0
n5,1,0.0059,7.580461,[124  40] ; [203  32],[134.40601504  29.59398496] ; [192.59398496  42.40601504],0
r1,1,0.006536,7.396275,[126  38] ; [205  30],[136.05012531  27.94987469] ; [194.94987469  40.05012531],0
a5,1,0.007365,7.181781,[117  47] ; [195  41],[127.92  36.08] ; [184.08  51.92],0
p3,1,0.008197,6.989888,[95 68] ; [167  68],[107.30150754  55.69849246] ; [154.69849246  80.30150754],0
d1,1,0.015741,5.831611,[91 73] ; [159  77],[102.5  61.5] ; [147.5  88.5],0
r4,1,0.016605,5.737658,[146  18] ; [225  11],[152.11  11.89] ; [218.89  17.11],0
u1,1,0.022315,5.221067,[ 18 146] ; [ 46 190],[ 26.24 137.76] ; [ 37.76 198.24],0
p12,1,0.031899,4.60392,[ 12 150] ; [ 34 202],[ 18.72361809 143.27638191] ; [ 27.27638191 208.72361809],0
d2,1,0.035474,4.422236,[69 95] ; [124 111],[79.3283208 84.6716792] ; [113.6716792 121.3283208],0
p11,1,0.036559,4.370854,[140  24] ; [217  19],[146.37  17.63] ; [210.63  25.37],0
d4,1,0.059591,3.548721,[130  33] ; [204  31],[136.78894472  26.21105528] ; [197.21105528  37.78894472],0
a2,1,0.063317,3.448289,[ 27 137] ; [ 57 179],[ 34.44 129.56] ; [ 49.56 186.44],0
r3,1,0.075525,3.15867,[151  12] ; [227   8],[154.80904523   8.19095477] ; [223.19095477  11.80904523],0
n4,1,0.07631,3.141794,[126  38] ; [198  38],[132.84  31.16] ; [191.16  44.84],0
b2,1,0.091465,2.84839,[31 67] ; [61 83],[37.25619835 60.74380165] ; [54.74380165 89.25619835],0
b3,1,0.091465,2.84839,[31 67] ; [61 83],[37.25619835 60.74380165] ; [54.74380165 89.25619835],0
n2,1,0.092858,2.824119,[22  9] ; [29  4],[24.703125  6.296875] ; [26.296875  6.703125],0
u4,1,0.0978,2.741055,[  1 163] ; [  7 229],[  3.28 160.72] ; [  4.72 231.28],0
p4,1,0.117719,2.447415,[117  47] ; [183  51],[123.61809045  40.38190955] ; [176.38190955  57.61809045],0
a6,1,0.118924,2.431429,[99 65] ; [159  75],[106.31155779  57.68844221] ; [151.68844221  82.31155779],0
s1,1,0.119015,2.430238,[  7 156] ; [  4 232],[  4.49373434 158.50626566] ; [  6.50626566 229.49373434],0
n6,1,0.120907,2.405527,[141  23] ; [211  21],[145.77777778  18.22222222] ; [206.22222222  25.77777778],0
p9,1,0.1223,2.387619,[152  12] ; [227   9],[155.39   8.61] ; [223.61  12.39],0
d5,1,0.12765,2.32085,[126  37] ; [196  39],[131.87437186  31.12562814] ; [190.12562814  44.87437186],0
s5,1,0.136316,2.219062,[ 58 100] ; [101 127],[65.08290155 92.91709845] ; [ 93.91709845 134.08290155],0
d3,1,0.1385,2.194543,[108  56] ; [171  64],[114.67669173  49.32330827] ; [164.32330827  70.67669173],0
b1,1,0.146229,2.111156,[68 96] ; [ 81 155],[ 61.09 102.91] ; [ 87.91 148.09],0
p7,1,0.167418,1.905917,[129  32] ; [199  34],[134.03045685  26.96954315] ; [193.96954315  39.03045685],0
b5,1,0.287277,1.13234,[95 69] ; [124 112],[89.79 74.21] ; [129.21 106.79],0
a4,1,0.294309,1.099803,[66 98] ; [107 128],[71.10776942 92.89223058] ; [101.89223058 133.10776942],0
p2,1,0.302843,1.061634,[154  10] ; [215  21],[151.29  12.71] ; [217.71  18.29],0
s7,1,0.333056,0.936979,[81 75] ; [127  96],[85.61477573 70.38522427] ; [122.38522427 100.61477573],0
s3,1,0.354523,0.857203,[86 75] ; [136  98],[90.48607595 70.51392405] ; [131.51392405 102.48607595],0
a1,1,0.367719,0.811358,[  7 157] ; [ 15 221],[  9.02 154.98] ; [ 12.98 223.02],0
a7,1,0.37466,0.78815,[117  47] ; [177  58],[120.84210526  43.15789474] ; [173.15789474  61.84210526],0
s8,1,0.406061,0.690304,[80 84] ; [123 109],[84.07070707 79.92929293] ; [118.92929293 113.07070707],0
r2,1,0.415479,0.663069,[153  10] ; [222  10],[154.74683544   8.25316456] ; [220.25316456  11.74683544],0
u3,1,0.425186,0.635938,[33 28] ; [32 20],[35.08849558 25.91150442] ; [29.91150442 22.08849558],0
b4,1,0.431613,0.61848,[88 76] ; [136 100],[91.84 72.16] ; [132.16 103.84],0
s2,1,0.449977,0.570709,[82 80] ; [128 107],[85.69269521 76.30730479] ; [124.30730479 110.69269521],0
a8,1,0.521316,0.411288,[ 21 134] ; [ 34 179],[ 23.16576087 131.83423913] ; [ 31.83423913 181.16576087],0
v4,1,0.571887,0.319535,[159   5] ; [228   5],[159.86901763   4.13098237] ; [227.13098237   5.86901763],0
n3,1,0.60064,0.274032,[20 10] ; [24  9],[20.95238095  9.04761905] ; [23.04761905  9.95238095],0
s6,1,0.627333,0.235695,[114  44] ; [160  69],[111.86563307  46.13436693] ; [162.13436693  66.86563307],0
n1,1,0.647967,0.208473,[13 18] ; [12 21],[12.109375 18.890625] ; [12.890625 20.109375],0
p5,1,0.648531,0.207757,[ 29 135] ; [ 46 190],[ 30.75 133.25] ; [ 44.25 191.75],0
p1,1,0.677338,0.173138,[ 18 146] ; [ 29 206],[ 19.31829574 144.68170426] ; [ 27.68170426 207.31829574],0
u2,1,0.886818,0.020258,[36 25] ; [30 22],[35.62831858 25.37168142] ; [30.37168142 21.62831858],0
p6,1,0.91881,0.01039,[82 81] ; [117 118],[81.5 81.5] ; [117.5 117.5],0
