Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,6.2e-05,16.051469,[6 9] ; [64 10],[11.79775281  3.20224719] ; [58.20224719 15.79775281],1
a7,1,0.005826,7.603448,[ 5 10] ; [53 22],[9.66666667 5.33333333] ; [48.33333333 26.66666667],0
a4,1,0.011617,6.368362,[8 7] ; [16 58],[ 4.04494382 10.95505618] ; [19.95505618 54.04494382],0
n4,1,0.011675,6.359525,[6 9] ; [55 20],[10.16666667  4.83333333] ; [50.83333333 24.16666667],0
v4,1,0.012577,6.227646,[10  4] ; [70  5],[12.58426966  1.41573034] ; [67.41573034  7.58426966],0
b1,1,0.013641,6.084,[11  4] ; [29 46],[6.66666667 8.33333333] ; [33.33333333 41.66666667],0
n5,1,0.022129,5.235577,[7 8] ; [57 18],[10.66666667  4.33333333] ; [53.33333333 21.66666667],0
p8,1,0.035757,4.408648,[6 8] ; [53 21],[9.38636364 4.61363636] ; [49.61363636 24.38636364],0
v2,1,0.04211,4.130787,[ 3 12] ; [35 37],[6.55172414 8.44827586] ; [31.44827586 40.55172414],0
r4,1,0.05778,3.6,[10  5] ; [65 10],[12.5  2.5] ; [62.5 12.5],0
a6,1,0.066169,3.375584,[6 9] ; [49 26],[9.16666667 5.83333333] ; [45.83333333 29.16666667],0
r2,1,0.071763,3.242235,[10  4] ; [67  8],[12.11235955  1.88764045] ; [64.88764045 10.11235955],0
s7,1,0.120436,2.411646,[4 9] ; [39 33],[6.57647059 6.42352941] ; [36.42352941 35.57647059],0
p11,1,0.124619,2.358289,[9 6] ; [59 16],[11.33333333  3.66666667] ; [56.66666667 18.33333333],0
p6,1,0.153593,2.036199,[ 4 11] ; [35 40],[6.5 8.5] ; [32.5 42.5],0
p5,1,0.178128,1.813176,[ 1 13] ; [17 57],[ 2.86363636 11.13636364] ; [15.13636364 58.86363636],0
a8,1,0.191185,1.70846,[ 3 10] ; [ 7 62],[ 1.58536585 11.41463415] ; [ 8.41463415 60.58536585],0
d3,1,0.219874,1.505195,[ 5 10] ; [38 37],[7.16666667 7.83333333] ; [35.83333333 39.16666667],0
r1,1,0.230139,1.44,[8 7] ; [52 23],[10.  5.] ; [50. 25.],0
u2,1,0.254587,1.297955,[4 1] ; [18 16],[2.82051282 2.17948718] ; [19.17948718 14.82051282],0
p2,1,0.254945,1.296,[11  4] ; [64 11],[12.5  2.5] ; [62.5 12.5],0
s1,1,0.264161,1.246818,[ 2 13] ; [ 4 70],[ 1.01123596 13.98876404] ; [ 4.98876404 69.01123596],0
s3,1,0.271005,1.211654,[11  4] ; [43 31],[9.1011236 5.8988764] ; [44.8988764 29.1011236],0
v3,1,0.280607,1.164149,[ 3 12] ; [25 48],[ 4.77272727 10.22727273] ; [23.22727273 49.77272727],0
n1,1,0.308709,1.03619,[3 2] ; [4 8],[2.05882353 2.94117647] ; [4.94117647 7.05882353],0
p9,1,0.32394,0.972973,[11  4] ; [63 12],[12.33333333  2.66666667] ; [61.66666667 13.33333333],0
a3,1,0.342782,0.9,[10  5] ; [40 35],[8.33333333 6.66666667] ; [41.66666667 33.33333333],0
s8,1,0.342782,0.9,[ 5 10] ; [35 40],[6.66666667 8.33333333] ; [33.33333333 41.66666667],0
s4,1,0.347895,0.881119,[ 1 14] ; [12 63],[ 2.16666667 12.83333333] ; [10.83333333 64.16666667],0
b5,1,0.430791,0.62069,[11  4] ; [47 28],[9.66666667 5.33333333] ; [48.33333333 26.66666667],0
b3,1,0.490696,0.475,[3 9] ; [16 29],[4. 8.] ; [15. 30.],0
b2,1,0.490696,0.475,[3 9] ; [16 29],[4. 8.] ; [15. 30.],0
s5,1,0.554771,0.348838,[ 3 11] ; [21 51],[ 3.90697674 10.09302326] ; [20.09302326 51.90697674],0
p3,1,0.563703,0.333333,[8 7] ; [46 29],[9. 6.] ; [45. 30.],0
a5,1,0.563703,0.333333,[10  5] ; [44 31],[9. 6.] ; [45. 30.],0
u3,1,0.588815,0.292198,[3 2] ; [16 18],[2.43589744 2.56410256] ; [16.56410256 17.43589744],0
p1,1,0.621873,0.243243,[ 2 13] ; [14 61],[ 2.66666667 12.33333333] ; [13.33333333 61.66666667],0
a1,1,0.647315,0.209302,[ 1 14] ; [ 3 72],[ 0.66666667 14.33333333] ; [ 3.33333333 71.66666667],0
s2,1,0.669689,0.181966,[7 8] ; [39 35],[7.75280899 7.24719101] ; [38.24719101 35.75280899],0
d1,1,0.740422,0.109756,[ 1 14] ; [ 7 68],[ 1.33333333 13.66666667] ; [ 6.66666667 68.33333333],0
r3,1,0.764177,0.09,[13  2] ; [67  8],[13.33333333  1.66666667] ; [66.66666667  8.33333333],0
s6,1,0.826192,0.048219,[9 6] ; [46 27],[9.375 5.625] ; [45.625 27.375],0
d2,1,0.835219,0.043269,[ 4 11] ; [22 53],[ 4.33333333 10.66666667] ; [21.66666667 53.33333333],0
d4,1,0.8504,0.035573,[7 8] ; [37 38],[7.33333333 7.66666667] ; [36.66666667 38.33333333],0
a2,1,0.885562,0.020713,[ 2 13] ; [ 9 66],[ 1.83333333 13.16666667] ; [ 9.16666667 65.83333333],0
p7,1,0.913934,0.011681,[11  4] ; [56 19],[11.16666667  3.83333333] ; [55.83333333 19.16666667],0
v1,1,0.924812,0.008906,[7 8] ; [36 39],[7.16666667 7.83333333] ; [35.83333333 39.16666667],0
n2,1,0.949272,0.004048,[3 2] ; [7 5],[2.94117647 2.05882353] ; [7.05882353 4.94117647],0
b4,1,1.0,0.0,[9 6] ; [45 30],[9. 6.] ; [45. 30.],0
