Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,1e-06,24.011544,[23  5] ; [13 39],[12.6 15.4] ; [23.4 28.6],1
d3,1,3e-06,21.978022,[24  4] ; [16 36],[14. 14.] ; [26. 26.],1
d5,1,1.5e-05,18.703055,[27  1] ; [25 27],[18.2  9.8] ; [33.8 18.2],1
a4,1,0.000113,14.905809,[20  9] ; [13 39],[11.81481481 17.18518519] ; [21.18518519 30.81481481],1
d4,1,0.000119,14.805352,[26  1] ; [28 24],[18.4556962  8.5443038] ; [35.5443038 16.4556962],1
a2,1,0.000242,13.469898,[11 18] ; [ 3 49],[ 5.01234568 23.98765432] ; [ 8.98765432 43.01234568],1
a3,1,0.002904,8.866764,[24  5] ; [25 26],[17.7625 11.2375] ; [31.2375 19.7625],0
a5,1,0.006093,7.522641,[23  6] ; [25 27],[17.18518519 11.81481481] ; [30.81481481 21.18518519],0
v2,1,0.008453,6.93479,[15 13] ; [12 38],[ 9.69230769 18.30769231] ; [17.30769231 32.69230769],0
a7,1,0.034023,4.493554,[21  8] ; [25 27],[16.4691358 12.5308642] ; [29.5308642 22.4691358],0
n2,1,0.042205,4.126984,[ 5 10] ; [16  8],[8.07692308 6.92307692] ; [12.92307692 11.07692308],0
a6,1,0.063968,3.431407,[21  7] ; [28 24],[17.15 10.85] ; [31.85 20.15],0
u2,1,0.165461,1.92359,[4 1] ; [12 14],[2.58064516 2.41935484] ; [13.41935484 12.58064516],0
r1,1,0.188384,1.730208,[21  8] ; [30 22],[18.25925926 10.74074074] ; [32.74074074 19.25925926],0
a8,1,0.194288,1.684798,[ 1 24] ; [ 7 44],[ 2.63157895 22.36842105] ; [ 5.36842105 45.63157895],0
b4,1,0.23638,1.402057,[19 10] ; [27 25],[16.4691358 12.5308642] ; [29.5308642 22.4691358],0
r3,1,0.25075,1.319122,[23  6] ; [35 17],[20.7654321  8.2345679] ; [37.2345679 14.7654321],0
n4,1,0.266014,1.237186,[13 16] ; [30 22],[15.39506173 13.60493827] ; [27.60493827 24.39506173],0
b5,1,0.295834,1.092879,[18 11] ; [26 26],[15.75308642 13.24691358] ; [28.24691358 23.75308642],0
r2,1,0.348443,0.879121,[24  4] ; [40 12],[22.4  5.6] ; [41.6 10.4],0
r4,1,0.391989,0.732762,[19 10] ; [29 23],[17.18518519 11.81481481] ; [30.81481481 21.18518519],0
s4,1,0.397721,0.715207,[ 3 26] ; [ 9 43],[ 4.2962963 24.7037037] ; [ 7.7037037 44.2962963],0
s6,1,0.434314,0.611259,[12 17] ; [17 35],[10.38271605 18.61728395] ; [18.61728395 33.38271605],0
a1,1,0.502013,0.450679,[ 2 27] ; [ 6 46],[ 2.86419753 26.13580247] ; [ 5.13580247 46.86419753],0
p11,1,0.503856,0.446805,[ 9 20] ; [20 32],[10.38271605 18.61728395] ; [18.61728395 33.38271605],0
s2,1,0.532811,0.389027,[ 6 23] ; [14 38],[ 7.16049383 21.83950617] ; [12.83950617 39.16049383],0
s7,1,0.540336,0.374918,[ 4 22] ; [10 37],[ 4.98630137 21.01369863] ; [ 9.01369863 37.98630137],0
n1,1,0.542234,0.371415,[5 9] ; [11 13],[5.89473684 8.10526316] ; [10.10526316 13.89473684],0
n3,1,0.623317,0.241233,[8 6] ; [15  8],[8.7027027 5.2972973] ; [14.2972973  8.7027027],0
p6,1,0.625883,0.237685,[ 4 23] ; [10 42],[ 4.78481013 22.21518987] ; [ 9.21518987 42.78481013],0
u3,1,0.626354,0.237037,[3 2] ; [13 14],[2.5 2.5] ; [13.5 13.5],0
p2,1,0.630501,0.231381,[14 15] ; [28 24],[15.03703704 13.96296296] ; [26.96296296 25.03703704],0
p9,1,0.633401,0.227477,[ 8 21] ; [17 35],[ 8.95061728 20.04938272] ; [16.04938272 35.95061728],0
s1,1,0.648207,0.208168,[ 3 25] ; [ 4 48],[ 2.45 25.55] ; [ 4.55 47.45],0
p12,1,0.682057,0.16782,[ 1 28] ; [ 1 50],[ 0.725 28.275] ; [ 1.275 49.725],0
p1,1,0.703446,0.144912,[ 3 26] ; [ 4 47],[ 2.5375 26.4625] ; [ 4.4625 46.5375],0
p7,1,0.72221,0.126385,[10 19] ; [20 32],[10.74074074 18.25925926] ; [19.25925926 32.74074074],0
v3,1,0.746108,0.10483,[ 5 21] ; [11 38],[ 5.54666667 20.45333333] ; [10.45333333 38.54666667],0
s3,1,0.747212,0.103888,[12 17] ; [23 28],[12.6875 16.3125] ; [22.3125 28.6875],0
p4,1,0.763587,0.090465,[ 8 21] ; [16 36],[ 8.59259259 20.40740741] ; [15.40740741 36.59259259],0
s8,1,0.767438,0.087455,[ 4 25] ; [ 6 46],[ 3.58024691 25.41975309] ; [ 6.41975309 45.58024691],0
v4,1,0.785126,0.074335,[18 10] ; [35 17],[18.55  9.45] ; [34.45 17.55],0
b1,1,0.826269,0.048175,[16 13] ; [30 22],[16.4691358 12.5308642] ; [29.5308642 22.4691358],0
n5,1,0.828554,0.046897,[11 18] ; [21 31],[11.45679012 17.54320988] ; [20.54320988 31.45679012],0
b2,1,0.839289,0.041129,[ 7 13] ; [10 21],[ 6.66666667 13.33333333] ; [10.33333333 20.66666667],0
b3,1,0.839289,0.041129,[ 7 13] ; [10 21],[ 6.66666667 13.33333333] ; [10.33333333 20.66666667],0
p3,1,0.874859,0.024803,[ 8 20] ; [14 38],[ 7.7 20.3] ; [14.3 37.7],0
p8,1,0.926391,0.008535,[ 6 23] ; [11 40],[ 6.1625 22.8375] ; [10.8375 40.1625],0
s5,1,0.972256,0.00121,[ 4 24] ; [ 7 43],[ 3.94871795 24.05128205] ; [ 7.05128205 42.94871795],0
v1,1,0.9904,0.000145,[10 19] ; [18 34],[10.02469136 18.97530864] ; [17.97530864 34.02469136],0
