Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.000336,12.857143,[ 3 32] ; [6 4],[ 7. 28.] ; [2. 8.],1
r4,1,0.017169,5.679022,[10 25] ; [7 3],[13.22222222 21.77777778] ; [3.77777778 6.22222222],0
s6,1,0.025638,4.980237,[14 21] ; [8 2],[17.11111111 17.88888889] ; [4.88888889 5.11111111],0
p4,1,0.028108,4.821429,[18 17] ; [9 1],[21. 14.] ; [6. 4.],0
b1,1,0.043738,4.066657,[23 12] ; [3 7],[20.22222222 14.77777778] ; [5.77777778 4.22222222],0
u3,1,0.049442,3.860294,[ 4 13] ; [3 1],[ 5.66666667 11.33333333] ; [1.33333333 2.66666667],0
p1,1,0.055285,3.673469,[ 1 34] ; [2 8],[ 2.33333333 32.66666667] ; [0.66666667 9.33333333],0
p3,1,0.067089,3.352833,[10 25] ; [6 4],[12.44444444 22.55555556] ; [3.55555556 6.44444444],0
v1,1,0.10028,2.70108,[11 24] ; [6 4],[13.22222222 21.77777778] ; [3.77777778 6.22222222],0
d5,1,0.106684,2.60266,[18 17] ; [8 2],[20.22222222 14.77777778] ; [5.77777778 4.22222222],0
s7,1,0.110612,2.545455,[ 9 24] ; [5 4],[11. 22.] ; [3. 6.],0
p6,1,0.125201,2.35102,[ 6 29] ; [4 6],[ 7.77777778 27.22222222] ; [2.22222222 7.77777778],0
b2,1,0.184317,1.762465,[ 6 15] ; [3 2],[ 7.26923077 13.73076923] ; [1.73076923 3.26923077],0
b3,1,0.184317,1.762465,[ 6 15] ; [3 2],[ 7.26923077 13.73076923] ; [1.73076923 3.26923077],0
n4,1,0.188578,1.728691,[20 15] ; [8 2],[21.77777778 13.22222222] ; [6.22222222 3.77777778],0
b4,1,0.230958,1.434949,[17 18] ; [7 3],[18.66666667 16.33333333] ; [5.33333333 4.66666667],0
r1,1,0.279253,1.17072,[11 24] ; [5 5],[12.44444444 22.55555556] ; [3.55555556 6.44444444],0
s8,1,0.279253,1.17072,[11 24] ; [5 5],[12.44444444 22.55555556] ; [3.55555556 6.44444444],0
n5,1,0.279642,1.168831,[27  8] ; [6 4],[25.66666667  9.33333333] ; [7.33333333 2.66666667],0
v3,1,0.279642,1.168831,[ 8 27] ; [4 6],[ 9.33333333 25.66666667] ; [2.66666667 7.33333333],0
p2,1,0.291816,1.111224,[26  9] ; [9 1],[27.22222222  7.77777778] ; [7.77777778 2.22222222],0
p12,1,0.310494,1.028571,[ 3 32] ; [2 8],[ 3.88888889 31.11111111] ; [1.11111111 8.88888889],0
v2,1,0.401156,0.704857,[12 22] ; [5 5],[13.13636364 20.86363636] ; [3.86363636 6.13636364],0
n3,1,0.437558,0.602679,[7 5] ; [1 2],[6.4 5.6] ; [1.6 1.4],0
n6,1,0.45167,0.566457,[23 11] ; [8 2],[23.95454545 10.04545455] ; [7.04545455 2.95454545],0
b5,1,0.464214,0.535714,[22 13] ; [5 5],[21. 14.] ; [6. 4.],0
p11,1,0.465728,0.532095,[28  7] ; [9 1],[28.77777778  6.22222222] ; [8.22222222 1.77777778],0
a4,1,0.481924,0.494505,[11 24] ; [2 8],[10.11111111 24.88888889] ; [2.88888889 7.11111111],0
s3,1,0.481924,0.494505,[11 24] ; [2 8],[10.11111111 24.88888889] ; [2.88888889 7.11111111],0
d2,1,0.491155,0.473996,[10 25] ; [4 6],[10.88888889 24.11111111] ; [3.11111111 6.88888889],0
a8,1,0.516937,0.42,[ 6 26] ; [1 9],[ 5.33333333 26.66666667] ; [1.66666667 8.33333333],0
s4,1,0.582572,0.302095,[ 6 29] ; [1 9],[ 5.44444444 29.55555556] ; [1.55555556 8.44444444],0
a7,1,0.631827,0.229592,[18 17] ; [6 4],[18.66666667 16.33333333] ; [5.33333333 4.66666667],0
d3,1,0.631827,0.229592,[18 17] ; [6 4],[18.66666667 16.33333333] ; [5.33333333 4.66666667],0
a3,1,0.631827,0.229592,[18 17] ; [6 4],[18.66666667 16.33333333] ; [5.33333333 4.66666667],0
d1,1,0.642986,0.214859,[ 8 27] ; [3 7],[ 8.55555556 26.44444444] ; [2.44444444 7.55555556],0
r3,1,0.687423,0.16189,[29  5] ; [8 2],[28.59090909  5.40909091] ; [8.40909091 1.59090909],0
s2,1,0.786944,0.073052,[ 9 26] ; [3 7],[ 9.33333333 25.66666667] ; [2.66666667 7.33333333],0
v4,1,0.799846,0.064286,[23 12] ; [7 3],[23.33333333 11.66666667] ; [6.66666667 3.33333333],0
a6,1,0.810657,0.057398,[16 19] ; [5 5],[16.33333333 18.66666667] ; [4.66666667 5.33333333],0
p8,1,0.810657,0.057398,[16 19] ; [5 5],[16.33333333 18.66666667] ; [4.66666667 5.33333333],0
a5,1,0.869456,0.027011,[22 13] ; [6 4],[21.77777778 13.22222222] ; [6.22222222 3.77777778],0
p7,1,0.871835,0.026027,[20 15] ; [6 4],[20.22222222 14.77777778] ; [5.77777778 4.22222222],0
a1,1,0.888662,0.019599,[ 3 32] ; [1 9],[ 3.11111111 31.88888889] ; [0.88888889 9.11111111],0
