Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,45.828635,[138  16] ; [41 41],[116.80508475  37.19491525] ; [62.19491525 19.80508475],1
r3,1,2e-06,22.744152,[143  10] ; [57 24],[130.76923077  22.23076923] ; [69.23076923 11.76923077],1
r2,1,1.6e-05,18.577593,[141  11] ; [59 23],[129.91452991  22.08547009] ; [70.08547009 11.91452991],1
a5,1,0.000379,12.633513,[90 64] ; [28 54],[77. 77.] ; [41. 41.],1
v2,1,0.000494,12.136465,[71 76] ; [20 61],[58.67105263 88.32894737] ; [32.32894737 48.67105263],1
v4,1,0.000497,12.127594,[139  12] ; [62 20],[130.26180258  20.73819742] ; [70.73819742 11.26180258],1
s6,1,0.001608,9.95073,[89 64] ; [30 52],[77.47659574 75.52340426] ; [41.52340426 40.47659574],0
u3,1,0.005867,7.590673,[37 23] ; [13 26],[30.3030303 29.6969697] ; [19.6969697 19.3030303],0
s8,1,0.01042,6.561632,[ 50 103] ; [14 68],[ 41.66808511 111.33191489] ; [22.33191489 59.66808511],0
v1,1,0.029745,4.723994,[73 77] ; [27 53],[65.2173913 84.7826087] ; [34.7826087 45.2173913],0
s1,1,0.044426,4.040309,[ 11 139] ; [ 1 81],[  7.75862069 142.24137931] ; [ 4.24137931 77.75862069],0
p11,1,0.045938,3.98385,[103  51] ; [44 38],[95.92372881 58.07627119] ; [51.07627119 30.92372881],0
d4,1,0.046818,3.951916,[94 60] ; [39 43],[86.78813559 67.21186441] ; [46.21186441 35.78813559],0
v3,1,0.04687,3.950066,[49 99] ; [17 65],[ 42.46956522 105.53043478] ; [23.53043478 58.46956522],0
s2,1,0.060538,3.522587,[63 88] ; [24 58],[56.38197425 94.61802575] ; [30.61802575 51.38197425],0
p5,1,0.091431,2.848996,[  9 144] ; [ 1 81],[  6.5106383 146.4893617] ; [ 3.4893617 78.5106383],0
n4,1,0.091773,2.843,[107  47] ; [48 34],[101.1440678  52.8559322] ; [53.8559322 28.1440678],0
n6,1,0.094213,2.800865,[114  38] ; [53 29],[108.47863248  43.52136752] ; [58.52136752 23.47863248],0
s3,1,0.094686,2.792846,[77 74] ; [32 49],[70.94396552 80.05603448] ; [38.05603448 42.94396552],0
b1,1,0.102677,2.66347,[60 94] ; [41 41],[65.90677966 88.09322034] ; [35.09322034 46.90677966],0
d2,1,0.137969,2.20047,[ 24 130] ; [19 62],[ 28.1787234 125.8212766] ; [14.8212766 66.1787234],0
s7,1,0.156827,2.004563,[52 93] ; [21 58],[47.25446429 97.74553571] ; [25.74553571 53.25446429],0
