Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3e-06,21.733726,[27  2] ; [16 26],[17.56338028 11.43661972] ; [25.43661972 16.56338028],1
r3,1,3e-06,21.680471,[28  1] ; [18 24],[18.78873239 10.21126761] ; [27.21126761 14.78873239],1
r2,1,0.000393,12.56755,[26  2] ; [21 19],[19.35294118  8.64705882] ; [27.64705882 12.35294118],1
s5,1,0.000905,11.011783,[10 18] ; [ 2 39],[ 4.86956522 23.13043478] ; [ 7.13043478 33.86956522],1
s6,1,0.001561,10.004775,[16 13] ; [ 8 34],[ 9.8028169 19.1971831] ; [14.1971831 27.8028169],0
n6,1,0.002046,9.507356,[24  5] ; [19 22],[17.81428571 11.18571429] ; [25.18571429 15.81428571],0
s8,1,0.003412,8.572908,[10 19] ; [ 3 39],[ 5.30985915 23.69014085] ; [ 7.69014085 34.30985915],0
p11,1,0.004011,8.278672,[19 10] ; [13 29],[13.07042254 15.92957746] ; [18.92957746 23.07042254],0
p10,1,0.007552,7.136826,[18 10] ; [13 28],[12.57971014 15.42028986] ; [18.42028986 22.57971014],0
p9,1,0.007711,7.099356,[19  8] ; [14 24],[13.70769231 13.29230769] ; [19.29230769 18.70769231],0
s2,1,0.009515,6.723558,[13 16] ; [ 7 35],[ 8.16901408 20.83098592] ; [11.83098592 30.16901408],0
b5,1,0.010235,6.593615,[22  7] ; [19 23],[16.74647887 12.25352113] ; [24.25352113 17.74647887],0
p6,1,0.010902,6.481273,[ 9 20] ; [ 3 37],[ 5.04347826 23.95652174] ; [ 6.95652174 33.04347826],0
s3,1,0.042262,4.124678,[13 16] ; [ 9 32],[ 9.11428571 19.88571429] ; [12.88571429 28.11428571],0
a1,1,0.052141,3.771239,[ 1 28] ; [ 8 34],[ 3.67605634 25.32394366] ; [ 5.32394366 36.67605634],0
n2,1,0.057231,3.615858,[8 1] ; [11 10],[5.7 3.3] ; [13.3  7.7],0
d2,1,0.062602,3.467072,[10 18] ; [24 17],[13.79710145 14.20289855] ; [20.20289855 20.79710145],0
p7,1,0.070206,3.278191,[12 17] ; [ 9 33],[ 8.57746479 20.42253521] ; [12.42253521 29.57746479],0
u2,1,0.100348,2.7,[6 6] ; [ 3 12],[4. 8.] ; [ 5. 10.],0
n5,1,0.232914,1.422979,[16 13] ; [29 13],[18.38028169 10.61971831] ; [26.61971831 15.38028169],0
s7,1,0.242691,1.364894,[ 8 19] ; [ 7 33],[ 6.04477612 20.95522388] ; [ 8.95522388 31.04477612],0
n4,1,0.255054,1.295405,[14 15] ; [26 16],[16.33802817 12.66197183] ; [23.66197183 18.33802817],0
p3,1,0.268108,1.226401,[ 9 20] ; [ 8 33],[ 7.04285714 21.95714286] ; [ 9.95714286 31.04285714],0
b4,1,0.270692,1.213238,[19 10] ; [22 20],[16.74647887 12.25352113] ; [24.25352113 17.74647887],0
u1,1,0.325355,0.967299,[ 1 28] ; [ 4 38],[ 2.04225352 26.95774648] ; [ 2.95774648 39.04225352],0
a2,1,0.333092,0.93684,[ 2 27] ; [ 6 36],[ 3.26760563 25.73239437] ; [ 4.73239437 37.26760563],0
p5,1,0.346788,0.885176,[ 2 26] ; [ 1 40],[ 1.2173913 26.7826087] ; [ 1.7826087 39.2173913],0
p4,1,0.360417,0.836439,[ 9 20] ; [ 9 33],[ 7.35211268 21.64788732] ; [10.64788732 31.35211268],0
b1,1,0.410502,0.677347,[13 16] ; [23 19],[14.70422535 14.29577465] ; [21.29577465 20.70422535],0
a7,1,0.410502,0.677347,[16 13] ; [19 23],[14.29577465 14.70422535] ; [20.70422535 21.29577465],0
u3,1,0.411314,0.675,[5 7] ; [ 4 11],[4. 8.] ; [ 5. 10.],0
p8,1,0.428098,0.627979,[ 8 21] ; [ 8 33],[ 6.62857143 22.37142857] ; [ 9.37142857 31.62857143],0
a6,1,0.461522,0.542202,[14 15] ; [24 18],[15.52112676 13.47887324] ; [22.47887324 19.52112676],0
s4,1,0.479097,0.500918,[ 6 23] ; [ 6 36],[ 4.90140845 24.09859155] ; [ 7.09859155 34.90140845],0
s1,1,0.486542,0.484164,[ 2 27] ; [ 5 37],[ 2.85915493 26.14084507] ; [ 4.14084507 37.85915493],0
a4,1,0.491934,0.472292,[ 9 20] ; [16 25],[10.35714286 18.64285714] ; [14.64285714 26.35714286],0
a8,1,0.492125,0.471876,[ 1 28] ; [ 3 38],[ 1.65714286 27.34285714] ; [ 2.34285714 38.65714286],0
n1,1,0.560714,0.338469,[4 4] ; [ 8 13],[3.31034483 4.68965517] ; [ 8.68965517 12.31034483],0
d5,1,0.609104,0.261481,[19 10] ; [25 17],[17.97183099 11.02816901] ; [26.02816901 15.97183099],0
a3,1,0.628859,0.233611,[17 12] ; [27 15],[17.97183099 11.02816901] ; [26.02816901 15.97183099],0
b2,1,0.658036,0.195918,[ 8 12] ; [13 15],[ 8.75 11.25] ; [12.25 15.75],0
b3,1,0.658036,0.195918,[ 8 12] ; [13 15],[ 8.75 11.25] ; [12.25 15.75],0
v3,1,0.658115,0.195821,[ 5 21] ; [10 32],[ 5.73529412 20.26470588] ; [ 9.26470588 32.73529412],0
d3,1,0.668032,0.183913,[13 16] ; [21 21],[13.88732394 15.11267606] ; [20.11267606 21.88732394],0
d4,1,0.681985,0.1679,[20  9] ; [27 15],[19.1971831  9.8028169] ; [27.8028169 14.1971831],0
n3,1,0.690328,0.15873,[5 4] ; [10 11],[4.5 4.5] ; [10.5 10.5],0
a5,1,0.715214,0.133124,[16 13] ; [25 17],[16.74647887 12.25352113] ; [24.25352113 17.74647887],0
p12,1,0.789328,0.071387,[ 1 28] ; [ 1 41],[ 0.81690141 28.18309859] ; [ 1.18309859 40.81690141],0
p1,1,0.846616,0.037418,[ 5 24] ; [ 8 34],[ 5.30985915 23.69014085] ; [ 7.69014085 34.30985915],0
v2,1,0.85862,0.031731,[ 9 17] ; [13 27],[ 8.66666667 17.33333333] ; [13.33333333 26.66666667],0
d1,1,0.901382,0.015355,[12 17] ; [18 24],[12.25352113 16.74647887] ; [17.74647887 24.25352113],0
v1,1,0.950044,0.003925,[ 8 20] ; [12 29],[ 8.11594203 19.88405797] ; [11.88405797 29.11594203],0
