Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,25.071829,[135  20] ; [94 57],[115.99673203  39.00326797] ; [113.00326797  37.99673203],1
s7,1,0.001409,10.194342,[98 48] ; [70 74],[84.57931034 61.42068966] ; [83.42068966 60.57931034],0
p3,1,0.002326,9.27275,[121  35] ; [93 58],[108.74267101  47.25732899] ; [105.25732899  45.74267101],0
s8,1,0.002946,8.84035,[93 62] ; [64 85],[80.04934211 74.95065789] ; [76.95065789 72.04934211],0
p8,1,0.003929,8.316365,[116  39] ; [89 61],[104.18032787  50.81967213] ; [100.81967213  49.18032787],0
p5,1,0.006158,7.503531,[ 36 120] ; [ 17 134],[ 26.93159609 129.06840391] ; [ 26.06840391 124.93159609],0
p9,1,0.006273,7.470079,[147   9] ; [127  23],[139.68627451  16.31372549] ; [134.31372549  15.68627451],0
v1,1,0.009052,6.812602,[118  36] ; [93 55],[107.59602649  46.40397351] ; [103.40397351  44.59602649],0
p12,1,0.009252,6.773547,[ 28 128] ; [ 12 139],[ 20.3257329 135.6742671] ; [ 19.6742671 131.3257329],0
b4,1,0.019866,5.423619,[103  53] ; [80 71],[92.99022801 63.00977199] ; [90.00977199 60.99022801],0
b3,1,0.024941,5.02801,[47 56] ; [30 69],[39.26237624 63.73762376] ; [37.73762376 61.26237624],0
b2,1,0.024941,5.02801,[47 56] ; [30 69],[39.26237624 63.73762376] ; [37.73762376 61.26237624],0
s2,1,0.026998,4.890912,[95 60] ; [72 76],[85.4290429 69.5709571] ; [81.5709571 66.4290429],0
s4,1,0.043045,4.09364,[ 28 127] ; [ 15 135],[ 21.85245902 133.14754098] ; [ 21.14754098 128.85245902],0
s6,1,0.060756,3.516614,[120  33] ; [102  46],[112.84385382  40.15614618] ; [109.15614618  38.84385382],0
p1,1,0.064721,3.412064,[ 20 135] ; [ 10 141],[ 15.19607843 139.80392157] ; [ 14.80392157 136.19607843],0
n2,1,0.065357,3.39595,[17  8] ; [24  3],[19.71153846  5.28846154] ; [21.28846154  5.71153846],0
n4,1,0.073176,3.210311,[135  21] ; [119  32],[129.06840391  26.93159609] ; [124.93159609  26.06840391],0
s5,1,0.087778,2.914666,[66 82] ; [52 97],[58.8013468 89.1986532] ; [59.1986532 89.8013468],0
a1,1,0.112977,2.512069,[ 13 143] ; [  6 145],[  9.65472313 146.34527687] ; [  9.34527687 141.65472313],0
u1,1,0.117644,2.448412,[ 44 112] ; [ 31 120],[ 38.11074919 117.88925081] ; [ 36.88925081 114.11074919],0
n6,1,0.13251,2.262851,[140  14] ; [128  22],[135.76315789  18.23684211] ; [132.23684211  17.76315789],0
p10,1,0.136229,2.220049,[140  16] ; [126  24],[135.60784314  20.39215686] ; [130.39215686  19.60784314],0
