Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000488,12.161462,[ 6 27] ; [11  5],[11.44897959 21.55102041] ; [ 5.55102041 10.44897959],1
b4,1,0.002432,9.191176,[22 12] ; [ 3 13],[17. 17.] ; [8. 8.],0
a3,1,0.002451,9.176853,[10 24] ; [12  4],[14.96 19.04] ; [7.04 8.96],0
u3,1,0.004797,7.954545,[ 3 21] ; [3 1],[ 5.14285714 18.85714286] ; [0.85714286 3.14285714],0
d1,1,0.007952,7.044148,[ 5 29] ; [8 8],[ 8.84 25.16] ; [ 4.16 11.84],0
p4,1,0.026817,4.902553,[12 22] ; [11  5],[15.64 18.36] ; [7.36 8.64],0
v3,1,0.043613,4.071472,[ 3 31] ; [ 5 11],[ 5.44 28.56] ; [ 2.56 13.44],0
d4,1,0.054386,3.700814,[18 16] ; [13  3],[21.08 12.92] ; [9.92 6.08],0
a4,1,0.069523,3.294255,[ 5 29] ; [ 6 10],[ 7.48 26.52] ; [ 3.52 12.48],0
s2,1,0.088843,2.895221,[ 7 27] ; [7 9],[ 9.52 24.48] ; [ 4.48 11.52],0
d3,1,0.1083,2.578858,[13 21] ; [10  6],[15.64 18.36] ; [7.36 8.64],0
n5,1,0.15713,2.001634,[24 10] ; [8 8],[21.76 12.24] ; [10.24  5.76],0
s6,1,0.161365,1.961388,[12 22] ; [9 7],[14.28 19.72] ; [6.72 9.28],0
p5,1,0.168796,1.893604,[ 2 31] ; [ 3 13],[ 3.36734694 29.63265306] ; [ 1.63265306 14.36734694],0
s1,1,0.184298,1.76262,[ 1 33] ; [ 2 14],[ 2.04 31.96] ; [ 0.96 15.04],0
p11,1,0.19389,1.687806,[19 15] ; [12  4],[21.08 12.92] ; [9.92 6.08],0
b1,1,0.212788,1.552354,[17 17] ; [11  5],[19.04 14.96] ; [8.96 7.04],0
d2,1,0.221769,1.49289,[ 9 25] ; [7 9],[10.88 23.12] ; [ 5.12 10.88],0
d5,1,0.225253,1.470588,[15 19] ; [10  6],[17. 17.] ; [8. 8.],0
a5,1,0.231277,1.432988,[13 21] ; [9 7],[14.96 19.04] ; [7.04 8.96],0
s5,1,0.233722,1.418067,[ 4 30] ; [ 4 12],[ 5.44 28.56] ; [ 2.56 13.44],0
v4,1,0.290733,1.116222,[18 16] ; [11  5],[19.72 14.28] ; [9.28 6.72],0
a6,1,0.307982,1.03931,[16 18] ; [10  6],[17.68 16.32] ; [8.32 7.68],0
b5,1,0.318477,0.995193,[20 14] ; [7 9],[18.36 15.64] ; [8.64 7.36],0
p3,1,0.343609,0.89692,[ 9 25] ; [6 9],[10.40816327 23.59183673] ; [ 4.59183673 10.40816327],0
p10,1,0.363141,0.827002,[14 19] ; [9 7],[15.48979592 17.51020408] ; [7.51020408 8.48979592],0
n3,1,0.378175,0.776627,[9 4] ; [4 4],[8.04761905 4.95238095] ; [4.95238095 3.04761905],0
a1,1,0.421051,0.647379,[ 2 32] ; [ 2 14],[ 2.72 31.28] ; [ 1.28 14.72],0
p1,1,0.421051,0.647379,[ 2 32] ; [ 2 14],[ 2.72 31.28] ; [ 1.28 14.72],0
p7,1,0.431725,0.618178,[13 21] ; [8 8],[14.28 19.72] ; [6.72 9.28],0
s7,1,0.529885,0.394612,[ 4 27] ; [ 3 12],[ 4.7173913 26.2826087] ; [ 2.2826087 12.7173913],0
r3,1,0.552821,0.352288,[22 12] ; [11  4],[22.89795918 11.10204082] ; [10.10204082  4.89795918],0
n4,1,0.557659,0.343774,[20 14] ; [8 8],[19.04 14.96] ; [8.96 7.04],0
n6,1,0.565544,0.330196,[22 12] ; [9 7],[21.08 12.92] ; [9.92 6.08],0
a2,1,0.577556,0.310202,[ 1 33] ; [ 1 15],[ 1.36 32.64] ; [ 0.64 15.36],0
p8,1,0.61441,0.253802,[10 23] ; [ 6 10],[10.7755102 22.2244898] ; [ 5.2244898 10.7755102],0
s8,1,0.643293,0.214461,[ 6 28] ; [ 2 14],[ 5.44 28.56] ; [ 2.56 13.44],0
p6,1,0.676103,0.174545,[ 6 27] ; [ 2 13],[ 5.5 27.5] ; [ 2.5 12.5],0
b2,1,0.689946,0.159144,[ 7 17] ; [2 7],[ 6.54545455 17.45454545] ; [2.45454545 6.54545455],0
b3,1,0.689946,0.159144,[ 7 17] ; [2 7],[ 6.54545455 17.45454545] ; [2.45454545 6.54545455],0
a7,1,0.697051,0.151558,[15 19] ; [8 8],[15.64 18.36] ; [7.36 8.64],0
n2,1,0.697161,0.151442,[7 6] ; [5 3],[7.42857143 5.57142857] ; [4.57142857 3.42857143],0
n1,1,0.750679,0.100962,[4 9] ; [3 5],[4.33333333 8.66666667] ; [2.66666667 5.33333333],0
p12,1,0.754357,0.097906,[ 3 31] ; [ 1 15],[ 2.72 31.28] ; [ 1.28 14.72],0
p9,1,0.83468,0.043557,[19 13] ; [10  6],[19.33333333 12.66666667] ; [9.66666667 6.33333333],0
p2,1,0.863445,0.029581,[20 14] ; [9 7],[19.72 14.28] ; [9.28 6.72],0
u2,1,0.877059,0.023932,[13 11] ; [2 2],[12.85714286 11.14285714] ; [2.14285714 1.85714286],0
s4,1,0.879514,0.022978,[ 7 27] ; [ 3 13],[ 6.8 27.2] ; [ 3.2 12.8],0
r4,1,0.924558,0.008967,[ 6 28] ; [ 3 13],[ 6.12 27.88] ; [ 2.88 13.12],0
s3,1,0.946225,0.004549,[10 23] ; [ 5 11],[10.10204082 22.89795918] ; [ 4.89795918 11.10204082],0
