Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,50.09815,[196  26] ; [230 146],[158.14715719  63.85284281] ; [267.85284281 108.14715719],1
s2,1,0.0,46.227855,[158  66] ; [157 218],[117.79632721 106.20367279] ; [197.20367279 177.79632721],1
p5,1,0.0,35.709181,[ 51 174] ; [ 23 353],[ 27.70382696 197.29617304] ; [ 46.29617304 329.70382696],1
s7,1,0.0,26.568556,[145  70] ; [165 199],[115.11226252  99.88773748] ; [194.88773748 169.11226252],1
s3,1,8e-06,20.052578,[152  68] ; [188 186],[125.92592593  94.07407407] ; [214.07407407 159.92592593],1
s8,1,1e-05,19.518124,[133  90] ; [155 223],[106.86189684 116.13810316] ; [181.13810316 196.86189684],1
s4,1,5.3e-05,16.330888,[ 53 167] ; [ 43 332],[ 35.49579832 184.50420168] ; [ 60.50420168 314.49579832],1
p7,1,0.000159,14.267522,[167  52] ; [226 144],[146.12393888  72.87606112] ; [246.87606112 123.12393888],1
p6,1,0.000514,12.063142,[106 117] ; [125 251],[ 85.99833055 137.00166945] ; [145.00166945 230.99833055],1
p3,1,0.00108,10.685887,[136  89] ; [176 201],[116.61129568 108.38870432] ; [195.38870432 181.61129568],0
p12,1,0.001493,10.086778,[ 30 194] ; [ 22 354],[ 19.41333333 204.58666667] ; [ 32.58666667 343.41333333],0
p9,1,0.002398,9.216732,[202  19] ; [309  66],[189.48154362  31.51845638] ; [321.51845638  53.48154362],0
p10,1,0.002767,8.955239,[202  22] ; [303  71],[189.1638796  34.8361204] ; [315.8361204  58.1638796],0
p1,1,0.005945,7.566751,[ 29 195] ; [ 24 353],[ 19.75374376 204.24625624] ; [ 33.24625624 343.75374376],0
p8,1,0.008124,7.005999,[137  85] ; [188 184],[121.46464646 100.53535354] ; [203.53535354 168.46464646],0
a3,1,0.009625,6.702925,[180  44] ; [267 110],[166.60232945  57.39767055] ; [280.39767055  96.60232945],0
p4,1,0.01112,6.446108,[155  68] ; [223 154],[140.49  82.51] ; [237.51 139.49],0
