Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,9.6e-05,15.216128,[15  3] ; [ 1 10],[9.93103448 8.06896552] ; [6.06896552 4.93103448],1
p10,1,0.007374,7.17964,[14  4] ; [3 8],[10.55172414  7.44827586] ; [6.44827586 4.55172414],0
r3,1,0.011108,6.447932,[16  2] ; [5 6],[13.03448276  4.96551724] ; [7.96551724 3.03448276],0
p6,1,0.012342,6.260994,[10  8] ; [ 1 10],[ 6.82758621 11.17241379] ; [4.17241379 6.82758621],0
p11,1,0.039406,4.24329,[12  6] ; [3 8],[9.31034483 8.68965517] ; [5.68965517 5.31034483],0
r4,1,0.047388,3.931571,[10  8] ; [2 9],[ 7.44827586 10.55172414] ; [4.55172414 6.44827586],0
d5,1,0.07558,3.157469,[14  4] ; [5 6],[11.79310345  6.20689655] ; [7.20689655 3.79310345],0
s8,1,0.081497,3.034782,[ 7 11] ; [ 1 10],[ 4.96551724 13.03448276] ; [3.03448276 7.96551724],0
n6,1,0.149448,2.077875,[13  5] ; [5 6],[11.17241379  6.82758621] ; [6.82758621 4.17241379],0
s6,1,0.181709,1.783591,[10  6] ; [4 7],[8.2962963 7.7037037] ; [5.7037037 5.2962963],0
a6,1,0.195646,1.674579,[11  7] ; [4 7],[9.31034483 8.68965517] ; [5.68965517 5.31034483],0
p7,1,0.195646,1.674579,[11  7] ; [4 7],[9.31034483 8.68965517] ; [5.68965517 5.31034483],0
r1,1,0.195646,1.674579,[ 7 11] ; [7 4],[8.68965517 9.31034483] ; [5.31034483 5.68965517],0
v2,1,0.195646,1.674579,[11  7] ; [4 7],[9.31034483 8.68965517] ; [5.68965517 5.31034483],0
a8,1,0.200602,1.637984,[ 5 12] ; [ 1 10],[ 3.64285714 13.35714286] ; [2.35714286 8.64285714],0
p4,1,0.227907,1.453877,[9 9] ; [3 8],[ 7.44827586 10.55172414] ; [4.55172414 6.44827586],0
a5,1,0.260426,1.266488,[12  6] ; [5 6],[10.55172414  7.44827586] ; [6.44827586 4.55172414],0
b2,1,0.263552,1.25,[6 6] ; [2 6],[4.8 7.2] ; [3.2 4.8],0
b3,1,0.263552,1.25,[6 6] ; [2 6],[4.8 7.2] ; [3.2 4.8],0
p1,1,0.278664,1.173595,[ 1 17] ; [2 9],[ 1.86206897 16.13793103] ; [1.13793103 9.86206897],0
s5,1,0.280077,1.166717,[ 6 10] ; [2 9],[ 4.74074074 11.25925926] ; [3.25925926 7.74074074],0
a7,1,0.315594,1.007119,[10  8] ; [4 7],[8.68965517 9.31034483] ; [5.31034483 5.68965517],0
p3,1,0.315594,1.007119,[10  8] ; [4 7],[8.68965517 9.31034483] ; [5.31034483 5.68965517],0
b4,1,0.331171,0.944312,[13  5] ; [6 5],[11.79310345  6.20689655] ; [7.20689655 3.79310345],0
n5,1,0.331171,0.944312,[13  5] ; [6 5],[11.79310345  6.20689655] ; [7.20689655 3.79310345],0
p8,1,0.400659,0.706347,[ 6 11] ; [2 8],[ 5.03703704 11.96296296] ; [2.96296296 7.03703704],0
a3,1,0.408384,0.683502,[14  4] ; [7 4],[13.03448276  4.96551724] ; [7.96551724 3.03448276],0
b5,1,0.410727,0.676695,[11  7] ; [5 6],[9.93103448 8.06896552] ; [6.06896552 4.93103448],0
u2,1,0.465209,0.533333,[1 3] ; [2 2],[1.5 2.5] ; [1.5 2.5],0
v1,1,0.55791,0.343336,[ 5 13] ; [2 9],[ 4.34482759 13.65517241] ; [2.65517241 8.34482759],0
d2,1,0.668129,0.183799,[10  8] ; [7 4],[10.55172414  7.44827586] ; [6.44827586 4.55172414],0
s7,1,0.69574,0.152941,[ 6 10] ; [3 7],[ 5.53846154 10.46153846] ; [3.46153846 6.53846154],0
r2,1,0.700472,0.147981,[12  5] ; [7 4],[11.53571429  5.46428571] ; [7.46428571 3.53571429],0
b1,1,0.72759,0.121336,[11  7] ; [6 5],[10.55172414  7.44827586] ; [6.44827586 4.55172414],0
d4,1,0.757782,0.095107,[14  4] ; [8 3],[13.65517241  4.34482759] ; [8.34482759 2.65517241],0
s2,1,0.812126,0.056494,[9 9] ; [6 5],[9.31034483 8.68965517] ; [5.68965517 5.31034483],0
d1,1,0.812126,0.056494,[9 9] ; [6 5],[9.31034483 8.68965517] ; [5.68965517 5.31034483],0
v3,1,0.823218,0.049911,[ 4 13] ; [3 8],[ 4.25 12.75] ; [2.75 8.25],0
n4,1,0.867695,0.027751,[12  6] ; [7 4],[11.79310345  6.20689655] ; [7.20689655 3.79310345],0
a4,1,0.867695,0.027751,[ 6 12] ; [4 7],[ 6.20689655 11.79310345] ; [3.79310345 7.20689655],0
s4,1,0.916528,0.010985,[ 3 15] ; [2 9],[ 3.10344828 14.89655172] ; [1.89655172 9.10344828],0
d3,1,0.957675,0.002817,[10  8] ; [6 5],[9.93103448 8.06896552] ; [6.06896552 4.93103448],0
