Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,31.829157,[14 75] ; [21  9],[26.17647059 62.82352941] ; [ 8.82352941 21.17647059],1
s8,1,0.0,26.516841,[12 79] ; [18 12],[22.56198347 68.43801653] ; [ 7.43801653 22.56198347],1
s6,1,7.5e-05,15.673858,[32 59] ; [23  7],[41.36363636 49.63636364] ; [13.63636364 16.36363636],1
s5,1,0.000484,12.176519,[10 75] ; [12 17],[16.40350877 68.59649123] ; [ 5.59649123 23.40350877],1
s3,1,0.002691,9.005971,[28 59] ; [19 11],[34.94871795 52.05128205] ; [12.05128205 17.94871795],0
d4,1,0.008668,6.889952,[51 39] ; [25  5],[57. 33.] ; [19. 11.],0
p11,1,0.012905,6.18202,[57 34] ; [11 19],[51.14049587 39.85950413] ; [16.85950413 13.14049587],0
d5,1,0.044451,4.039336,[51 40] ; [23  7],[55.65289256 35.34710744] ; [18.34710744 11.65289256],0
d1,1,0.051086,3.805457,[25 66] ; [14 16],[29.33057851 61.66942149] ; [ 9.66942149 20.33057851],0
p6,1,0.062133,3.479511,[ 7 83] ; [ 6 24],[ 9.75 80.25] ; [ 3.25 26.75],0
d3,1,0.081364,3.037441,[44 47] ; [20 10],[48.1322314 42.8677686] ; [15.8677686 14.1322314],0
p1,1,0.096037,2.770147,[ 6 85] ; [ 5 25],[ 8.27272727 82.72727273] ; [ 2.72727273 27.27272727],0
r1,1,0.097841,2.740388,[48 43] ; [21  9],[51.89256198 39.10743802] ; [17.10743802 12.89256198],0
v3,1,0.113181,2.509235,[19 68] ; [10 17],[22.13157895 64.86842105] ; [ 6.86842105 20.13157895],0
a7,1,0.12911,2.303173,[52 38] ; [22  8],[55.5 34.5] ; [18.5 11.5],0
u3,1,0.146751,2.105705,[27 29] ; [11  5],[29.55555556 26.44444444] ; [8.44444444 7.55555556],0
p4,1,0.156842,2.004413,[24 67] ; [12 18],[27.07438017 63.92561983] ; [ 8.92561983 21.07438017],0
p2,1,0.169074,1.891139,[54 37] ; [22  8],[57.15702479 33.84297521] ; [18.84297521 11.15702479],0
a6,1,0.188371,1.730315,[49 42] ; [12 18],[45.87603306 45.12396694] ; [15.12396694 14.87603306],0
p3,1,0.190553,1.713337,[17 74] ; [ 9 21],[19.55371901 71.44628099] ; [ 6.44628099 23.55371901],0
p5,1,0.219622,1.50684,[ 2 89] ; [ 2 27],[ 3.03333333 87.96666667] ; [ 0.96666667 28.03333333],0
p10,1,0.222894,1.485643,[48 41] ; [20 10],[50.85714286 38.14285714] ; [17.14285714 12.85714286],0
r4,1,0.229181,1.445937,[59 32] ; [23  7],[61.66942149 29.33057851] ; [20.33057851  9.66942149],0
u1,1,0.235122,1.409602,[ 2 89] ; [ 2 28],[ 3.00826446 87.99173554] ; [ 0.99173554 29.00826446],0
s4,1,0.247273,1.338645,[13 78] ; [ 7 23],[15.04132231 75.95867769] ; [ 4.95867769 25.04132231],0
a8,1,0.274444,1.194399,[ 9 76] ; [ 1 26],[ 7.58928571 77.41071429] ; [ 2.41071429 24.58928571],0
n3,1,0.280318,1.165547,[21 10] ; [6 6],[19.46511628 11.53488372] ; [7.53488372 4.46511628],0
v4,1,0.303127,1.060385,[71 20] ; [26  4],[72.95041322 18.04958678] ; [24.04958678  5.95041322],0
s1,1,0.370419,0.802257,[ 5 85] ; [ 3 26],[ 6.05042017 83.94957983] ; [ 1.94957983 27.05042017],0
a4,1,0.413783,0.667904,[18 72] ; [ 4 26],[16.5 73.5] ; [ 5.5 24.5],0
n2,1,0.426451,0.632471,[19 11] ; [6 6],[17.85714286 12.14285714] ; [7.14285714 4.85714286],0
n6,1,0.435994,0.606804,[63 28] ; [23  7],[64.67768595 26.32231405] ; [21.32231405  8.67768595],0
a3,1,0.452901,0.56338,[35 55] ; [14 16],[36.75 53.25] ; [12.25 17.75],0
p9,1,0.47131,0.518902,[58 31] ; [21  8],[59.58474576 29.41525424] ; [19.41525424  9.58474576],0
v1,1,0.47399,0.512658,[27 64] ; [11 19],[28.5785124 62.4214876] ; [ 9.4214876 20.5785124],0
d2,1,0.527996,0.398248,[19 71] ; [ 8 22],[20.25 69.75] ; [ 6.75 23.25],0
v2,1,0.596931,0.279649,[27 56] ; [11 18],[28.16071429 54.83928571] ; [ 9.83928571 19.16071429],0
n5,1,0.628423,0.234205,[50 41] ; [18 12],[51.14049587 39.85950413] ; [16.85950413 13.14049587],0
n4,1,0.632982,0.228039,[47 44] ; [17 13],[48.1322314 42.8677686] ; [15.8677686 14.1322314],0
r3,1,0.687905,0.161363,[72 18] ; [25  5],[72.75 17.25] ; [24.25  5.75],0
r2,1,0.70623,0.142071,[73 18] ; [25  5],[73.70247934 17.29752066] ; [24.29752066  5.70247934],0
b5,1,0.710433,0.137845,[61 30] ; [19 11],[60.16528926 30.83471074] ; [19.83471074 10.16528926],0
p8,1,0.743532,0.107046,[18 72] ; [ 5 24],[17.39495798 72.60504202] ; [ 5.60504202 23.39495798],0
b2,1,0.794214,0.068039,[15 25] ; [ 7 10],[15.43859649 24.56140351] ; [ 6.56140351 10.43859649],0
b3,1,0.794214,0.068039,[15 25] ; [ 7 10],[15.43859649 24.56140351] ; [ 6.56140351 10.43859649],0
b4,1,0.795252,0.067338,[60 31] ; [19 11],[59.41322314 31.58677686] ; [19.58677686 10.41322314],0
n1,1,0.858812,0.031644,[12 19] ; [5 7],[12.25581395 18.74418605] ; [4.74418605 7.25581395],0
b1,1,0.880818,0.02248,[35 56] ; [12 18],[35.34710744 55.65289256] ; [11.65289256 18.34710744],0
u2,1,0.915138,0.011355,[27 29] ; [7 8],[26.81690141 29.18309859] ; [7.18309859 7.81690141],0
