Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,135.111111,[265  35] ; [20 60],[225.  75.] ; [60. 20.],1
p2,1,0.0,25.648371,[261  40] ; [51 31],[245.20104439  55.79895561] ; [66.79895561 15.20104439],1
p11,1,1e-06,24.309389,[240  62] ; [43 39],[222.56770833  79.43229167] ; [60.43229167 21.56770833],1
s8,1,8.4e-05,15.458682,[132 170] ; [16 65],[116.6997389 185.3002611] ; [31.3002611 49.6997389],1
p8,1,0.000271,13.261165,[160 141] ; [25 57],[145.39164491 155.60835509] ; [39.60835509 42.39164491],1
s6,1,0.000539,11.976012,[204  92] ; [39 42],[190.79045093 105.20954907] ; [52.20954907 28.79045093],1
s2,1,0.001055,10.728175,[154 146] ; [25 56],[140.94488189 159.05511811] ; [38.05511811 42.94488189],0
s7,1,0.002132,9.432643,[140 151] ; [22 55],[128.10326087 162.89673913] ; [33.89673913 43.10326087],0
n5,1,0.002166,9.403398,[224  76] ; [47 35],[212.82722513  87.17277487] ; [58.17277487 23.82722513],0
p4,1,0.0024,9.21519,[183 118] ; [34 47],[170.98691099 130.01308901] ; [46.01308901 34.98691099],0
s5,1,0.002541,9.110838,[101 189] ; [14 67],[ 89.89218329 200.10781671] ; [25.10781671 55.89218329],0
n6,1,0.002819,8.920793,[254  48] ; [57 25],[244.58854167  57.41145833] ; [66.41145833 15.58854167],0
v1,1,0.003391,8.583922,[124 170] ; [20 62],[112.59574468 181.40425532] ; [31.40425532 50.59574468],0
b1,1,0.004027,8.271622,[116 186] ; [46 36],[127.40625 174.59375] ; [34.59375 47.40625],0
p6,1,0.006764,7.334468,[114 186] ; [18 64],[103.66492147 196.33507853] ; [28.33507853 53.66492147],0
p3,1,0.00861,6.901891,[142 159] ; [25 56],[131.58900524 169.41099476] ; [35.41099476 45.58900524],0
d4,1,0.010804,6.497285,[238  62] ; [54 28],[229.31937173  70.68062827] ; [62.68062827 19.31937173],0
d3,1,0.021838,5.258613,[198 101] ; [43 39],[189.1312336 109.8687664] ; [51.8687664 30.1312336],0
p7,1,0.029653,4.729304,[177 116] ; [38 43],[168.43582888 124.56417112] ; [46.56417112 34.43582888],0
d1,1,0.040795,4.184496,[160 142] ; [33 49],[151.78645833 150.21354167] ; [41.21354167 40.78645833],0
n4,1,0.041945,4.137407,[225  76] ; [52 30],[217.69451697  83.30548303] ; [59.30548303 22.69451697],0
r4,1,0.047107,3.941565,[271  31] ; [67 15],[265.82291667  36.17708333] ; [72.17708333  9.82291667],0
p5,1,0.051369,3.796201,[ 37 261] ; [ 4 78],[ 32.15263158 265.84736842] ; [ 8.84736842 73.15263158],0
b5,1,0.058453,3.580745,[193 109] ; [43 39],[185.60416667 116.39583333] ; [50.39583333 31.60416667],0
b2,1,0.076483,3.138095,[ 65 110] ; [13 41],[ 59.6069869 115.3930131] ; [18.3930131 35.6069869],0
b3,1,0.076483,3.138095,[ 65 110] ; [13 41],[ 59.6069869 115.3930131] ; [18.3930131 35.6069869],0
p12,1,0.081185,3.041013,[ 18 283] ; [ 1 80],[ 14.97120419 286.02879581] ; [ 4.02879581 76.97120419],0
r3,1,0.097243,2.750196,[281  20] ; [72 10],[277.4229765  23.5770235] ; [75.5770235  6.4229765],0
a3,1,0.102309,2.669175,[197 102] ; [46 36],[190.7007874 108.2992126] ; [52.2992126 29.7007874],0
d2,1,0.122238,2.388411,[125 175] ; [42 40],[131.15183246 168.84816754] ; [35.84816754 46.15183246],0
s3,1,0.140431,2.173228,[169 129] ; [39 43],[163.11578947 134.88421053] ; [44.88421053 37.11578947],0
a6,1,0.183677,1.767618,[193 108] ; [46 36],[187.83028721 113.16971279] ; [51.16971279 30.83028721],0
a5,1,0.207042,1.591988,[203  99] ; [49 33],[198.1875 103.8125] ; [53.8125 28.1875],0
a8,1,0.234729,1.411973,[ 35 244] ; [ 6 72],[ 32.04201681 246.95798319] ; [ 8.95798319 69.04201681],0
s1,1,0.265452,1.240099,[ 13 285] ; [ 6 75],[ 14.93931398 283.06068602] ; [ 4.06068602 76.93931398],0
a7,1,0.313474,1.01598,[205  96] ; [51 31],[201.19060052  99.80939948] ; [54.80939948 27.19060052],0
v3,1,0.314596,1.011282,[ 52 244] ; [18 62],[ 55.10638298 240.89361702] ; [14.89361702 65.10638298],0
u3,1,0.323011,0.976714,[59 44] ; [24 12],[61.50359712 41.49640288] ; [21.49640288 14.50359712],0
r2,1,0.346519,0.886165,[282  17] ; [75  7],[280.16535433  18.83464567] ; [76.83464567  5.16535433],0
a4,1,0.367232,0.813011,[132 169] ; [31 50],[128.43717277 172.56282723] ; [34.56282723 46.43717277],0
a2,1,0.48599,0.485393,[ 62 240] ; [14 68],[ 59.77083333 242.22916667] ; [16.22916667 65.77083333],0
n3,1,0.509275,0.435557,[53 24] ; [18 11],[51.5754717 25.4245283] ; [19.4245283  9.5754717],0
n2,1,0.548557,0.359909,[58 20] ; [22 10],[56.72727273 21.27272727] ; [23.27272727  8.72727273],0
r1,1,0.604459,0.268323,[219  82] ; [62 20],[220.8381201  80.1618799] ; [60.1618799 21.8381201],0
u2,1,0.608267,0.262707,[60 44] ; [19 17],[58.68571429 45.31428571] ; [20.31428571 15.68571429],0
a1,1,0.608529,0.262323,[ 11 291] ; [ 4 78],[ 11.796875 290.203125] ; [ 3.203125 78.796875],0
p1,1,0.662394,0.190628,[ 27 275] ; [ 6 75],[ 26.02088773 275.97911227] ; [ 6.97911227 74.02088773],0
d5,1,0.700716,0.147728,[225  74] ; [60 22],[223.66141732  75.33858268] ; [61.33858268 20.66141732],0
n1,1,0.785184,0.074294,[32 45] ; [12 19],[31.37037037 45.62962963] ; [12.62962963 18.37037037],0
s4,1,0.823652,0.049662,[ 63 235] ; [16 64],[ 62.28042328 235.71957672] ; [16.71957672 63.28042328],0
u1,1,0.908683,0.013156,[ 42 260] ; [11 71],[ 41.68229167 260.31770833] ; [11.31770833 70.68229167],0
b4,1,0.939632,0.005735,[168 134] ; [46 36],[168.30208333 133.69791667] ; [45.69791667 36.30208333],0
