Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,23.621128,[13 28] ; [50 13],[24.83653846 16.16346154] ; [38.16346154 24.83653846],1
s6,1,2.8e-05,17.521849,[23 18] ; [55  5],[31.66336634  9.33663366] ; [46.33663366 13.66336634],1
s8,1,0.000122,14.759904,[ 9 32] ; [38 25],[18.52884615 22.47115385] ; [28.47115385 34.52884615],1
s5,1,0.001535,10.035959,[ 8 32] ; [30 28],[15.51020408 24.48979592] ; [22.48979592 35.51020408],0
s7,1,0.002837,8.90965,[16 25] ; [37 16],[23.11702128 17.88297872] ; [29.88297872 23.11702128],0
p9,1,0.003468,8.543105,[22 19] ; [50 12],[28.66019417 12.33980583] ; [43.33980583 18.66019417],0
n3,1,0.022183,5.231398,[6 8] ; [14  3],[9.03225806 4.96774194] ; [10.96774194  6.03225806],0
d3,1,0.046202,3.97421,[26 15] ; [51 12],[30.35576923 10.64423077] ; [46.64423077 16.35576923],0
p10,1,0.053788,3.719257,[19 22] ; [40 21],[23.71568627 17.28431373] ; [35.28431373 25.71568627],0
d2,1,0.070932,3.261324,[16 25] ; [36 27],[20.5 20.5] ; [31.5 31.5],0
p1,1,0.081482,3.035087,[ 2 39] ; [10 52],[ 4.77669903 36.22330097] ; [ 7.22330097 54.77669903],0
v2,1,0.09782,2.740726,[16 25] ; [34 27],[20.09803922 20.90196078] ; [29.90196078 31.09803922],0
d1,1,0.1008,2.692845,[18 23] ; [38 25],[22.07692308 18.92307692] ; [33.92307692 29.07692308],0
u1,1,0.101228,2.686088,[ 5 36] ; [16 47],[ 8.27884615 32.72115385] ; [12.72115385 50.27884615],0
a3,1,0.108159,2.580912,[21 19] ; [43 20],[24.85436893 15.14563107] ; [39.14563107 23.85436893],0
a6,1,0.118367,2.438795,[19 22] ; [39 24],[22.86538462 18.13461538] ; [35.13461538 27.86538462],0
n2,1,0.125294,2.349866,[7 7] ; [13  4],[9.03225806 4.96774194] ; [10.96774194  6.03225806],0
u2,1,0.1517,2.055075,[ 7 13] ; [11  8],[ 9.23076923 10.76923077] ; [ 8.76923077 10.23076923],0
v4,1,0.154094,2.031252,[34  7] ; [58  5],[36.26923077  4.73076923] ; [55.73076923  7.26923077],0
n6,1,0.169144,1.890511,[29 12] ; [51 11],[31.84466019  9.15533981] ; [48.15533981 13.84466019],0
r3,1,0.16977,1.884974,[35  6] ; [58  4],[37.01941748  3.98058252] ; [55.98058252  6.01941748],0
r2,1,0.16977,1.884974,[35  6] ; [58  4],[37.01941748  3.98058252] ; [55.98058252  6.01941748],0
n4,1,0.169834,1.884412,[23 18] ; [43 19],[26.27184466 14.72815534] ; [39.72815534 22.27184466],0
a2,1,0.179922,1.798269,[ 7 34] ; [18 45],[ 9.85576923 31.14423077] ; [15.14423077 47.85576923],0
v3,1,0.194123,1.686049,[11 28] ; [25 36],[14.04 24.96] ; [21.96 39.04],0
a5,1,0.19732,1.662101,[25 16] ; [46 17],[27.99038462 13.00961538] ; [43.00961538 19.99038462],0
b4,1,0.215537,1.533838,[19 22] ; [37 26],[22.07692308 18.92307692] ; [33.92307692 29.07692308],0
r4,1,0.233372,1.420192,[33  8] ; [56  7],[35.08653846  5.91346154] ; [53.91346154  9.08653846],0
d5,1,0.252923,1.307083,[30 11] ; [52 11],[32.32692308  8.67307692] ; [49.67307692 13.32692308],0
p2,1,0.281473,1.159965,[31 10] ; [53 10],[33.11538462  7.88461538] ; [50.88461538 12.11538462],0
p6,1,0.295579,1.094035,[14 27] ; [28 35],[16.55769231 24.44230769] ; [25.44230769 37.55769231],0
a4,1,0.307925,1.039556,[16 25] ; [31 32],[18.52884615 22.47115385] ; [28.47115385 34.52884615],0
v1,1,0.31268,1.019322,[17 24] ; [32 30],[19.50485437 21.49514563] ; [29.49514563 32.50485437],0
