Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,9.3e-05,15.271488,[21  2] ; [2 7],[16.53125  6.46875] ; [6.46875 2.53125],1
n3,1,0.035774,4.407857,[9 3] ; [1 4],[7.05882353 4.94117647] ; [2.94117647 2.05882353],0
s2,1,0.043615,4.071394,[11 11] ; [1 8],[ 8.51612903 13.48387097] ; [3.48387097 5.51612903],0
d3,1,0.064794,3.410218,[13 11] ; [8 1],[15.27272727  8.72727273] ; [5.72727273 3.27272727],0
r3,1,0.074294,3.185509,[15  7] ; [3 6],[12.77419355  9.22580645] ; [5.22580645 3.77419355],0
s1,1,0.108089,2.581944,[ 1 23] ; [2 7],[ 2.18181818 21.81818182] ; [0.81818182 8.18181818],0
s8,1,0.124178,2.363812,[ 9 14] ; [1 8],[ 7.1875 15.8125] ; [2.8125 6.1875],0
a7,1,0.124634,2.358101,[11 12] ; [7 2],[12.9375 10.0625] ; [5.0625 3.9375],0
p11,1,0.133975,2.245833,[15  9] ; [3 6],[13.09090909 10.90909091] ; [4.90909091 4.09090909],0
n2,1,0.168843,1.893182,[9 3] ; [2 3],[7.76470588 4.23529412] ; [3.23529412 1.76470588],0
r2,1,0.199,1.6497,[18  5] ; [5 4],[16.53125  6.46875] ; [6.46875 2.53125],0
p7,1,0.228041,1.453039,[10 12] ; [2 7],[ 8.51612903 13.48387097] ; [3.48387097 5.51612903],0
v1,1,0.238185,1.391304,[10 13] ; [6 3],[11.5 11.5] ; [4.5 4.5],0
a5,1,0.244607,1.353846,[16  8] ; [4 5],[14.54545455  9.45454545] ; [5.45454545 3.54545455],0
p6,1,0.256372,1.288245,[ 7 16] ; [1 8],[ 5.75 17.25] ; [2.25 6.75],0
d2,1,0.282041,1.15723,[15  8] ; [4 5],[13.65625  9.34375] ; [5.34375 3.65625],0
n6,1,0.313787,1.014668,[17  6] ; [5 4],[15.8125  7.1875] ; [6.1875 2.8125],0
b5,1,0.391805,0.733333,[12 12] ; [6 3],[13.09090909 10.90909091] ; [4.90909091 4.09090909],0
a4,1,0.391805,0.733333,[12 12] ; [3 6],[10.90909091 13.09090909] ; [4.09090909 4.90909091],0
s3,1,0.398025,0.714286,[ 8 13] ; [2 7],[ 7. 14.] ; [3. 6.],0
p3,1,0.444549,0.584512,[ 8 14] ; [2 7],[ 7.09677419 14.90322581] ; [2.90322581 6.09677419],0
p9,1,0.453129,0.562812,[16  7] ; [5 4],[15.09375  7.90625] ; [5.90625 3.09375],0
s4,1,0.456511,0.554435,[ 1 23] ; [1 8],[ 1.45454545 22.54545455] ; [0.54545455 8.45454545],0
u1,1,0.456511,0.554435,[ 1 23] ; [1 8],[ 1.45454545 22.54545455] ; [0.54545455 8.45454545],0
p2,1,0.456996,0.553243,[13  9] ; [4 5],[12.06451613  9.93548387] ; [4.93548387 4.06451613],0
s6,1,0.456996,0.553243,[ 9 13] ; [5 4],[ 9.93548387 12.06451613] ; [4.06451613 4.93548387],0
p12,1,0.477315,0.504992,[ 1 22] ; [1 8],[ 1.4375 21.5625] ; [0.5625 8.4375],0
b1,1,0.517585,0.418703,[11 13] ; [3 6],[10.18181818 13.81818182] ; [3.81818182 5.18181818],0
a6,1,0.517585,0.418703,[13 11] ; [6 3],[13.81818182 10.18181818] ; [5.18181818 3.81818182],0
p1,1,0.518992,0.415895,[ 5 19] ; [1 8],[ 4.36363636 19.63636364] ; [1.63636364 7.36363636],0
s7,1,0.555086,0.348284,[ 9 11] ; [3 6],[ 8.27586207 11.72413793] ; [3.72413793 5.27586207],0
r1,1,0.59933,0.276008,[10 13] ; [3 6],[ 9.34375 13.65625] ; [3.65625 5.34375],0
b3,1,0.59969,0.275463,[7 7] ; [2 1],[7.41176471 6.58823529] ; [1.58823529 1.41176471],0
b2,1,0.59969,0.275463,[7 7] ; [2 1],[7.41176471 6.58823529] ; [1.58823529 1.41176471],0
a2,1,0.632142,0.229167,[ 6 18] ; [3 6],[ 6.54545455 17.45454545] ; [2.45454545 6.54545455],0
d4,1,0.66,0.193523,[19  4] ; [8 1],[19.40625  3.59375] ; [7.59375 1.40625],0
b4,1,0.662597,0.190385,[14 10] ; [6 3],[14.54545455  9.45454545] ; [5.45454545 3.54545455],0
d5,1,0.71249,0.135802,[20  4] ; [7 2],[19.63636364  4.36363636] ; [7.36363636 1.63636364],0
a3,1,0.71249,0.135802,[20  4] ; [7 2],[19.63636364  4.36363636] ; [7.36363636 1.63636364],0
v2,1,0.760705,0.092754,[14  9] ; [6 3],[14.375  8.625] ; [5.625 3.375],0
p5,1,0.83307,0.044422,[ 2 21] ; [1 8],[ 2.15625 20.84375] ; [0.84375 8.15625],0
p10,1,0.856315,0.032785,[13  9] ; [5 4],[12.77419355  9.22580645] ; [5.22580645 3.77419355],0
p8,1,0.873631,0.025296,[ 7 16] ; [3 6],[ 7.1875 15.8125] ; [2.8125 6.1875],0
s5,1,0.881863,0.022084,[ 3 20] ; [1 8],[ 2.875 20.125] ; [1.125 7.875],0
d1,1,0.885663,0.020677,[14 10] ; [5 4],[13.81818182 10.18181818] ; [5.18181818 3.81818182],0
p4,1,0.934715,0.00671,[ 7 15] ; [3 6],[ 7.09677419 14.90322581] ; [2.90322581 6.09677419],0
v4,1,0.934715,0.00671,[15  7] ; [6 3],[14.90322581  7.09677419] ; [6.09677419 2.90322581],0
u3,1,1.0,0.0,[2 2] ; [1 1],[2. 2.] ; [1. 1.],0
