Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,1e-06,24.352957,[25  2] ; [ 6 18],[16.41176471 10.58823529] ; [14.58823529  9.41176471],1
d3,1,0.000116,14.859019,[23  5] ; [ 7 17],[16.15384615 11.84615385] ; [13.84615385 10.15384615],1
d5,1,0.003223,8.676984,[26  2] ; [14 10],[21.53846154  6.46153846] ; [18.46153846  5.53846154],0
a4,1,0.004142,8.220395,[15 12] ; [ 4 20],[10.05882353 16.94117647] ; [ 8.94117647 15.05882353],0
a3,1,0.029329,4.748181,[23  5] ; [13 11],[19.38461538  8.61538462] ; [16.61538462  7.38461538],0
r2,1,0.062465,3.470693,[18  7] ; [11 13],[14.79591837 10.20408163] ; [14.20408163  9.79591837],0
p7,1,0.115433,2.478214,[ 7 21] ; [11 13],[ 9.69230769 18.30769231] ; [ 8.30769231 15.69230769],0
a2,1,0.123448,2.373016,[ 5 23] ; [ 1 23],[ 3.23076923 24.76923077] ; [ 2.76923077 21.23076923],0
s4,1,0.123448,2.373016,[ 5 23] ; [ 1 23],[ 3.23076923 24.76923077] ; [ 2.76923077 21.23076923],0
v2,1,0.142962,2.145784,[15 13] ; [ 8 16],[12.38461538 15.61538462] ; [10.61538462 13.38461538],0
p11,1,0.181681,1.783822,[18 10] ; [11 13],[15.61538462 12.38461538] ; [13.38461538 10.61538462],0
p2,1,0.219787,1.505758,[10 17] ; [13 11],[12.17647059 14.82352941] ; [10.82352941 13.17647059],0
s3,1,0.225564,1.46862,[14 13] ; [ 8 15],[11.88 15.12] ; [10.12 12.88],0
p8,1,0.225616,1.468286,[ 5 22] ; [ 8 16],[ 6.88235294 20.11764706] ; [ 6.11764706 17.88235294],0
v1,1,0.232014,1.428472,[ 6 21] ; [ 9 15],[ 7.94117647 19.05882353] ; [ 7.05882353 16.94117647],0
r1,1,0.265838,1.238095,[12 16] ; [14 10],[14. 14.] ; [12. 12.],0
s5,1,0.276014,1.18661,[ 8 19] ; [ 4 20],[ 6.35294118 20.64705882] ; [ 5.64705882 18.35294118],0
n1,1,0.30797,1.039361,[6 7] ; [1 4],[5.05555556 7.94444444] ; [1.94444444 3.05555556],0
n4,1,0.322409,0.979147,[20  8] ; [14 10],[18.30769231  9.69230769] ; [15.69230769  8.30769231],0
s8,1,0.328424,0.955102,[ 4 24] ; [ 6 18],[ 5.38461538 22.61538462] ; [ 4.61538462 19.38461538],0
