Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,4.6e-05,16.605225,[7 2] ; [ 6 38],[2.20754717 6.79245283] ; [10.79245283 33.20754717],1
d1,1,0.001261,10.39847,[6 3] ; [ 7 37],[2.20754717 6.79245283] ; [10.79245283 33.20754717],0
s7,1,0.001478,10.105263,[5 3] ; [ 5 35],[1.66666667 6.33333333] ; [ 8.33333333 31.66666667],0
u3,1,0.005943,7.567547,[3 1] ; [ 3 20],[0.88888889 3.11111111] ; [ 5.11111111 17.88888889],0
d3,1,0.008704,6.882572,[8 1] ; [18 26],[4.41509434 4.58490566] ; [21.58490566 22.41509434],0
s6,1,0.010214,6.597117,[7 2] ; [14 30],[3.56603774 5.43396226] ; [17.43396226 26.56603774],0
p10,1,0.032946,4.548571,[7 1] ; [20 23],[4.23529412 3.76470588] ; [22.76470588 20.23529412],0
v2,1,0.039008,4.260524,[6 3] ; [13 30],[3.28846154 5.71153846] ; [15.71153846 27.28846154],0
d5,1,0.043508,4.07557,[7 2] ; [18 26],[4.24528302 4.75471698] ; [20.75471698 23.24528302],0
p4,1,0.046368,3.968191,[5 4] ; [10 34],[2.54716981 6.45283019] ; [12.45283019 31.54716981],0
v1,1,0.046368,3.968191,[5 4] ; [10 34],[2.54716981 6.45283019] ; [12.45283019 31.54716981],0
p11,1,0.054945,3.683742,[8 1] ; [24 20],[5.43396226 3.56603774] ; [26.56603774 17.43396226],0
p9,1,0.065104,3.402338,[7 1] ; [22 20],[4.64 3.36] ; [24.36 17.64],0
a2,1,0.06737,3.34596,[2 7] ; [ 2 42],[0.67924528 8.32075472] ; [ 3.32075472 40.67924528],0
a6,1,0.06868,3.314292,[6 3] ; [15 29],[3.56603774 5.43396226] ; [17.43396226 26.56603774],0
d2,1,0.068859,3.310013,[5 4] ; [11 33],[2.71698113 6.28301887] ; [13.28301887 30.71698113],0
r4,1,0.086289,2.942268,[4 5] ; [ 8 36],[2.03773585 6.96226415] ; [ 9.96226415 34.03773585],0
n4,1,0.099874,2.707551,[7 2] ; [21 23],[4.75471698 4.24528302] ; [23.24528302 20.75471698],0
p2,1,0.197467,1.661009,[7 2] ; [24 20],[5.26415094 3.73584906] ; [25.73584906 18.26415094],0
s5,1,0.257281,1.28333,[2 7] ; [ 4 40],[1.01886792 7.98113208] ; [ 4.98113208 39.01886792],0
p6,1,0.269932,1.217092,[2 7] ; [ 4 39],[1.03846154 7.96153846] ; [ 4.96153846 38.03846154],0
b1,1,0.347945,0.880939,[4 5] ; [27 17],[5.26415094 3.73584906] ; [25.73584906 18.26415094],0
a7,1,0.361448,0.832857,[6 3] ; [22 22],[4.75471698 4.24528302] ; [23.24528302 20.75471698],0
n3,1,0.372929,0.793882,[2 3] ; [13  8],[2.88461538 2.11538462] ; [12.11538462  8.88461538],0
r3,1,0.390116,0.738579,[7 2] ; [27 16],[5.88461538 3.11538462] ; [28.11538462 14.88461538],0
p1,1,0.437373,0.603165,[1 8] ; [ 2 42],[0.50943396 8.49056604] ; [ 2.49056604 41.50943396],0
p12,1,0.437373,0.603165,[1 8] ; [ 2 42],[0.50943396 8.49056604] ; [ 2.49056604 41.50943396],0
p5,1,0.449748,0.571288,[1 8] ; [ 2 41],[0.51923077 8.48076923] ; [ 2.48076923 40.51923077],0
n6,1,0.469153,0.523971,[6 3] ; [23 20],[5.01923077 3.98076923] ; [23.98076923 19.01923077],0
b4,1,0.487028,0.483087,[7 2] ; [29 15],[6.11320755 2.88679245] ; [29.88679245 14.11320755],0
u2,1,0.487561,0.481905,[3 1] ; [13 10],[2.37037037 1.62962963] ; [13.62962963  9.37037037],0
a5,1,0.496829,0.461704,[5 4] ; [19 25],[4.0754717 4.9245283] ; [19.9245283 24.0754717],0
a4,1,0.500432,0.454021,[3 6] ; [10 34],[2.20754717 6.79245283] ; [10.79245283 33.20754717],0
r1,1,0.555094,0.34827,[4 5] ; [15 29],[3.22641509 5.77358491] ; [15.77358491 28.22641509],0
b3,1,0.568855,0.324601,[1 5] ; [ 7 18],[1.5483871 4.4516129] ; [ 6.4516129 18.5483871],0
b2,1,0.568855,0.324601,[1 5] ; [ 7 18],[1.5483871 4.4516129] ; [ 6.4516129 18.5483871],0
n2,1,0.618757,0.247619,[2 3] ; [11 10],[2.5 2.5] ; [10.5 10.5],0
p8,1,0.633524,0.227312,[3 6] ; [11 32],[2.42307692 6.57692308] ; [11.57692308 31.42307692],0
s2,1,0.652632,0.202597,[2 6] ; [ 8 36],[1.53846154 6.46153846] ; [ 8.46153846 35.53846154],0
s1,1,0.656874,0.197343,[1 8] ; [ 3 41],[0.67924528 8.32075472] ; [ 3.32075472 40.67924528],0
n5,1,0.67202,0.179248,[6 3] ; [26 18],[5.43396226 3.56603774] ; [26.56603774 17.43396226],0
a3,1,0.713947,0.134367,[5 4] ; [21 22],[4.5 4.5] ; [21.5 21.5],0
s3,1,0.79719,0.066041,[2 6] ; [ 9 34],[1.7254902 6.2745098] ; [ 9.2745098 33.7254902],0
b5,1,0.844515,0.038464,[5 4] ; [26 18],[5.26415094 3.73584906] ; [25.73584906 18.26415094],0
n1,1,0.855816,0.033016,[1 4] ; [ 5 16],[1.15384615 3.84615385] ; [ 4.84615385 16.15384615],0
v4,1,0.857344,0.032312,[5 4] ; [23 21],[4.75471698 4.24528302] ; [23.24528302 20.75471698],0
p7,1,0.862868,0.029834,[3 6] ; [16 28],[3.22641509 5.77358491] ; [15.77358491 28.22641509],0
a8,1,0.877159,0.023892,[1 6] ; [ 5 36],[0.875 6.125] ; [ 5.125 35.875],0
