Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.4e-05,18.917393,[ 5 20] ; [23  6],[12.96296296 12.03703704] ; [15.03703704 13.96296296],1
p2,1,2.8e-05,17.551998,[10 15] ; [27  2],[17.12962963  7.87037037] ; [19.87037037  9.12962963],1
p6,1,0.000168,14.162365,[ 3 22] ; [18 11],[ 9.72222222 15.27777778] ; [11.27777778 17.72222222],1
p10,1,0.00104,10.754788,[13 11] ; [27  2],[18.11320755  5.88679245] ; [21.88679245  7.11320755],0
p3,1,0.001239,10.431395,[ 9 16] ; [23  6],[14.81481481 10.18518519] ; [17.18518519 11.81481481],0
v4,1,0.009231,6.77751,[17  7] ; [28  1],[20.37735849  3.62264151] ; [24.62264151  4.37735849],0
r3,1,0.01133,6.412804,[18  7] ; [28  1],[21.2962963  3.7037037] ; [24.7037037  4.2962963],0
n5,1,0.015239,5.888638,[13 12] ; [24  5],[17.12962963  7.87037037] ; [19.87037037  9.12962963],0
b5,1,0.015239,5.888638,[12 13] ; [ 5 24],[ 7.87037037 17.12962963] ; [ 9.12962963 19.87037037],0
p9,1,0.021959,5.249011,[14 10] ; [25  4],[17.66037736  6.33962264] ; [21.33962264  7.66037736],0
n6,1,0.062631,3.466313,[15 10] ; [24  5],[18.05555556  6.94444444] ; [20.94444444  8.05555556],0
p11,1,0.062631,3.466313,[15 10] ; [24  5],[18.05555556  6.94444444] ; [20.94444444  8.05555556],0
n2,1,0.080824,3.048259,[8 6] ; [9 1],[9.91666667 4.08333333] ; [7.08333333 2.91666667],0
s8,1,0.087503,2.919724,[ 8 17] ; [16 13],[11.11111111 13.88888889] ; [12.88888889 16.11111111],0
s5,1,0.0997,2.710333,[10 13] ; [18  9],[12.88 10.12] ; [15.12 11.88],0
s6,1,0.105011,2.627744,[17  7] ; [24  3],[19.29411765  4.70588235] ; [21.70588235  5.29411765],0
r4,1,0.108566,2.574975,[17  8] ; [25  4],[19.44444444  5.55555556] ; [22.55555556  6.44444444],0
d5,1,0.116774,2.460059,[16  9] ; [24  5],[18.51851852  6.48148148] ; [21.48148148  7.51851852],0
s7,1,0.129621,2.297035,[12 10] ; [21  7],[14.52  7.48] ; [18.48  9.52],0
b1,1,0.172386,1.862069,[10 15] ; [17 12],[12.5 12.5] ; [14.5 14.5],0
r1,1,0.210784,1.566033,[15 10] ; [22  7],[17.12962963  7.87037037] ; [19.87037037  9.12962963],0
n4,1,0.210784,1.566033,[15 10] ; [22  7],[17.12962963  7.87037037] ; [19.87037037  9.12962963],0
n1,1,0.239113,1.385814,[5 9] ; [6 4],[6.41666667 7.58333333] ; [4.58333333 5.41666667],0
s2,1,0.40037,0.707215,[13 11] ; [19 10],[14.49056604  9.50943396] ; [17.50943396 11.49056604],0
d1,1,0.412931,0.670345,[11 14] ; [16 13],[12.5 12.5] ; [14.5 14.5],0
b2,1,0.436074,0.606591,[ 4 11] ; [ 3 16],[ 3.08823529 11.91176471] ; [ 3.91176471 15.08823529],0
b3,1,0.436074,0.606591,[ 4 11] ; [ 3 16],[ 3.08823529 11.91176471] ; [ 3.91176471 15.08823529],0
d3,1,0.455598,0.556688,[13 12] ; [18 11],[14.35185185 10.64814815] ; [16.64814815 12.35185185],0
a2,1,0.466547,0.530142,[ 2 23] ; [ 1 28],[ 1.38888889 23.61111111] ; [ 1.61111111 27.38888889],0
a1,1,0.466547,0.530142,[ 2 23] ; [ 1 28],[ 1.38888889 23.61111111] ; [ 1.61111111 27.38888889],0
a3,1,0.476665,0.506483,[17  8] ; [17 12],[15.74074074  9.25925926] ; [18.25925926 10.74074074],0
p1,1,0.588773,0.292264,[ 3 22] ; [ 5 24],[ 3.7037037 21.2962963] ; [ 4.2962963 24.7037037],0
b4,1,0.598905,0.27665,[13 12] ; [13 16],[12.03703704 12.96296296] ; [13.96296296 15.03703704],0
v2,1,0.615824,0.251781,[ 7 17] ; [10 18],[ 7.84615385 16.15384615] ; [ 9.15384615 18.84615385],0
a4,1,0.625404,0.238345,[12 13] ; [12 17],[11.11111111 13.88888889] ; [12.88888889 16.11111111],0
r2,1,0.631263,0.230352,[21  3] ; [24  5],[20.37735849  3.62264151] ; [24.62264151  4.37735849],0
s3,1,0.650072,0.205809,[16  8] ; [21  8],[16.75471698  7.24528302] ; [20.24528302  8.75471698],0
a5,1,0.685977,0.163475,[16  9] ; [17 12],[15.27777778  9.72222222] ; [17.72222222 11.27777778],0
v1,1,0.720548,0.127968,[10 15] ; [13 16],[10.64814815 14.35185185] ; [12.35185185 16.64814815],0
