Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.005535,7.695688,[69 18] ; [8 9],[64.41346154 22.58653846] ; [12.58653846  4.41346154],0
s7,1,0.006521,7.400462,[36 50] ; [ 1 15],[31.19607843 54.80392157] ; [ 5.80392157 10.19607843],0
s8,1,0.008062,7.019578,[34 53] ; [ 1 16],[29.27884615 57.72115385] ; [ 5.72115385 11.27884615],0
s3,1,0.011241,6.42682,[44 42] ; [ 3 14],[39.24271845 46.75728155] ; [7.75728155 9.24271845],0
v4,1,0.017075,5.688667,[82  5] ; [13  4],[79.47115385  7.52884615] ; [15.52884615  1.47115385],0
r3,1,0.049523,3.857536,[83  4] ; [14  3],[81.14423077  5.85576923] ; [15.85576923  1.14423077],0
b1,1,0.053132,3.739748,[31 56] ; [ 2 15],[27.60576923 59.39423077] ; [ 5.39423077 11.60576923],0
p7,1,0.064347,3.421634,[67 17] ; [10  7],[64.03960396 19.96039604] ; [12.96039604  4.03960396],0
b4,1,0.090253,2.869851,[55 32] ; [ 7 10],[51.86538462 35.13461538] ; [10.13461538  6.86538462],0
d2,1,0.091351,2.850409,[34 53] ; [ 3 14],[30.95192308 56.04807692] ; [ 6.04807692 10.95192308],0
p9,1,0.092165,2.836151,[68 19] ; [10  7],[65.25 21.75] ; [12.75  4.25],0
a4,1,0.105126,2.626005,[27 60] ; [ 2 15],[24.25961538 62.74038462] ; [ 4.74038462 12.25961538],0
n3,1,0.111824,2.528259,[17  5] ; [1 2],[15.84  6.16] ; [2.16 0.84],0
a3,1,0.156995,2.002931,[52 35] ; [ 7 10],[49.35576923 37.64423077] ; [9.64423077 7.35576923],0
n6,1,0.160743,1.967221,[56 30] ; [8 9],[53.4368932 32.5631068] ; [10.5631068  6.4368932],0
d5,1,0.191151,1.708722,[69 18] ; [11  6],[66.92307692 20.07692308] ; [13.07692308  3.92307692],0
p10,1,0.191428,1.706592,[64 22] ; [10  7],[61.78640777 24.21359223] ; [12.21359223  4.78640777],0
n4,1,0.193296,1.692315,[35 52] ; [ 4 13],[32.625 54.375] ; [ 6.375 10.625],0
b3,1,0.206165,1.598152,[ 9 41] ; [3 5],[10.34482759 39.65517241] ; [1.65517241 6.34482759],0
b2,1,0.206165,1.598152,[ 9 41] ; [3 5],[10.34482759 39.65517241] ; [1.65517241 6.34482759],0
r4,1,0.242617,1.365324,[76 11] ; [13  4],[74.45192308 12.54807692] ; [14.54807692  2.45192308],0
s1,1,0.246384,1.343691,[ 4 83] ; [ 2 15],[ 5.01923077 81.98076923] ; [ 0.98076923 16.01923077],0
a7,1,0.283858,1.148524,[67 20] ; [11  6],[65.25 21.75] ; [12.75  4.25],0
r1,1,0.283858,1.148524,[67 20] ; [11  6],[65.25 21.75] ; [12.75  4.25],0
v1,1,0.320485,0.986965,[36 49] ; [ 5 12],[34.16666667 50.83333333] ; [ 6.83333333 10.16666667],0
d1,1,0.332233,0.940175,[47 40] ; [ 7 10],[45.17307692 41.82692308] ; [8.82692308 8.17307692],0
d3,1,0.337258,0.920828,[66 21] ; [11  6],[64.41346154 22.58653846] ; [12.58653846  4.41346154],0
s6,1,0.383715,0.758766,[53 33] ; [8 8],[51.43137255 34.56862745] ; [9.56862745 6.43137255],0
a5,1,0.414881,0.664769,[60 27] ; [10  7],[58.55769231 28.44230769] ; [11.44230769  5.55769231],0
s5,1,0.417355,0.657752,[24 60] ; [ 3 13],[22.68 61.32] ; [ 4.32 11.68],0
r2,1,0.551418,0.354783,[76  9] ; [16  1],[76.66666667  8.33333333] ; [15.33333333  1.66666667],0
p1,1,0.559794,0.340061,[ 9 77] ; [ 1 16],[ 8.34951456 77.65048544] ; [ 1.65048544 15.34951456],0
u3,1,0.577845,0.309731,[17 17] ; [6 4],[17.77272727 16.22727273] ; [5.22727273 4.77272727],0
p6,1,0.595948,0.28115,[30 53] ; [ 5 12],[29.05 53.95] ; [ 5.95 11.05],0
p4,1,0.652645,0.202582,[46 41] ; [10  7],[46.84615385 40.15384615] ; [9.15384615 7.84615385],0
s2,1,0.660721,0.192649,[33 54] ; [7 9],[33.78640777 53.21359223] ; [6.21359223 9.78640777],0
p3,1,0.660746,0.192619,[46 41] ; [8 9],[45.17307692 41.82692308] ; [8.82692308 8.17307692],0
s4,1,0.679107,0.171133,[12 75] ; [ 3 14],[12.54807692 74.45192308] ; [ 2.45192308 14.54807692],0
u2,1,0.6885,0.160714,[20 15] ; [5 5],[19.44444444 15.55555556] ; [5.55555556 4.44444444],0
p5,1,0.759454,0.093757,[ 7 80] ; [ 1 16],[ 6.69230769 80.30769231] ; [ 1.30769231 15.69230769],0
v2,1,0.790482,0.070588,[43 42] ; [8 9],[42.5 42.5] ; [8.5 8.5],0
d4,1,0.793153,0.068759,[69 18] ; [13  4],[68.59615385 18.40384615] ; [13.40384615  3.59615385],0
v3,1,0.800548,0.063826,[27 57] ; [ 6 11],[27.44554455 56.55445545] ; [ 5.55445545 11.44554455],0
b5,1,0.871506,0.026162,[53 34] ; [10  7],[52.70192308 34.29807692] ; [10.29807692  6.70192308],0
u1,1,0.878676,0.023301,[ 6 81] ; [ 1 16],[ 5.85576923 81.14423077] ; [ 1.14423077 15.85576923],0
p12,1,0.878676,0.023301,[ 6 81] ; [ 1 16],[ 5.85576923 81.14423077] ; [ 1.14423077 15.85576923],0
a6,1,0.942004,0.005293,[52 35] ; [10  7],[51.86538462 35.13461538] ; [10.13461538  6.86538462],0
n2,1,0.957911,0.002785,[15  7] ; [2 1],[14.96  7.04] ; [2.04 0.96],0
