Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.0028,8.933456,[13  5] ; [ 3 12],[8.72727273 9.27272727] ; [7.27272727 7.72727273],0
a3,1,0.010104,6.616541,[14  4] ; [ 5 10],[10.36363636  7.63636364] ; [8.63636364 6.36363636],0
d2,1,0.017343,5.661278,[11  7] ; [ 3 12],[ 7.63636364 10.36363636] ; [6.36363636 8.63636364],0
a4,1,0.017343,5.661278,[11  7] ; [ 3 12],[ 7.63636364 10.36363636] ; [6.36363636 8.63636364],0
n5,1,0.027001,4.890769,[14  4] ; [6 9],[10.90909091  7.09090909] ; [9.09090909 5.90909091],0
u2,1,0.052353,3.764444,[3 1] ; [2 8],[1.42857143 2.57142857] ; [3.57142857 6.42857143],0
v1,1,0.100728,2.693981,[ 7 11] ; [ 2 13],[ 4.90909091 13.09090909] ; [ 4.09090909 10.90909091],0
r3,1,0.100728,2.693981,[11  7] ; [13  2],[13.09090909  4.90909091] ; [10.90909091  4.09090909],0
p8,1,0.11998,2.417582,[ 2 16] ; [ 5 10],[ 3.81818182 14.18181818] ; [ 3.18181818 11.81818182],0
r1,1,0.125551,2.346667,[12  6] ; [6 9],[9.81818182 8.18181818] ; [8.18181818 6.81818182],0
d1,1,0.138011,2.2,[ 8 10] ; [ 3 12],[ 6. 12.] ; [ 5. 10.],0
s2,1,0.169148,1.890482,[12  5] ; [7 8],[10.09375  6.90625] ; [8.90625 6.09375],0
b4,1,0.17196,1.865769,[9 9] ; [11  4],[10.90909091  7.09090909] ; [9.09090909 5.90909091],0
v2,1,0.239731,1.382174,[ 7 11] ; [ 3 12],[ 5.45454545 12.54545455] ; [ 4.54545455 10.45454545],0
p7,1,0.261366,1.261508,[ 5 13] ; [7 8],[ 6.54545455 11.45454545] ; [5.45454545 9.54545455],0
n6,1,0.261366,1.261508,[13  5] ; [8 7],[11.45454545  6.54545455] ; [9.54545455 5.45454545],0
p6,1,0.265953,1.2375,[ 3 15] ; [ 5 10],[ 4.36363636 13.63636364] ; [ 3.63636364 11.36363636],0
d5,1,0.268509,1.224348,[14  4] ; [9 6],[12.54545455  5.45454545] ; [10.45454545  4.54545455],0
b1,1,0.373301,0.792647,[ 8 10] ; [9 6],[9.27272727 8.72727273] ; [7.72727273 7.27272727],0
s7,1,0.376017,0.783683,[10  7] ; [6 8],[8.77419355 8.22580645] ; [7.22580645 6.77419355],0
n2,1,0.377026,0.780375,[4 3] ; [7 2],[4.8125 2.1875] ; [6.1875 2.8125],0
s6,1,0.391805,0.733333,[12  6] ; [12  3],[13.09090909  4.90909091] ; [10.90909091  4.09090909],0
s8,1,0.391805,0.733333,[ 6 12] ; [ 3 12],[ 4.90909091 13.09090909] ; [ 4.09090909 10.90909091],0
a6,1,0.406669,0.688519,[ 7 11] ; [8 7],[8.18181818 9.81818182] ; [6.81818182 8.18181818],0
p3,1,0.406669,0.688519,[ 7 11] ; [8 7],[8.18181818 9.81818182] ; [6.81818182 8.18181818],0
p11,1,0.435078,0.609231,[ 6 12] ; [7 8],[ 7.09090909 10.90909091] ; [5.90909091 9.09090909],0
p1,1,0.439002,0.598889,[ 1 17] ; [ 2 13],[ 1.63636364 16.36363636] ; [ 1.36363636 13.63636364],0
b5,1,0.458318,0.55,[11  7] ; [11  4],[12.  6.] ; [10.  5.],0
r4,1,0.458318,0.55,[11  7] ; [11  4],[12.  6.] ; [10.  5.],0
u3,1,0.480478,0.497778,[2 2] ; [7 3],[2.57142857 1.42857143] ; [6.42857143 3.57142857],0
n1,1,0.515305,0.42328,[2 5] ; [4 5],[2.625 4.375] ; [3.375 5.625],0
p4,1,0.61093,0.258824,[ 8 10] ; [8 7],[8.72727273 9.27272727] ; [7.27272727 7.72727273],0
d3,1,0.652605,0.202632,[11  7] ; [8 7],[10.36363636  7.63636364] ; [8.63636364 6.36363636],0
s1,1,0.658332,0.195556,[ 2 16] ; [ 1 14],[ 1.63636364 16.36363636] ; [ 1.36363636 13.63636364],0
d4,1,0.678187,0.172174,[12  6] ; [11  4],[12.54545455  5.45454545] ; [10.45454545  4.54545455],0
r2,1,0.68197,0.167917,[13  3] ; [13  2],[13.41935484  2.58064516] ; [12.58064516  2.41935484],0
p2,1,0.691801,0.157143,[12  6] ; [9 6],[11.45454545  6.54545455] ; [9.54545455 5.45454545],0
b2,1,0.737316,0.1125,[3 7] ; [3 5],[3.33333333 6.66666667] ; [2.66666667 5.33333333],0
b3,1,0.737316,0.1125,[3 7] ; [3 5],[3.33333333 6.66666667] ; [2.66666667 5.33333333],0
v4,1,0.804748,0.061111,[15  3] ; [12  3],[14.72727273  3.27272727] ; [12.27272727  2.72727273],0
s3,1,0.811235,0.057041,[12  5] ; [10  5],[11.6875  5.3125] ; [10.3125  4.6875],0
n3,1,0.838464,0.041558,[5 2] ; [6 3],[4.8125 2.1875] ; [6.1875 2.8125],0
a1,1,0.894036,0.017742,[ 1 17] ; [ 1 14],[ 1.09090909 16.90909091] ; [ 0.90909091 14.09090909],0
s5,1,0.919347,0.010253,[ 6 10] ; [5 9],[ 5.86666667 10.13333333] ; [5.13333333 8.86666667],0
a7,1,0.948139,0.004231,[11  7] ; [9 6],[10.90909091  7.09090909] ; [9.09090909 5.90909091],0
v3,1,0.957035,0.002902,[ 4 14] ; [ 3 11],[ 3.9375 14.0625] ; [ 3.0625 10.9375],0
p9,1,0.960492,0.002454,[ 5 13] ; [ 4 10],[ 5.0625 12.9375] ; [ 3.9375 10.0625],0
