Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.005132,7.83239,[ 5 16] ; [29 19],[10.34782609 10.65217391] ; [23.65217391 24.34782609],0
a6,1,0.069079,3.304761,[33 17] ; [53 52],[27.74193548 22.25806452] ; [58.25806452 46.74193548],0
n4,1,0.076071,3.146902,[24 24] ; [69 37],[28.98701299 19.01298701] ; [64.01298701 41.98701299],0
a7,1,0.089226,2.888275,[33 16] ; [56 50],[28.13548387 20.86451613] ; [60.86451613 45.13548387],0
d3,1,0.109604,2.559924,[33 17] ; [55 50],[28.38709677 21.61290323] ; [59.61290323 45.38709677],0
p8,1,0.172399,1.86196,[18 31] ; [27 77],[14.41176471 34.58823529] ; [30.58823529 73.41176471],0
s3,1,0.203493,1.617123,[24 24] ; [41 64],[20.39215686 27.60784314] ; [44.60784314 60.39215686],0
b5,1,0.225977,1.466007,[29 21] ; [72 34],[32.37179487 17.62820513] ; [68.62820513 37.37179487],0
u1,1,0.230948,1.435012,[ 8 42] ; [10 96],[ 5.76923077 44.23076923] ; [12.23076923 93.76923077],0
b4,1,0.267467,1.229694,[25 25] ; [63 43],[28.20512821 21.79487179] ; [59.79487179 46.20512821],0
s8,1,0.36088,0.83483,[ 8 42] ; [23 80],[10.13071895 39.86928105] ; [20.86928105 82.13071895],0
p7,1,0.372317,0.795918,[18 31] ; [47 59],[20.5483871 28.4516129] ; [44.4516129 61.5483871],0
s6,1,0.377256,0.779624,[20 30] ; [49 54],[22.54901961 27.45098039] ; [46.45098039 56.54901961],0
a5,1,0.380786,0.768162,[32 18] ; [60 46],[29.48717949 20.51282051] ; [62.51282051 43.48717949],0
b3,1,0.420814,0.648041,[11 17] ; [19 43],[ 9.33333333 18.66666667] ; [20.66666667 41.33333333],0
b2,1,0.420814,0.648041,[11 17] ; [19 43],[ 9.33333333 18.66666667] ; [20.66666667 41.33333333],0
a3,1,0.420931,0.647714,[29 18] ; [58 48],[26.7254902 20.2745098] ; [60.2745098 45.7254902],0
u2,1,0.420994,0.64754,[ 7 13] ; [21 25],[ 8.48484848 11.51515152] ; [19.51515152 26.48484848],0
r2,1,0.421394,0.646425,[41  7] ; [84 21],[39.21568627  8.78431373] ; [85.78431373 19.21568627],0
s5,1,0.439637,0.597229,[ 7 41] ; [20 81],[ 8.69798658 39.30201342] ; [18.30201342 82.69798658],0
p6,1,0.44938,0.572215,[ 9 39] ; [25 78],[10.80794702 37.19205298] ; [23.19205298 79.80794702],0
a2,1,0.458808,0.548801,[12 38] ; [20 86],[10.25641026 39.74358974] ; [21.74358974 84.25641026],0
