Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,26.417171,[ 8 14] ; [94 15],[17.12977099  4.87022901] ; [84.87022901 24.12977099],1
v3,1,0.000328,12.903039,[ 1 19] ; [51 55],[ 8.25396825 11.74603175] ; [43.74603175 62.25396825],1
s4,1,0.002755,8.962949,[10 12] ; [18 90],[ 4.73846154 17.26153846] ; [23.26153846 84.73846154],0
p2,1,0.004999,7.879856,[12 10] ; [87 19],[17.015625  4.984375] ; [81.984375 24.015625],0
p9,1,0.005209,7.805438,[12  8] ; [93 15],[16.40625  3.59375] ; [88.59375 19.40625],0
n6,1,0.01103,6.460544,[14  8] ; [94 15],[18.13740458  3.86259542] ; [89.86259542 19.13740458],0
p10,1,0.015575,5.850236,[12  9] ; [87 20],[16.2421875  4.7578125] ; [82.7578125 24.2421875],0
p11,1,0.036947,4.352845,[13  9] ; [87 22],[16.79389313  5.20610687] ; [83.20610687 25.79389313],0
p1,1,0.069655,3.29114,[ 4 18] ; [  7 102],[ 1.84732824 20.15267176] ; [ 9.15267176 99.84732824],0
u3,1,0.075529,3.158571,[5 1] ; [ 7 10],[3.13043478 2.86956522] ; [8.86956522 8.13043478],0
u2,1,0.096791,2.757639,[5 1] ; [7 9],[3.27272727 2.72727273] ; [8.72727273 7.27272727],0
v2,1,0.185822,1.750435,[ 8 12] ; [60 47],[10.70866142  9.29133858] ; [57.29133858 49.70866142],0
a3,1,0.189154,1.724196,[16  6] ; [92 17],[18.13740458  3.86259542] ; [89.86259542 19.13740458],0
v1,1,0.207043,1.591982,[ 9 13] ; [59 47],[11.6875 10.3125] ; [56.3125 49.6875],0
p8,1,0.253507,1.303872,[ 9 13] ; [57 48],[11.43307087 10.56692913] ; [54.56692913 50.43307087],0
s8,1,0.257635,1.281419,[ 9 13] ; [59 50],[11.41984733 10.58015267] ; [56.58015267 52.41984733],0
s3,1,0.267166,1.231238,[10 12] ; [63 45],[12.35384615  9.64615385] ; [60.64615385 47.35384615],0
s5,1,0.279562,1.169218,[11  9] ; [44 61],[ 8.8 11.2] ; [46.2 58.8],0
p7,1,0.321663,0.982174,[12 10] ; [69 36],[14.03149606  7.96850394] ; [66.96850394 38.03149606],0
p4,1,0.325181,0.967993,[11 11] ; [65 41],[13.0625  8.9375] ; [62.9375 43.0625],0
a4,1,0.341478,0.904875,[16  6] ; [67 41],[14.04615385  7.95384615] ; [68.95384615 39.04615385],0
s2,1,0.343674,0.896678,[ 9 12] ; [59 50],[10.98461538 10.01538462] ; [57.01538462 51.98461538],0
b4,1,0.369976,0.803744,[14  8] ; [58 51],[12.09160305  9.90839695] ; [59.90839695 49.09160305],0
d3,1,0.383399,0.759776,[17  5] ; [74 35],[15.28244275  6.71755725] ; [75.71755725 33.28244275],0
u1,1,0.410725,0.676702,[ 1 21] ; [11 98],[ 2.01526718 19.98473282] ; [ 9.98473282 99.01526718],0
r1,1,0.432449,0.616239,[15  7] ; [83 26],[16.45801527  5.54198473] ; [81.54198473 27.45801527],0
d5,1,0.443112,0.588209,[21  1] ; [106   2],[21.49230769  0.50769231] ; [105.50769231   2.49230769],0
b5,1,0.450994,0.568153,[11 11] ; [45 64],[ 9.40458015 12.59541985] ; [46.59541985 62.40458015],0
n2,1,0.473289,0.514286,[8 4] ; [13 11],[7. 5.] ; [14. 10.],0
r3,1,0.549833,0.357616,[21  1] ; [100   9],[20.32061069  1.67938931] ; [100.67938931   8.32061069],0
v4,1,0.570231,0.322295,[18  3] ; [98 11],[18.73846154  2.26153846] ; [97.26153846 11.73846154],0
s7,1,0.595544,0.281768,[9 9] ; [59 45],[10.03278689  7.96721311] ; [57.96721311 46.03278689],0
a2,1,0.623856,0.240486,[ 2 20] ; [14 95],[ 2.6870229 19.3129771] ; [13.3129771 95.6870229],0
s6,1,0.632872,0.228187,[13  8] ; [72 35],[13.9453125  7.0546875] ; [71.0546875 35.9453125],0
n1,1,0.635256,0.225,[6 6] ; [10 14],[5.33333333 6.66666667] ; [10.66666667 13.33333333],0
d2,1,0.647998,0.208434,[17  5] ; [88 20],[17.76923077  4.23076923] ; [87.23076923 20.76923077],0
s1,1,0.661672,0.191498,[ 1 21] ; [  3 105],[ 0.67692308 21.32307692] ; [  3.32307692 104.67692308],0
a6,1,0.663403,0.189416,[ 7 15] ; [40 69],[ 7.89312977 14.10687023] ; [39.10687023 69.89312977],0
r2,1,0.709618,0.138659,[21  1] ; [98  7],[20.61417323  1.38582677] ; [98.38582677  6.61417323],0
p6,1,0.720916,0.127617,[ 8 13] ; [44 60],[ 8.736 12.264] ; [43.264 60.736],0
r4,1,0.737212,0.112592,[19  3] ; [91 18],[18.47328244  3.52671756] ; [91.52671756 17.47328244],0
a1,1,0.737403,0.112422,[ 1 21] ; [  7 102],[ 1.34351145 20.65648855] ; [  6.65648855 102.34351145],0
a5,1,0.763028,0.090906,[18  4] ; [92 17],[18.47328244  3.52671756] ; [91.52671756 17.47328244],0
p3,1,0.779574,0.07833,[11 11] ; [57 50],[11.59689922 10.40310078] ; [56.40310078 50.59689922],0
b1,1,0.787229,0.072851,[13  9] ; [61 48],[12.42748092  9.57251908] ; [61.57251908 47.42748092],0
n3,1,0.9485,0.004172,[7 4] ; [15  9],[6.91428571 4.08571429] ; [15.08571429  8.91428571],0
b2,1,0.978663,0.000715,[6 8] ; [32 42],[6.04545455 7.95454545] ; [31.95454545 42.04545455],0
b3,1,0.978663,0.000715,[6 8] ; [32 42],[6.04545455 7.95454545] ; [31.95454545 42.04545455],0
