Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.0,30.911035,[  8 116] ; [42 77],[25.51440329 98.48559671] ; [24.48559671 94.51440329],1
p8,1,0.0,26.388722,[28 96] ; [65 54],[47.45679012 76.54320988] ; [45.54320988 73.45679012],1
p3,1,3e-06,21.74378,[26 99] ; [59 61],[43.36734694 81.63265306] ; [41.63265306 78.36734694],1
p4,1,6e-05,16.100109,[33 91] ; [62 58],[48.27868852 75.72131148] ; [46.72131148 73.27868852],1
p2,1,8.5e-05,15.444722,[72 53] ; [97 23],[86.2244898 38.7755102] ; [82.7755102 37.2244898],1
b3,1,0.002119,9.443406,[23 33] ; [12 60],[15.3125 40.6875] ; [19.6875 52.3125],0
b2,1,0.002119,9.443406,[23 33] ; [12 60],[15.3125 40.6875] ; [19.6875 52.3125],0
s6,1,0.008702,6.883029,[46 77] ; [63 53],[56.09623431 66.90376569] ; [52.90376569 63.09623431],0
s3,1,0.010396,6.565726,[35 86] ; [53 65],[44.55230126 76.44769874] ; [43.44769874 74.55230126],0
b4,1,0.013255,6.134775,[84 41] ; [62 58],[74.48979592 50.51020408] ; [71.51020408 48.48979592],0
r3,1,0.015478,5.861215,[99 25] ; [109  11],[105.70491803  18.29508197] ; [102.29508197  17.70491803],0
s2,1,0.035641,4.4142,[24 97] ; [38 82],[31.12863071 89.87136929] ; [30.87136929 89.12863071],0
v2,1,0.039396,4.243713,[39 78] ; [54 62],[46.69957082 70.30042918] ; [46.30042918 69.69957082],0
n3,1,0.077374,3.119213,[23 13] ; [25  5],[26.18181818  9.81818182] ; [21.81818182  8.18181818],0
v4,1,0.090157,2.871562,[103  22] ; [107  12],[107.58196721  17.41803279] ; [102.41803279  16.58196721],0
p5,1,0.129313,2.300737,[  4 121] ; [  9 110],[  6.65983607 118.34016393] ; [  6.34016393 112.65983607],0
b1,1,0.150665,2.065509,[47 78] ; [56 64],[52.55102041 72.44897959] ; [50.44897959 69.55102041],0
v1,1,0.203516,1.616965,[44 79] ; [50 64],[48.78481013 74.21518987] ; [45.21518987 68.78481013],0
s5,1,0.219882,1.505141,[ 16 102] ; [23 95],[19.5 98.5] ; [19.5 98.5],0
a7,1,0.220779,1.499298,[72 53] ; [77 41],[76.64609053 48.35390947] ; [72.35390947 45.64609053],0
n6,1,0.234259,1.414812,[86 39] ; [90 29],[90.16393443 34.83606557] ; [85.83606557 33.16393443],0
a6,1,0.23673,1.399964,[75 50] ; [63 57],[70.40816327 54.59183673] ; [67.59183673 52.40816327],0
d5,1,0.243653,1.359334,[60 65] ; [66 53],[64.54918033 60.45081967] ; [61.45081967 57.54918033],0
r4,1,0.243984,1.357427,[91 34] ; [95 25],[94.89795918 30.10204082] ; [91.10204082 28.89795918],0
d3,1,0.314993,1.009625,[41 84] ; [46 72],[44.75308642 80.24691358] ; [42.24691358 75.75308642],0
b5,1,0.433848,0.6125,[72 53] ; [75 45],[75. 50.] ; [72. 48.],0
