Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.001971,9.576667,[ 6 30] ; [9 6],[10.58823529 25.41176471] ; [ 4.41176471 10.58823529],0
d5,1,0.003541,8.505592,[18 18] ; [14  1],[22.58823529 13.41176471] ; [9.41176471 5.58823529],0
s6,1,0.005459,7.720588,[ 7 28] ; [9 6],[11.2 23.8] ; [ 4.8 10.2],0
p4,1,0.015514,5.85713,[ 7 29] ; [8 7],[10.58823529 25.41176471] ; [ 4.41176471 10.58823529],0
r2,1,0.031753,4.611765,[16 18] ; [12  3],[19.42857143 14.57142857] ; [8.57142857 6.42857143],0
p10,1,0.049715,3.851048,[11 25] ; [9 6],[14.11764706 21.88235294] ; [5.88235294 9.11764706],0
v3,1,0.064059,3.429046,[ 3 33] ; [ 4 10],[ 5.04 30.96] ; [ 1.96 12.04],0
n1,1,0.077598,3.11451,[ 6 11] ; [4 1],[7.72727273 9.27272727] ; [2.27272727 2.72727273],0
s5,1,0.083214,3.000992,[ 5 31] ; [5 9],[ 7.2 28.8] ; [ 2.8 11.2],0
a6,1,0.087726,2.915606,[19 17] ; [ 4 11],[16.23529412 19.76470588] ; [6.76470588 8.23529412],0
p2,1,0.094599,2.794312,[10 25] ; [8 7],[12.6 22.4] ; [5.4 9.6],0
d4,1,0.10381,2.646019,[23 13] ; [13  2],[25.41176471 10.58823529] ; [10.58823529  4.41176471],0
d1,1,0.116526,2.463401,[13 23] ; [9 6],[15.52941176 20.47058824] ; [6.47058824 8.52941176],0
n5,1,0.125276,2.350082,[25 11] ; [7 8],[22.58823529 13.41176471] ; [9.41176471 5.58823529],0
s3,1,0.135674,2.226345,[13 22] ; [9 6],[15.4 19.6] ; [6.6 8.4],0
n3,1,0.148795,2.084559,[ 6 11] ; [3 1],[7.28571429 9.71428571] ; [1.71428571 2.28571429],0
d3,1,0.167419,1.905901,[14 22] ; [9 6],[16.23529412 19.76470588] ; [6.76470588 8.23529412],0
p9,1,0.167419,1.905901,[14 22] ; [9 6],[16.23529412 19.76470588] ; [6.76470588 8.23529412],0
s7,1,0.169955,1.883339,[ 4 29] ; [ 4 10],[ 5.61702128 27.38297872] ; [ 2.38297872 11.61702128],0
r1,1,0.182546,1.776774,[12 24] ; [8 7],[14.11764706 21.88235294] ; [5.88235294 9.11764706],0
s2,1,0.187312,1.738636,[ 6 30] ; [ 5 10],[ 7.76470588 28.23529412] ; [ 3.23529412 11.76470588],0
b4,1,0.192288,1.7,[22 14] ; [12  3],[24. 12.] ; [10.  5.],0
n2,1,0.211346,1.562185,[ 5 12] ; [3 2],[ 6.18181818 10.81818182] ; [1.81818182 3.18181818],0
p11,1,0.232014,1.428472,[15 21] ; [9 6],[16.94117647 19.05882353] ; [7.05882353 7.94117647],0
p7,1,0.341,0.906667,[12 24] ; [ 3 12],[10.58823529 25.41176471] ; [ 4.41176471 10.58823529],0
p1,1,0.344354,0.894156,[ 6 30] ; [ 1 14],[ 4.94117647 31.05882353] ; [ 2.05882353 12.94117647],0
n6,1,0.354539,0.857143,[16 19] ; [9 6],[17.5 17.5] ; [7.5 7.5],0
p6,1,0.447699,0.576471,[ 4 30] ; [ 3 12],[ 4.85714286 29.14285714] ; [ 2.14285714 12.85714286],0
a5,1,0.514453,0.425,[18 18] ; [9 6],[19.05882353 16.94117647] ; [7.94117647 7.05882353],0
p12,1,0.528733,0.396825,[ 1 34] ; [ 1 14],[ 1.4 33.6] ; [ 0.6 14.4],0
a7,1,0.562262,0.335802,[16 20] ; [8 7],[16.94117647 19.05882353] ; [7.05882353 7.94117647],0
a3,1,0.577337,0.310559,[18 17] ; [9 6],[18.9 16.1] ; [8.1 6.9],0
b2,1,0.680724,0.169312,[10 14] ; [4 4],[10.5 13.5] ; [3.5 4.5],0
b3,1,0.680724,0.169312,[10 14] ; [4 4],[10.5 13.5] ; [3.5 4.5],0
p3,1,0.73315,0.116239,[ 8 28] ; [ 4 11],[ 8.47058824 27.52941176] ; [ 3.52941176 11.47058824],0
d2,1,0.757621,0.095238,[17 18] ; [8 7],[17.5 17.5] ; [7.5 7.5],0
s8,1,0.765512,0.088953,[ 6 30] ; [ 2 13],[ 5.64705882 30.35294118] ; [ 2.35294118 12.64705882],0
u2,1,0.795418,0.067227,[ 5 13] ; [2 4],[ 5.25 12.75] ; [1.75 4.25],0
a8,1,0.806882,0.059756,[ 6 29] ; [ 2 12],[ 5.71428571 29.28571429] ; [ 2.28571429 11.71428571],0
s4,1,0.82242,0.05037,[ 4 32] ; [ 2 13],[ 4.23529412 31.76470588] ; [ 1.76470588 13.23529412],0
n4,1,0.849982,0.035774,[23 13] ; [10  5],[23.29411765 12.70588235] ; [9.70588235 5.29411765],0
a4,1,0.894736,0.017507,[11 24] ; [ 5 10],[11.2 23.8] ; [ 4.8 10.2],0
p8,1,0.910752,0.012564,[ 7 28] ; [ 3 11],[ 7.14285714 27.85714286] ; [ 2.85714286 11.14285714],0
b5,1,0.971109,0.001312,[17 19] ; [7 8],[16.94117647 19.05882353] ; [7.05882353 7.94117647],0
b1,1,0.971109,0.001312,[19 17] ; [8 7],[19.05882353 16.94117647] ; [7.94117647 7.05882353],0
