Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,187.62511,[  6 119] ; [437 181],[74.52893674 50.47106326] ; [368.47106326 249.52893674],1
d3,1,0.0,122.998583,[34 89] ; [482 136],[85.65182186 37.34817814] ; [430.34817814 187.65182186],1
d5,1,0.0,104.906292,[61 63] ; [545  73],[101.2722372  22.7277628] ; [504.7277628 113.2722372],1
d2,1,0.0,38.999282,[28 97] ; [327 290],[59.80458221 65.19541779] ; [295.19541779 321.80458221],1
a3,1,0.0,31.961386,[65 60] ; [472 143],[90.70945946 34.29054054] ; [446.29054054 168.70945946],1
a4,1,1e-06,25.081873,[32 93] ; [309 308],[57.44609164 67.55390836] ; [283.55390836 333.44609164],1
a5,1,1e-06,23.693598,[72 53] ; [484 134],[93.5397039 31.4602961] ; [462.4602961 155.5397039],1
u1,1,9e-06,19.758835,[  5 120] ; [128 490],[ 22.37550471 102.62449529] ; [110.62449529 507.37550471],1
a2,1,9.9e-05,15.161505,[ 13 112] ; [165 453],[29.9461642 95.0538358] ; [148.0538358 469.9461642],1
r1,1,0.000392,12.569357,[84 39] ; [507 109],[98.36671177 24.63328823] ; [492.63328823 123.36671177],1
s2,1,0.002997,8.809019,[50 73] ; [340 275],[65. 58.] ; [325. 290.],0
r2,1,0.009636,6.700928,[112  12] ; [585  25],[117.7493188   6.2506812] ; [579.2506812  30.7493188],0
b3,1,0.012604,6.223876,[19 53] ; [157 216],[28.47640449 43.52359551] ; [147.52359551 225.47640449],0
b2,1,0.012604,6.223876,[19 53] ; [157 216],[28.47640449 43.52359551] ; [147.52359551 225.47640449],0
s5,1,0.015786,5.826522,[31 89] ; [221 370],[42.53164557 77.46835443] ; [209.46835443 381.53164557],0
u2,1,0.027225,4.876509,[27 33] ; [89 55],[34.11764706 25.88235294] ; [81.88235294 62.11764706],0
v1,1,0.028664,4.787701,[57 64] ; [347 252],[67.89444444 53.10555556] ; [336.10555556 262.89444444],0
v2,1,0.031936,4.601936,[59 59] ; [359 233],[69.47042254 48.52957746] ; [348.52957746 243.47042254],0
b4,1,0.037403,4.331977,[61 64] ; [364 254],[71.50067295 53.49932705] ; [353.49932705 264.50067295],0
p4,1,0.037466,4.329107,[67 58] ; [390 224],[77.30040595 47.69959405] ; [379.69959405 234.30040595],0
v3,1,0.039684,4.231362,[39 84] ; [246 344],[49.1654979 73.8345021] ; [235.8345021 354.1654979],0
p2,1,0.044037,4.055136,[100  24] ; [537  77],[107.0298103  16.9701897] ; [529.9701897  84.0298103],0
n4,1,0.052311,3.765782,[88 36] ; [487 130],[96.22132254 27.77867746] ; [478.77867746 138.22132254],0
p1,1,0.055649,3.662539,[ 16 108] ; [ 47 568],[ 10.57104195 113.42895805] ; [ 52.42895805 562.57104195],0
u3,1,0.062986,3.456968,[28 32] ; [87 56],[33.99014778 26.00985222] ; [81.00985222 61.99014778],0
s8,1,0.065405,3.394727,[50 75] ; [302 314],[59.37921727 65.62078273] ; [292.62078273 323.37921727],0
a1,1,0.071881,3.239546,[  2 123] ; [ 33 585],[  5.88829071 119.11170929] ; [ 29.11170929 588.88829071],0
r4,1,0.075375,3.161914,[111  14] ; [577  41],[115.74697174   9.25302826] ; [572.25302826  45.74697174],0
s3,1,0.095597,2.777512,[63 61] ; [360 251],[71.36326531 52.63673469] ; [351.63673469 259.36326531],0
p6,1,0.101049,2.688916,[40 84] ; [244 364],[48.10928962 75.89071038] ; [235.89071038 372.10928962],0
a7,1,0.10308,2.657232,[83 41] ; [457 160],[90.36437247 33.63562753] ; [449.63562753 167.36437247],0
s6,1,0.163037,1.945829,[78 43] ; [430 177],[84.43406593 36.56593407] ; [423.56593407 183.43406593],0
s7,1,0.163438,1.942127,[53 64] ; [313 285],[59.89090909 57.10909091] ; [306.10909091 291.89090909],0
u4,1,0.172365,1.862252,[  1 124] ; [ 18 600],[  3.19650067 121.80349933] ; [ 15.80349933 602.19650067],0
n2,1,0.176455,1.827235,[24  4] ; [95 34],[21.22292994  6.77707006] ; [97.77707006 31.22292994],0
n3,1,0.195185,1.67804,[24  4] ; [95 33],[21.35897436  6.64102564] ; [97.64102564 30.35897436],0
v4,1,0.269011,1.221781,[116   7] ; [594  22],[118.17320704   4.82679296] ; [591.82679296  24.17320704],0
p12,1,0.276353,1.184939,[  8 117] ; [ 58 556],[ 11.16373478 113.83626522] ; [ 54.83626522 559.16373478],0
a6,1,0.298232,1.082082,[81 44] ; [429 188],[85.91644205 39.08355795] ; [424.08355795 192.91644205],0
p5,1,0.321717,0.981954,[ 12 112] ; [ 79 534],[ 15.31071913 108.68928087] ; [ 75.68928087 537.31071913],0
p11,1,0.333189,0.936464,[101  24] ; [521  97],[104.64333782  20.35666218] ; [517.35666218 100.64333782],0
p7,1,0.366268,0.816289,[77 46] ; [403 200],[81.32231405 41.67768595] ; [398.67768595 204.32231405],0
s4,1,0.372164,0.796426,[25 99] ; [103 509],[ 21.56521739 102.43478261] ; [106.43478261 505.56521739],0
a8,1,0.418454,0.654653,[ 14 101] ; [ 85 478],[16.7920354 98.2079646] ; [ 82.2079646 480.7920354],0
n5,1,0.518077,0.417719,[98 26] ; [468 145],[95.22930801 28.77069199] ; [470.77069199 142.22930801],0
b1,1,0.522001,0.409938,[46 79] ; [209 409],[42.90040377 82.09959623] ; [212.09959623 405.90040377],0
p10,1,0.528508,0.39726,[110  13] ; [561  54],[111.83333333  11.16666667] ; [559.16666667  55.83333333],0
n1,1,0.542658,0.370636,[ 9 19] ; [49 79],[10.41025641 17.58974359] ; [47.58974359 80.41025641],0
p3,1,0.574694,0.314892,[62 63] ; [323 294],[64.85849057 60.14150943] ; [320.14150943 296.85849057],0
n6,1,0.588841,0.292158,[106  19] ; [531  82],[107.89295393  17.10704607] ; [529.10704607  83.89295393],0
p8,1,0.684755,0.164822,[65 58] ; [334 275],[67.04508197 55.95491803] ; [331.95491803 277.04508197],0
b5,1,0.8076,0.059303,[75 50] ; [378 240],[76.21130552 48.78869448] ; [376.78869448 241.21130552],0
s1,1,0.84138,0.040051,[  3 119] ; [ 17 594],[  3.32878581 118.67121419] ; [ 16.67121419 594.32878581],0
