Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.093832,2.807372,[1 2] ; [82 26],[2.24324324 0.75675676] ; [80.75675676 27.24324324],0
a6,1,0.14243,2.151503,[1 2] ; [78 30],[2.13513514 0.86486486] ; [76.86486486 31.13513514],0
b1,1,0.169836,1.88439,[2 1] ; [32 76],[0.91891892 2.08108108] ; [33.08108108 74.91891892],0
n5,1,0.184243,1.763064,[1 2] ; [75 33],[2.05405405 0.94594595] ; [73.94594595 34.05405405],0
r4,1,0.273103,1.201092,[2 1] ; [95 13],[2.62162162 0.37837838] ; [94.37837838 13.62162162],0
n4,1,0.296585,1.089487,[1 2] ; [68 40],[1.86486486 1.13513514] ; [67.13513514 40.86486486],0
n6,1,0.349344,0.875837,[2 1] ; [92 15],[2.56363636 0.43636364] ; [91.43636364 15.56363636],0
d2,1,0.425773,0.634326,[2 1] ; [47 61],[1.32432432 1.67567568] ; [47.67567568 60.32432432],0
d4,1,0.449659,0.57151,[2 1] ; [90 18],[2.48648649 0.51351351] ; [89.51351351 18.48648649],0
p3,1,0.465334,0.533034,[2 1] ; [49 59],[1.37837838 1.62162162] ; [49.62162162 58.37837838],0
v1,1,0.495116,0.465389,[2 1] ; [50 57],[1.41818182 1.58181818] ; [50.58181818 56.41818182],0
s5,1,0.500315,0.454269,[2 1] ; [46 52],[1.42574257 1.57425743] ; [46.57425743 51.42574257],0
d5,1,0.55168,0.354316,[2 1] ; [87 21],[2.40540541 0.59459459] ; [86.59459459 21.40540541],0
v2,1,0.60248,0.271272,[2 1] ; [54 51],[1.55555556 1.44444444] ; [54.44444444 50.55555556],0
r1,1,0.712341,0.135949,[2 1] ; [82 26],[2.27027027 0.72972973] ; [81.72972973 26.27027027],0
b2,1,0.716876,0.131506,[1 2] ; [13 41],[0.73684211 2.26315789] ; [13.26315789 40.73684211],0
b3,1,0.716876,0.131506,[1 2] ; [13 41],[0.73684211 2.26315789] ; [13.26315789 40.73684211],0
p6,1,0.762585,0.091257,[1 2] ; [45 62],[1.25454545 1.74545455] ; [44.74545455 62.25454545],0
d1,1,0.772572,0.083528,[2 1] ; [63 45],[1.75675676 1.24324324] ; [63.24324324 44.75675676],0
p7,1,0.805999,0.060315,[2 1] ; [62 42],[1.79439252 1.20560748] ; [62.20560748 41.79439252],0
s2,1,0.81926,0.052211,[2 1] ; [77 29],[2.17431193 0.82568807] ; [76.82568807 29.17431193],0
s3,1,0.8697,0.026909,[2 1] ; [76 31],[2.12727273 0.87272727] ; [75.87272727 31.12727273],0
p4,1,0.870446,0.026599,[2 1] ; [67 41],[1.86486486 1.13513514] ; [67.13513514 40.86486486],0
a5,1,0.889892,0.019166,[2 1] ; [76 32],[2.10810811 0.89189189] ; [75.89189189 32.10810811],0
p11,1,0.945712,0.004637,[2 1] ; [74 34],[2.05405405 0.94594595] ; [73.94594595 34.05405405],0
