Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,9.5e-05,15.237286,[28 15] ; [28 66],[17.57664234 25.42335766] ; [38.42335766 55.57664234],1
p9,1,0.005066,7.855715,[25 18] ; [76 18],[31.70072993 11.29927007] ; [69.29927007 24.70072993],0
r2,1,0.006392,7.436345,[34  9] ; [86  5],[38.50746269  4.49253731] ; [81.49253731  9.50746269],0
r4,1,0.013801,6.06341,[32 11] ; [85  9],[36.72262774  6.27737226] ; [80.27737226 13.72262774],0
a7,1,0.020795,5.34392,[25 18] ; [72 21],[30.66911765 12.33088235] ; [66.33088235 26.66911765],0
p10,1,0.030273,4.69374,[25 18] ; [71 22],[30.35294118 12.64705882] ; [65.64705882 27.35294118],0
u2,1,0.071854,3.240153,[11  4] ; [13 16],[8.18181818 6.81818182] ; [15.81818182 13.18181818],0
v2,1,0.084753,2.971318,[15 25] ; [49 42],[19.54198473 20.45801527] ; [44.45801527 46.54198473],0
n2,1,0.095108,2.785714,[12  2] ; [15 10],[9.69230769 4.30769231] ; [17.30769231  7.69230769],0
u3,1,0.101263,2.685543,[10  4] ; [13 16],[7.48837209 6.51162791] ; [15.51162791 13.48837209],0
v4,1,0.109993,2.554327,[38  5] ; [89  4],[40.15441176  2.84558824] ; [86.84558824  6.15441176],0
a8,1,0.13525,2.23119,[ 1 38] ; [ 9 78],[ 3.0952381 35.9047619] ; [ 6.9047619 80.0952381],0
s5,1,0.147197,2.101058,[ 8 34] ; [28 62],[11.45454545 30.54545455] ; [24.54545455 65.45454545],0
p6,1,0.193954,1.687322,[12 29] ; [37 53],[15.33587786 25.66412214] ; [33.66412214 56.33587786],0
n1,1,0.195801,1.673418,[ 4 10] ; [ 3 22],[ 2.51282051 11.48717949] ; [ 4.48717949 20.51282051],0
p4,1,0.222949,1.485291,[27 16] ; [48 45],[23.71323529 19.28676471] ; [51.28676471 41.71323529],0
n3,1,0.228863,1.447916,[11  3] ; [23  2],[12.20512821  1.79487179] ; [21.79487179  3.20512821],0
a1,1,0.242362,1.3668,[ 4 39] ; [ 4 90],[ 2.51094891 40.48905109] ; [ 5.48905109 88.51094891],0
r3,1,0.242362,1.3668,[39  4] ; [90  4],[40.48905109  2.51094891] ; [88.51094891  5.48905109],0
p2,1,0.289159,1.123535,[35  8] ; [82 11],[36.99264706  6.00735294] ; [80.00735294 12.99264706],0
p11,1,0.322315,0.979531,[29 14] ; [71 23],[31.38686131 11.61313869] ; [68.61313869 25.38686131],0
s3,1,0.38594,0.751697,[24 19] ; [43 47],[21.66165414 21.33834586] ; [45.33834586 44.66165414],0
p12,1,0.426859,0.631353,[ 1 42] ; [ 5 89],[ 1.88321168 41.11678832] ; [ 4.11678832 89.88321168],0
v3,1,0.437181,0.60367,[ 9 33] ; [25 65],[10.81818182 31.18181818] ; [23.18181818 66.81818182],0
s7,1,0.4438,0.586438,[13 26] ; [38 56],[14.95488722 24.04511278] ; [36.04511278 57.95488722],0
s2,1,0.462803,0.539107,[15 28] ; [39 55],[16.94890511 26.05109489] ; [37.05109489 56.94890511],0
s8,1,0.470669,0.520404,[13 30] ; [34 59],[14.86029412 28.13970588] ; [32.13970588 60.86029412],0
n4,1,0.480113,0.498608,[16 27] ; [41 53],[17.89051095 25.10948905] ; [39.10948905 54.89051095],0
d4,1,0.49499,0.465662,[36  7] ; [74 20],[34.52554745  8.47445255] ; [75.47445255 18.52554745],0
d5,1,0.496115,0.463237,[29 14] ; [68 25],[30.66911765 12.33088235] ; [66.33088235 26.66911765],0
d2,1,0.503453,0.447651,[20 23] ; [38 56],[18.20437956 24.79562044] ; [39.79562044 54.20437956],0
p3,1,0.527376,0.399446,[24 19] ; [47 47],[22.28467153 20.71532847] ; [48.71532847 45.28467153],0
a2,1,0.582987,0.30143,[ 8 35] ; [14 80],[ 6.90510949 36.09489051] ; [15.09489051 78.90510949],0
a3,1,0.667939,0.184022,[28 15] ; [64 29],[29.08823529 13.91176471] ; [62.91176471 30.08823529],0
u1,1,0.676347,0.174268,[ 4 39] ; [11 83],[ 4.7080292 38.2919708] ; [10.2919708 83.7080292],0
b2,1,0.682151,0.167715,[ 6 21] ; [14 39],[ 6.75 20.25] ; [13.25 39.75],0
b3,1,0.682151,0.167715,[ 6 21] ; [14 39],[ 6.75 20.25] ; [13.25 39.75],0
p5,1,0.6883,0.160931,[ 2 41] ; [ 6 88],[ 2.51094891 40.48905109] ; [ 5.48905109 88.51094891],0
s1,1,0.701001,0.147433,[ 3 40] ; [ 5 89],[ 2.51094891 40.48905109] ; [ 5.48905109 88.51094891],0
d1,1,0.704652,0.143678,[23 20] ; [47 47],[21.97080292 21.02919708] ; [48.02919708 45.97080292],0
s6,1,0.767855,0.087132,[25 18] ; [51 41],[24.20740741 18.79259259] ; [51.79259259 40.20740741],0
d3,1,0.796268,0.066657,[31 12] ; [69 24],[31.61764706 11.38235294] ; [68.38235294 24.61764706],0
p8,1,0.807612,0.059296,[25 18] ; [52 41],[24.34558824 18.65441176] ; [52.65441176 40.34558824],0
b5,1,0.810291,0.057625,[27 16] ; [57 37],[26.3649635 16.6350365] ; [57.6350365 36.3649635],0
s4,1,0.826197,0.048216,[ 8 35] ; [19 75],[ 8.47445255 34.52554745] ; [18.52554745 75.47445255],0
a5,1,0.826568,0.048007,[28 15] ; [63 31],[28.5620438 14.4379562] ; [62.4379562 31.5620438],0
v1,1,0.8597,0.031243,[15 28] ; [30 60],[14.54887218 28.45112782] ; [30.45112782 59.54887218],0
a6,1,0.890272,0.019033,[26 17] ; [58 36],[26.3649635 16.6350365] ; [57.6350365 36.3649635],0
b4,1,0.890272,0.019033,[26 17] ; [58 36],[26.3649635 16.6350365] ; [57.6350365 36.3649635],0
p1,1,0.909003,0.013064,[ 3 40] ; [ 7 86],[ 3.16176471 39.83823529] ; [ 6.83823529 86.16176471],0
r1,1,0.976054,0.000901,[31 12] ; [68 26],[31.0729927 11.9270073] ; [67.9270073 26.0729927],0
a4,1,0.979775,0.000643,[15 28] ; [33 61],[15.06569343 27.93430657] ; [32.93430657 61.06569343],0
