Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0009,11.023706,[ 8 35] ; [14 10],[14.11940299 28.88059701] ; [ 7.88059701 16.11940299],1
p2,1,0.001689,9.860216,[11 32] ; [15  8],[16.93939394 26.06060606] ; [ 9.06060606 13.93939394],0
s8,1,0.010964,6.471139,[ 1 42] ; [ 5 19],[ 3.85074627 39.14925373] ; [ 2.14925373 21.85074627],0
v1,1,0.041148,4.169926,[10 33] ; [11 12],[13.68181818 29.31818182] ; [ 7.31818182 15.68181818],0
s5,1,0.067399,3.34526,[ 3 40] ; [ 5 17],[ 5.29230769 37.70769231] ; [ 2.70769231 19.29230769],0
v4,1,0.067561,3.341299,[20 22] ; [17  7],[23.54545455 18.45454545] ; [13.45454545 10.54545455],0
b1,1,0.119488,2.42402,[24 19] ; [18  6],[26.95522388 16.04477612] ; [15.04477612  8.95522388],0
n1,1,0.139696,2.181302,[ 9 17] ; [1 9],[ 7.22222222 18.77777778] ; [2.77777778 7.22222222],0
b4,1,0.150524,2.06693,[19 24] ; [15  9],[21.82089552 21.17910448] ; [12.17910448 11.82089552],0
b5,1,0.15937,1.980194,[21 22] ; [16  8],[23.74626866 19.25373134] ; [13.25373134 10.74626866],0
n3,1,0.166439,1.914725,[ 9 17] ; [6 4],[10.83333333 15.16666667] ; [4.16666667 5.83333333],0
s6,1,0.175162,1.838197,[ 8 35] ; [ 8 16],[10.26865672 32.73134328] ; [ 5.73134328 18.26865672],0
s2,1,0.175162,1.838197,[ 8 35] ; [ 8 16],[10.26865672 32.73134328] ; [ 5.73134328 18.26865672],0
r3,1,0.182528,1.776923,[14 28] ; [12 12],[16.54545455 25.45454545] ; [ 9.45454545 14.54545455],0
s3,1,0.194107,1.686168,[11 31] ; [10 14],[13.36363636 28.63636364] ; [ 7.63636364 16.36363636],0
r1,1,0.20433,1.611151,[17 25] ; [ 6 18],[14.63636364 27.36363636] ; [ 8.36363636 15.63636364],0
n4,1,0.205698,1.601451,[26 16] ; [11 13],[23.54545455 18.45454545] ; [13.45454545 10.54545455],0
v2,1,0.234211,1.415105,[13 29] ; [ 4 19],[10.98461538 31.01538462] ; [ 6.01538462 16.98461538],0
a8,1,0.266237,1.236033,[ 1 39] ; [ 2 21],[ 1.9047619 38.0952381] ; [ 1.0952381 21.9047619],0
a4,1,0.277647,1.178571,[16 26] ; [ 6 18],[14. 28.] ; [ 8. 16.],0
s7,1,0.302834,1.061672,[ 6 33] ; [ 6 17],[ 7.5483871 31.4516129] ; [ 4.4516129 18.5483871],0
a7,1,0.402131,0.701943,[20 22] ; [14 10],[21.63636364 20.36363636] ; [12.36363636 11.63636364],0
p6,1,0.413107,0.66984,[ 4 37] ; [ 4 20],[ 5.04615385 35.95384615] ; [ 2.95384615 21.04615385],0
