Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.6e-05,18.613636,[ 3 63] ; [10 15],[ 9.42857143 56.57142857] ; [ 3.57142857 21.42857143],1
r4,1,0.009525,6.721655,[36 30] ; [21  4],[41.34065934 24.65934066] ; [15.65934066  9.34065934],0
s7,1,0.013632,6.085231,[ 6 56] ; [ 7 15],[ 9.5952381 52.4047619] ; [ 3.4047619 18.5952381],0
b3,1,0.040538,4.19521,[18 22] ; [ 2 12],[14.81481481 25.18518519] ; [5.18518519 8.81481481],0
b2,1,0.040538,4.19521,[18 22] ; [ 2 12],[14.81481481 25.18518519] ; [5.18518519 8.81481481],0
b5,1,0.077813,3.110007,[40 26] ; [10 15],[36.26373626 29.73626374] ; [13.73626374 11.26373626],0
p4,1,0.102299,2.669333,[22 44] ; [13 12],[25.38461538 40.61538462] ; [ 9.61538462 15.38461538],0
a5,1,0.10296,2.659091,[27 39] ; [15 10],[30.46153846 35.53846154] ; [11.53846154 13.46153846],0
u2,1,0.107907,2.584615,[14 21] ; [ 2 11],[11.66666667 23.33333333] ; [4.33333333 8.66666667],0
p1,1,0.122913,2.379808,[11 55] ; [ 1 23],[ 8.8 57.2] ; [ 3.2 20.8],0
p2,1,0.129279,2.301136,[41 25] ; [19  5],[44. 22.] ; [16.  8.],0
p6,1,0.145114,2.122878,[20 44] ; [ 4 21],[17.25842697 46.74157303] ; [ 6.74157303 18.25842697],0
s8,1,0.154162,2.030579,[ 6 60] ; [ 5 20],[ 7.97802198 58.02197802] ; [ 3.02197802 21.97802198],0
r3,1,0.184941,1.757464,[45 19] ; [21  4],[47.46067416 16.53932584] ; [18.53932584  6.46067416],0
n2,1,0.229948,1.441186,[17  9] ; [7 1],[18.35294118  7.64705882] ; [5.64705882 2.35294118],0
r2,1,0.239317,1.384615,[50 15] ; [22  3],[52. 13.] ; [20.  5.],0
b1,1,0.285301,1.141663,[32 34] ; [ 9 16],[29.73626374 36.26373626] ; [11.26373626 13.73626374],0
d3,1,0.319649,0.990382,[14 50] ; [ 8 17],[15.82022472 48.17977528] ; [ 6.17977528 18.82022472],0
s4,1,0.320518,0.98683,[ 7 59] ; [ 1 24],[ 5.8021978 60.1978022] ; [ 2.1978022 22.8021978],0
u3,1,0.358268,0.843956,[13 22] ; [ 3 10],[11.66666667 23.33333333] ; [4.33333333 8.66666667],0
v4,1,0.375137,0.786578,[51 14] ; [20  3],[52.44318182 12.55681818] ; [18.55681818  4.44318182],0
a4,1,0.395777,0.72112,[19 47] ; [ 5 20],[17.40659341 48.59340659] ; [ 6.59340659 18.40659341],0
p7,1,0.40819,0.684065,[31 33] ; [14 10],[32.72727273 31.27272727] ; [12.27272727 11.72727273],0
n6,1,0.424921,0.636666,[41 24] ; [18  7],[42.61111111 22.38888889] ; [16.38888889  8.61111111],0
r1,1,0.44646,0.579622,[28 37] ; [13 12],[29.61111111 35.38888889] ; [11.38888889 13.61111111],0
u1,1,0.470483,0.520841,[ 1 65] ; [ 1 24],[ 1.45054945 64.54945055] ; [ 0.54945055 24.45054945],0
d2,1,0.476098,0.507789,[18 48] ; [ 5 20],[16.68131868 49.31868132] ; [ 6.31868132 18.68131868],0
p8,1,0.531548,0.391431,[26 38] ; [ 8 16],[24.72727273 39.27272727] ; [ 9.27272727 14.72727273],0
n5,1,0.534392,0.386033,[46 19] ; [16  9],[44.77777778 20.22222222] ; [17.22222222  7.77777778],0
s1,1,0.541902,0.372025,[ 3 61] ; [ 2 23],[ 3.59550562 60.40449438] ; [ 1.40449438 23.59550562],0
p9,1,0.565415,0.330415,[37 26] ; [13 12],[35.79545455 27.20454545] ; [14.20454545 10.79545455],0
d5,1,0.568843,0.324623,[25 40] ; [ 8 17],[23.83333333 41.16666667] ; [ 9.16666667 15.83333333],0
b4,1,0.632397,0.228825,[28 38] ; [12 13],[29.01098901 36.98901099] ; [10.98901099 14.01098901],0
p11,1,0.669019,0.182752,[39 27] ; [16  9],[39.89010989 26.10989011] ; [15.10989011  9.89010989],0
v2,1,0.679924,0.170212,[20 41] ; [ 9 15],[20.81176471 40.18823529] ; [ 8.18823529 15.81176471],0
s5,1,0.739308,0.110736,[ 4 62] ; [ 2 23],[ 4.35164835 61.64835165] ; [ 1.64835165 23.35164835],0
a6,1,0.764651,0.089628,[34 32] ; [12 13],[33.36263736 32.63736264] ; [12.63736264 12.36263736],0
n4,1,0.787415,0.072721,[41 24] ; [15 10],[40.44444444 24.55555556] ; [15.55555556  9.44444444],0
a7,1,0.819174,0.052261,[35 29] ; [13 12],[34.51685393 29.48314607] ; [13.48314607 11.51685393],0
p10,1,0.827568,0.047447,[33 31] ; [13 11],[33.45454545 30.54545455] ; [12.54545455 11.45454545],0
v1,1,0.868651,0.027348,[25 41] ; [ 9 16],[24.65934066 41.34065934] ; [ 9.34065934 15.65934066],0
n1,1,0.876438,0.024176,[12 14] ; [3 4],[11.81818182 14.18181818] ; [3.18181818 3.81818182],0
v3,1,0.888601,0.019621,[16 49] ; [ 6 17],[16.25 48.75] ; [ 5.75 17.25],0
p3,1,0.891808,0.0185,[21 45] ; [ 8 16],[21.26666667 44.73333333] ; [ 7.73333333 16.26666667],0
d1,1,0.909792,0.012837,[ 3 63] ; [ 1 24],[ 2.9010989 63.0989011] ; [ 1.0989011 23.9010989],0
a3,1,0.979118,0.000685,[31 34] ; [12 13],[31.05555556 33.94444444] ; [11.94444444 13.05555556],0
