Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,6e-06,20.431546,[22 10] ; [ 8 37],[12.46753247 19.53246753] ; [17.53246753 27.46753247],1
a4,1,5e-05,16.438674,[16 16] ; [ 4 41],[ 8.31168831 23.68831169] ; [11.68831169 33.31168831],1
d2,1,5.2e-05,16.369668,[21 11] ; [ 9 36],[12.46753247 19.53246753] ; [17.53246753 27.46753247],1
d5,1,0.000383,12.611997,[29  3] ; [23 21],[21.89473684 10.10526316] ; [30.10526316 13.89473684],1
a3,1,0.00063,11.685097,[25  7] ; [17 27],[17.68421053 14.31578947] ; [24.31578947 19.68421053],1
d4,1,0.005092,7.846392,[29  3] ; [28 17],[23.68831169  8.31168831] ; [33.31168831 11.68831169],0
s6,1,0.007908,7.05424,[20 12] ; [14 30],[14.31578947 17.68421053] ; [19.68421053 24.31578947],0
a6,1,0.00925,6.773955,[21 11] ; [16 29],[15.37662338 16.62337662] ; [21.62337662 23.37662338],0
p3,1,0.015012,5.915044,[16 15] ; [11 34],[11.01315789 19.98684211] ; [15.98684211 29.01315789],0
v2,1,0.067036,3.354134,[15 17] ; [12 33],[11.22077922 20.77922078] ; [15.77922078 29.22077922],0
d3,1,0.067979,3.331169,[24  8] ; [24 20],[20.21052632 11.78947368] ; [27.78947368 16.21052632],0
b5,1,0.11857,2.436115,[24  8] ; [26 19],[20.77922078 11.22077922] ; [29.22077922 15.77922078],0
p2,1,0.134932,2.234825,[18 14] ; [32 12],[21.05263158 10.94736842] ; [28.94736842 15.05263158],0
u1,1,0.163369,1.942763,[ 3 29] ; [ 1 44],[ 1.66233766 30.33766234] ; [ 2.33766234 42.66233766],0
a1,1,0.19373,1.689019,[ 4 28] ; [ 2 43],[ 2.49350649 29.50649351] ; [ 3.50649351 41.49350649],0
n2,1,0.193868,1.687977,[10  3] ; [8 7],[8.35714286 4.64285714] ; [9.64285714 5.35714286],0
v1,1,0.204819,1.607677,[12 19] ; [11 33],[ 9.50666667 21.49333333] ; [13.49333333 30.50666667],0
s2,1,0.204978,1.606543,[16 16] ; [16 29],[13.2987013 18.7012987] ; [18.7012987 26.2987013],0
s7,1,0.254731,1.29717,[11 19] ; [11 34],[ 8.8 21.2] ; [13.2 31.8],0
n1,1,0.262125,1.257498,[4 9] ; [ 2 13],[ 2.78571429 10.21428571] ; [ 3.21428571 11.78571429],0
b2,1,0.269964,1.216931,[ 8 10] ; [ 8 20],[ 6.26086957 11.73913043] ; [ 9.73913043 18.26086957],0
b3,1,0.269964,1.216931,[ 8 10] ; [ 8 20],[ 6.26086957 11.73913043] ; [ 9.73913043 18.26086957],0
r4,1,0.271341,1.209954,[19 13] ; [21 24],[16.62337662 15.37662338] ; [23.37662338 21.62337662],0
p4,1,0.296869,1.088207,[14 17] ; [15 30],[11.82894737 19.17105263] ; [17.17105263 27.82894737],0
u3,1,0.308711,1.036184,[5 2] ; [14 14],[3.8 3.2] ; [15.2 12.8],0
n4,1,0.3118,1.023035,[12 20] ; [12 33],[ 9.97402597 22.02597403] ; [14.02597403 30.97402597],0
p12,1,0.36804,0.810273,[ 2 30] ; [ 1 44],[ 1.24675325 30.75324675] ; [ 1.75324675 43.24675325],0
