Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2.5e-05,17.743942,[102   3] ; [5 3],[99.42477876  5.57522124] ; [7.57522124 0.42477876],1
p10,1,0.000503,12.104363,[75 29] ; [1 7],[70.57142857 33.42857143] ; [5.42857143 2.57142857],1
p11,1,0.000618,11.721798,[75 30] ; [1 7],[70.61946903 34.38053097] ; [5.38053097 2.61946903],1
r4,1,0.006299,7.462846,[91 14] ; [4 4],[88.27433628 16.72566372] ; [6.72566372 1.27433628],0
a7,1,0.013339,6.12365,[81 24] ; [3 5],[78.05309735 26.94690265] ; [5.94690265 2.05309735],0
r2,1,0.017658,5.629789,[94 10] ; [5 3],[91.92857143 12.07142857] ; [7.07142857 0.92857143],0
p2,1,0.024912,5.029992,[86 18] ; [4 4],[83.57142857 20.42857143] ; [6.42857143 1.57142857],0
p9,1,0.03342,4.524151,[76 28] ; [3 5],[73.35714286 30.64285714] ; [5.64285714 2.35714286],0
d5,1,0.059881,3.540676,[83 22] ; [4 4],[80.84070796 24.15929204] ; [6.15929204 1.84070796],0
n6,1,0.114643,2.48902,[68 36] ; [3 5],[65.92857143 38.07142857] ; [5.07142857 2.92857143],0
a6,1,0.124027,2.365715,[68 37] ; [3 5],[65.97345133 39.02654867] ; [5.02654867 2.97345133],0
d1,1,0.257184,1.283853,[61 44] ; [3 5],[59.46902655 45.53097345] ; [4.53097345 3.46902655],0
u2,1,0.301639,1.066936,[26 15] ; [1 2],[25.15909091 15.84090909] ; [1.84090909 1.15909091],0
a5,1,0.30292,1.061295,[74 31] ; [7 1],[75.26548673 29.73451327] ; [5.73451327 2.26548673],0
n4,1,0.32325,0.975753,[45 60] ; [2 6],[43.67256637 61.32743363] ; [3.32743363 4.67256637],0
p6,1,0.374287,0.789382,[43 62] ; [2 6],[41.81415929 63.18584071] ; [3.18584071 4.81415929],0
p3,1,0.374287,0.789382,[62 43] ; [6 2],[63.18584071 41.81415929] ; [4.81415929 3.18584071],0
b5,1,0.401624,0.703458,[63 42] ; [6 2],[64.11504425 40.88495575] ; [4.88495575 3.11504425],0
r1,1,0.436714,0.604902,[78 26] ; [5 3],[77.07142857 26.92857143] ; [5.92857143 2.07142857],0
p8,1,0.447526,0.57691,[54 51] ; [3 5],[52.96460177 52.03539823] ; [4.03539823 3.96460177],0
s6,1,0.479425,0.500172,[65 39] ; [6 2],[65.92857143 38.07142857] ; [5.07142857 2.92857143],0
b3,1,0.502284,0.450107,[17 48] ; [2 3],[17.64285714 47.35714286] ; [1.35714286 3.64285714],0
b2,1,0.502284,0.450107,[17 48] ; [2 3],[17.64285714 47.35714286] ; [1.35714286 3.64285714],0
s2,1,0.529105,0.39611,[51 53] ; [3 5],[50.14285714 53.85714286] ; [3.85714286 4.14285714],0
s7,1,0.56257,0.335274,[40 61] ; [2 5],[39.27777778 61.72222222] ; [2.72222222 4.27777778],0
a2,1,0.605557,0.266696,[21 84] ; [1 7],[20.44247788 84.55752212] ; [1.55752212 6.44247788],0
b1,1,0.616733,0.250487,[43 62] ; [4 4],[43.67256637 61.32743363] ; [3.32743363 4.67256637],0
s4,1,0.628403,0.234233,[19 86] ; [2 6],[19.51327434 85.48672566] ; [1.48672566 6.51327434],0
d4,1,0.628403,0.234233,[86 19] ; [6 2],[85.48672566 19.51327434] ; [6.51327434 1.48672566],0
n3,1,0.675038,0.175765,[24  7] ; [2 1],[23.70588235  7.29411765] ; [2.29411765 0.70588235],0
s5,1,0.681657,0.168267,[32 68] ; [2 6],[31.48148148 68.51851852] ; [2.51851852 5.48148148],0
d2,1,0.728496,0.120497,[46 59] ; [3 5],[45.53097345 59.46902655] ; [3.46902655 4.53097345],0
p7,1,0.766151,0.088455,[71 34] ; [5 3],[70.61946903 34.38053097] ; [5.38053097 2.61946903],0
n1,1,0.777816,0.079618,[ 8 23] ; [1 2],[ 8.20588235 22.79411765] ; [0.79411765 2.20588235],0
d3,1,0.838892,0.041335,[82 23] ; [6 2],[81.7699115 23.2300885] ; [6.2300885 1.7699115],0
v3,1,0.881055,0.02239,[26 74] ; [2 5],[26.1682243 73.8317757] ; [1.8317757 5.1682243],0
a3,1,0.889262,0.019387,[63 42] ; [5 3],[63.18584071 41.81415929] ; [4.81415929 3.18584071],0
n2,1,0.908893,0.013095,[19 11] ; [2 1],[19.09090909 10.90909091] ; [1.90909091 1.09090909],0
s3,1,0.936725,0.006302,[53 50] ; [4 4],[52.89189189 50.10810811] ; [4.10810811 3.89189189],0
p1,1,0.942618,0.005181,[12 91] ; [1 7],[12.06306306 90.93693694] ; [0.93693694 7.06306306],0
v1,1,0.950313,0.003883,[39 62] ; [3 5],[38.91743119 62.08256881] ; [3.08256881 4.91743119],0
a4,1,0.973335,0.001117,[40 65] ; [3 5],[39.95575221 65.04424779] ; [3.04424779 4.95575221],0
v2,1,0.978075,0.000755,[49 50] ; [4 4],[49.03738318 49.96261682] ; [3.96261682 4.03738318],0
b4,1,0.983924,0.000406,[66 39] ; [5 3],[65.97345133 39.02654867] ; [5.02654867 2.97345133],0
