Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,33.71319,[ 9 30] ; [56 14],[23.25688073 15.74311927] ; [41.74311927 28.25688073],1
s7,1,3.4e-05,17.188844,[15 20] ; [51 10],[24.0625 10.9375] ; [41.9375 19.0625],1
n6,1,0.00317,8.706893,[22 17] ; [57 12],[28.52777778 10.47222222] ; [50.47222222 18.52777778],0
p6,1,0.016934,5.703193,[ 9 29] ; [33 37],[14.77777778 23.22222222] ; [27.22222222 42.77777778],0
v3,1,0.022018,5.244369,[ 9 29] ; [31 36],[14.47619048 23.52380952] ; [25.52380952 41.47619048],0
a3,1,0.038108,4.300193,[22 18] ; [52 18],[26.90909091 13.09090909] ; [47.09090909 22.90909091],0
r1,1,0.040315,4.204561,[27 13] ; [59 11],[31.27272727  8.72727273] ; [54.72727273 15.27272727],0
d2,1,0.044984,4.019247,[17 23] ; [43 26],[22.01834862 17.98165138] ; [37.98165138 31.01834862],0
a5,1,0.056535,3.636219,[22 18] ; [51 19],[26.54545455 13.45454545] ; [46.45454545 23.54545455],0
s8,1,0.07664,3.134762,[17 23] ; [42 28],[21.45454545 18.54545455] ; [37.54545455 32.45454545],0
v2,1,0.081149,3.041739,[15 20] ; [42 27],[19.18269231 15.81730769] ; [37.81730769 31.18269231],0
s4,1,0.083615,2.993197,[16 24] ; [17 53],[12. 28.] ; [21. 49.],0
n1,1,0.099301,2.716735,[ 4 14] ; [10 11],[ 6.46153846 11.53846154] ; [ 7.53846154 13.46153846],0
p2,1,0.101287,2.685159,[25 14] ; [55 15],[28.62385321 10.37614679] ; [51.37614679 18.62385321],0
d3,1,0.110789,2.542933,[25 14] ; [54 15],[28.52777778 10.47222222] ; [50.47222222 18.52777778],0
u3,1,0.134328,2.241758,[12  4] ; [9 9],[9.88235294 6.11764706] ; [11.11764706  6.88235294],0
u1,1,0.143769,2.137143,[ 6 34] ; [19 51],[ 9.09090909 30.90909091] ; [15.90909091 54.09090909],0
s1,1,0.191441,1.706494,[ 2 37] ; [ 9 60],[ 3.97222222 35.02777778] ; [ 7.02777778 61.97222222],0
p4,1,0.198985,1.649807,[19 20] ; [43 27],[22.18348624 16.81651376] ; [39.81651376 30.18348624],0
d1,1,0.204482,1.61007,[19 21] ; [42 28],[22.18181818 17.81818182] ; [38.81818182 31.18181818],0
p10,1,0.22969,1.442778,[21 15] ; [49 21],[23.77358491 12.22641509] ; [46.22641509 23.77358491],0
b5,1,0.233073,1.422007,[28 12] ; [41 29],[25.09090909 14.90909091] ; [43.90909091 26.09090909],0
p8,1,0.254351,1.299248,[10 28] ; [26 44],[12.66666667 25.33333333] ; [23.33333333 46.66666667],0
p3,1,0.255795,1.291371,[14 25] ; [33 37],[16.81651376 22.18348624] ; [30.18348624 39.81651376],0
b1,1,0.38425,0.757062,[20 20] ; [41 29],[22.18181818 17.81818182] ; [38.81818182 31.18181818],0
s5,1,0.384492,0.75629,[15 23] ; [30 32],[17.1 20.9] ; [27.9 34.1],0
a4,1,0.385123,0.754286,[16 24] ; [34 36],[18.18181818 21.81818182] ; [31.81818182 38.18181818],0
p9,1,0.417887,0.65625,[25 10] ; [55 15],[26.66666667  8.33333333] ; [53.33333333 16.66666667],0
a6,1,0.469254,0.523731,[26 14] ; [40 29],[24.22018349 15.77981651] ; [41.77981651 27.22018349],0
r3,1,0.496532,0.462341,[37  2] ; [63  6],[36.11111111  2.88888889] ; [63.88888889  5.11111111],0
v1,1,0.502238,0.450204,[18 21] ; [37 33],[19.67889908 19.32110092] ; [35.32110092 34.67889908],0
r4,1,0.506427,0.441442,[33  7] ; [61  9],[34.18181818  5.81818182] ; [59.81818182 10.18181818],0
s6,1,0.531117,0.392255,[32  7] ; [58  9],[33.11320755  5.88679245] ; [56.88679245 10.11320755],0
b4,1,0.536799,0.381504,[21 19] ; [41 29],[22.54545455 17.45454545] ; [39.45454545 30.54545455],0
s3,1,0.54134,0.373062,[30 10] ; [56 14],[31.27272727  8.72727273] ; [54.72727273 15.27272727],0
n3,1,0.650774,0.204926,[14  4] ; [15  6],[13.38461538  4.61538462] ; [15.61538462  5.38461538],0
v4,1,0.660844,0.1925,[37  3] ; [63  7],[36.36363636  3.63636364] ; [63.63636364  6.36363636],0
p12,1,0.663789,0.188953,[ 1 37] ; [ 3 67],[ 1.40740741 36.59259259] ; [ 2.59259259 67.40740741],0
a2,1,0.706304,0.141997,[ 9 31] ; [18 52],[ 9.81818182 30.18181818] ; [17.18181818 52.81818182],0
a1,1,0.712069,0.13622,[ 3 37] ; [ 4 66],[ 2.54545455 37.45454545] ; [ 4.45454545 65.54545455],0
d4,1,0.734503,0.115017,[32  8] ; [57 12],[32.66055046  7.33944954] ; [56.33944954 12.66055046],0
p7,1,0.739667,0.11042,[18 20] ; [35 34],[18.82242991 19.17757009] ; [34.17757009 34.82242991],0
n2,1,0.777231,0.080049,[13  5] ; [16  5],[13.38461538  4.61538462] ; [15.61538462  5.38461538],0
r2,1,0.860398,0.03093,[38  2] ; [65  4],[37.79816514  2.20183486] ; [65.20183486  3.79816514],0
a7,1,0.905252,0.014168,[28 11] ; [51 19],[28.26605505 10.73394495] ; [50.73394495 19.26605505],0
u2,1,0.967531,0.001657,[9 7] ; [10  8],[8.94117647 7.05882353] ; [10.05882353  7.94117647],0
d5,1,0.977954,0.000764,[31  8] ; [55 14],[31.05555556  7.94444444] ; [54.94444444 14.05555556],0
p1,1,0.995628,3e-05,[ 5 34] ; [ 9 61],[ 5.00917431 33.99082569] ; [ 8.99082569 61.00917431],0
