Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.004612,8.02551,[10 18] ; [18  6],[15.07692308 12.92307692] ; [12.92307692 11.07692308],0
p7,1,0.012991,6.1703,[19  9] ; [ 8 16],[14.53846154 13.46153846] ; [12.46153846 11.53846154],0
s5,1,0.020394,5.377876,[ 8 20] ; [ 1 23],[ 4.84615385 23.15384615] ; [ 4.15384615 19.84615385],0
p6,1,0.023609,5.123149,[10 18] ; [ 2 21],[ 6.58823529 21.41176471] ; [ 5.41176471 17.58823529],0
s6,1,0.026055,4.952381,[18 10] ; [ 8 16],[14. 14.] ; [12. 12.],0
d5,1,0.031148,4.644792,[21  7] ; [11 13],[17.23076923 10.76923077] ; [14.76923077  9.23076923],0
s2,1,0.03285,4.553571,[12 15] ; [ 4 20],[ 8.47058824 18.52941176] ; [ 7.52941176 16.47058824],0
v1,1,0.053106,3.740585,[13 15] ; [ 5 19],[ 9.69230769 18.30769231] ; [ 8.30769231 15.69230769],0
v3,1,0.053949,3.714286,[10 18] ; [ 3 21],[ 7. 21.] ; [ 6. 18.],0
p2,1,0.058858,3.569284,[23  5] ; [14 10],[19.92307692  8.07692308] ; [17.07692308  6.92307692],0
n4,1,0.060761,3.516495,[20  8] ; [11 13],[16.69230769 11.30769231] ; [14.30769231  9.69230769],0
s3,1,0.074203,3.1875,[12 15] ; [ 5 19],[ 9. 18.] ; [ 8. 16.],0
u3,1,0.074905,3.172113,[7 7] ; [ 2 10],[4.84615385 9.15384615] ; [4.15384615 7.84615385],0
a4,1,0.093741,2.808929,[ 9 19] ; [ 3 21],[ 6.46153846 21.53846154] ; [ 5.53846154 18.46153846],0
v2,1,0.111406,2.534161,[15 12] ; [ 8 16],[12.17647059 14.82352941] ; [10.82352941 13.17647059],0
a6,1,0.142962,2.145784,[15 13] ; [ 8 16],[12.38461538 15.61538462] ; [10.61538462 13.38461538],0
n6,1,0.163645,1.940217,[21  7] ; [13 10],[18.66666667  9.33333333] ; [15.33333333  7.66666667],0
n5,1,0.190771,1.711652,[19  9] ; [12 12],[16.69230769 11.30769231] ; [14.30769231  9.69230769],0
p5,1,0.191977,1.702381,[ 6 22] ; [ 2 22],[ 4.30769231 23.69230769] ; [ 3.69230769 20.30769231],0
s4,1,0.191977,1.702381,[ 6 22] ; [ 2 22],[ 4.30769231 23.69230769] ; [ 3.69230769 20.30769231],0
r4,1,0.202128,1.626935,[13 15] ; [ 7 17],[10.76923077 17.23076923] ; [ 9.23076923 14.76923077],0
n1,1,0.202288,1.625782,[4 5] ; [2 9],[2.7 6.3] ; [3.3 7.7],0
s1,1,0.228385,1.450893,[ 1 27] ; [ 3 21],[ 2.15384615 25.84615385] ; [ 1.84615385 22.15384615],0
p8,1,0.246486,1.343112,[15 13] ; [ 9 15],[12.92307692 15.07692308] ; [11.07692308 12.92307692],0
s8,1,0.27361,1.198559,[11 17] ; [ 6 18],[ 9.15384615 18.84615385] ; [ 7.84615385 16.15384615],0
n2,1,0.278503,1.174381,[7 2] ; [6 5],[5.85 3.15] ; [7.15 3.85],0
b2,1,0.282041,1.15723,[ 4 15] ; [5 8],[ 5.34375 13.65625] ; [3.65625 9.34375],0
b3,1,0.282041,1.15723,[ 4 15] ; [5 8],[ 5.34375 13.65625] ; [3.65625 9.34375],0
v4,1,0.33025,0.947917,[21  7] ; [15  9],[19.38461538  8.61538462] ; [16.61538462  7.38461538],0
